model,zone,planning_year,case,unit,value
GenX,BASN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2550266.7099960013
GenX,CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,7248222.598312755
GenX,CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,7904140.28705882
GenX,FRCC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,11934080.37351206
GenX,ISNE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,13570864.62590402
GenX,MISC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3906937.357518845
GenX,MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3837769.075805001
GenX,MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,10980576.170786902
GenX,MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,8513290.166275386
GenX,NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,596966.5722201166
GenX,NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2823917.7047294
GenX,NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1613854.1885538644
GenX,PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,5634327.97855711
GenX,PJMD,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,5269707.863800862
GenX,PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,32465198.495092075
GenX,PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,16413221.20801176
GenX,RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,487354.2721413855
GenX,SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,381640.75924414326
GenX,SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,232809.5236866748
GenX,SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3968308.242501254
GenX,SRCA,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,6580503.866810629
GenX,SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,5525518.002529005
GenX,SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,16937200.146278277
GenX,SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3700870.999449849
GenX,TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,10462803.39191797
GenX,TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2459649.2752826177
GenX,BASN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1456894.3863741497
GenX,CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2605773.2977756835
GenX,CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3219022.816146631
GenX,FRCC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,5879189.904413571
GenX,ISNE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,4195985.326766422
GenX,MISC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3413561.1145556928
GenX,MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2393230.8535653176
GenX,MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3321423.4495402854
GenX,MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,4824179.595698809
GenX,NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1332440.6951435646
GenX,NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1200746.543314469
GenX,NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1518173.528148181
GenX,PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2255405.507993901
GenX,PJMD,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2360130.904243981
GenX,PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,10048093.51863552
GenX,PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,10945750.625621043
GenX,RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,275893.4575506765
GenX,SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,279802.09172439313
GenX,SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,163004.69086525773
GenX,SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1983056.9793070275
GenX,SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,3934802.356123665
GenX,SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,4011168.5242688586
GenX,SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,8008104.28096142
GenX,SRSG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,660031.17400809
GenX,TRE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,5413035.830629004
GenX,TRE_WEST,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,961098.5484014358
GenX,BASN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.173017365774621
GenX,CANO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.8297614631849248
GenX,CASO,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.5657137351340045
GenX,FRCC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.898666411500072
GenX,ISNE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.255369596964983
GenX,MISC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2.136796139746488
GenX,MISE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.9104008507263
GenX,MISS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2.0244579914597
GenX,MISW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2.675481178924407
GenX,NWPP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.5629570690978842
GenX,NYCW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.1861594204777757
GenX,NYUP,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.0167198368143873
GenX,PJMC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.9491143933821344
GenX,PJMD,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.3589841261677726
GenX,PJME,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.502283776787391
GenX,PJMW,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2.4103991399267954
GenX,RMRG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.4783563475645494
GenX,SPPC,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.7164863317245715
GenX,SPPN,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.657115487955496
GenX,SPPS,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.6487318376209077
GenX,SRCA,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.852955961632064
GenX,SRCE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.937663735993544
GenX,SRSE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.738673732927945
GenX,SRSG,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.457737352494925
GenX,TRE,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,2.219781457609482
GenX,TRE_WEST,2050,debug_full_scenarios_wacc_5_no_ramp_cap/results_highCO2Cost,tons,1.174085376898885
