region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
BASN,BASN_biomass_1,1,1,1,0.0,0.0,2.4739399999999995e6,0.0,845295.3599999904,1.9685352960000027e6,0.0,0.0,0.0,6.6680766801094115e6,0.0,0.0,0.0,0.0,0.0,6.6680766801094115e6,5.287770655999993e6,1.3803060241094185e6
BASN,BASN_conventional_hydroelectric_1,1,1,2,0.0,0.0,6.955105839999999e7,0.0,0.0,0.0,0.0,0.0,0.0,2.31013362233716e8,0.0,0.0,0.0,0.0,0.0,2.31013362233716e8,6.955105839999999e7,1.6146230383371603e8
BASN,BASN_conventional_steam_coal_1,1,1,3,0.0,0.0,2.05603286e7,0.0,0.32081617803279605,2.4053704888718492,0.0,0.0,0.0,8.226976761351827,0.0,0.0,0.0,35.078013602601374,0.0,8.226976761351827,2.056036640420027e7,-2.056035817722351e7
BASN,BASN_geothermal_1,1,1,4,0.0,0.0,1.18142065e7,0.0,0.0,0.0,0.0,0.0,0.0,2.297233156703498e7,0.0,0.0,0.0,0.0,0.0,2.297233156703498e7,1.18142065e7,1.1158125067034978e7
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,5,0.0,0.0,8.850223739999998e7,0.0,2.5466238559853625e6,2.2925120917610932e7,0.0,0.0,0.0,8.275024796570799e7,0.0,0.0,0.0,5.5291223449474245e7,0.0,8.275024796570799e7,1.692652056230705e8,-8.651495765736252e7
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,6,0.0,0.0,2.0234961599999998e7,0.0,1.3941237359128813,13.093145419781786,0.0,0.0,0.0,14.293583081982442,0.0,0.0,0.0,31.578286180619113,0.0,14.293583081982442,2.0235007665555336e7,-2.0234993371972255e7
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,7,0.0,0.0,4.2735e6,0.0,1.7597758108215629,15.060406939124094,0.0,0.0,0.0,23.841960437293483,0.0,0.0,0.0,36.32296328136022,0.0,23.841960437293483,4.273553143146032e6,-4.273529301185594e6
BASN,BASN_onshore_wind_turbine_1,1,1,8,0.0,0.0,2.236e7,0.0,0.0,0.0,0.0,0.0,0.0,3.9453570895601645e7,0.0,0.0,0.0,0.0,0.0,3.9453570895601645e7,2.236e7,1.7093570895601645e7
BASN,BASN_small_hydroelectric_1,1,1,9,0.0,0.0,6.7466832e6,0.0,0.0,0.0,0.0,0.0,0.0,5.8305011946810305e7,0.0,0.0,0.0,0.0,0.0,5.8305011946810305e7,6.7466832e6,5.15583287468103e7
BASN,BASN_solar_photovoltaic_1,1,1,10,0.0,0.0,9.66952266e7,0.0,0.0,0.0,0.0,0.0,0.0,2.7745303204093474e8,0.0,0.0,0.0,0.0,0.0,2.7745303204093474e8,9.66952266e7,1.8075780544093475e8
CANO,CANO_biomass_1,2,1,11,0.0,0.0,8.613535e6,0.0,3.451873152000023e6,8.036080415999818e6,0.0,0.0,0.0,2.6233862041104943e7,0.0,0.0,0.0,0.0,0.0,2.6233862041104943e7,2.010148856799984e7,6.132373473105103e6
CANO,CANO_conventional_hydroelectric_1,2,1,12,0.0,0.0,2.6438623600000003e8,0.0,0.0,0.0,0.0,0.0,0.0,8.733135086450533e8,0.0,0.0,0.0,0.0,0.0,8.733135086450533e8,2.6438623600000003e8,6.089272726450533e8
CANO,CANO_hydroelectric_pumped_storage_1,2,1,13,0.0,0.0,1.071235912e8,0.0,0.0,0.0,0.0,0.0,7.987545315383695e7,2.6452271360931998e8,0.0,0.0,0.0,0.0,0.0,2.6452271360931998e8,1.8699904435383695e8,7.752366925548303e7
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,14,0.0,0.0,1.2995486080000001e8,0.0,6.34122096999738e6,5.2723195970912725e7,0.0,0.0,0.0,1.9259626295556682e8,0.0,0.0,0.0,1.3353187485520968e8,0.0,1.9259626295556682e8,3.2255115259611976e8,-1.2995488964055294e8
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,15,0.0,0.0,3.4161633800000004e7,0.0,1.638553068154923,14.342211559077201,0.0,0.0,0.0,20.114576511521392,0.0,0.0,0.0,36.324474717166396,0.0,20.114576511521392,3.416168610523935e7,-3.4161665990662836e7
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,16,0.0,0.0,9.1119e6,0.0,1.962408343029897,15.990049013264805,0.0,0.0,0.0,29.090144096384154,0.0,0.0,0.0,40.49794752476511,0.0,29.090144096384154,9.111958450404882e6,-9.111929360260786e6
CANO,CANO_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,148778.69999999998,0.0,0.5563826147467131,20.25542402340961,0.0,0.0,0.0,40.16717453174251,0.0,0.0,0.0,51.30084957909851,0.0,40.16717453174251,148850.81265621723,-148810.6454816855
CANO,CANO_onshore_wind_turbine_1,2,1,18,0.0,0.0,2.6574e6,0.0,0.0,0.0,0.0,0.0,0.0,7.624854309651145e6,0.0,0.0,0.0,0.0,0.0,7.624854309651145e6,2.6574e6,4.967454309651145e6
CANO,CANO_petroleum_liquids_1,2,1,19,0.0,0.0,3.1626e6,0.0,0.46115710139549454,19.775365512806335,0.0,0.0,0.0,3.539112462167685,0.0,0.0,0.0,13.10297089911032,0.0,3.539112462167685,3.162633339493513e6,-3.162629800381051e6
CANO,CANO_small_hydroelectric_1,2,1,20,0.0,0.0,9.1884744e6,0.0,0.0,0.0,0.0,0.0,0.0,8.972807804952358e7,0.0,0.0,0.0,0.0,0.0,8.972807804952358e7,9.1884744e6,8.053960364952357e7
