Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_1,1,143270.39999999836,16.4,0.9999999999999888
BASN_conventional_hydroelectric_1,1,4.09415273435374e6,1478.3,0.3170215886244802
BASN_conventional_steam_coal_1,1,0.17064690320893408,270.2,0.0
BASN_geothermal_1,1,320790.1853759709,56.5,0.6499201460662641
BASN_natural_gas_fired_combined_cycle_1,1,688276.7178338818,7827.9,0.010064800818968241
BASN_natural_gas_fired_combustion_turbine_1,1,0.2640385863471367,1819.2,0.0
BASN_natural_gas_internal_combustion_engine_1,1,0.3720456259665037,203.5,0.0
BASN_onshore_wind_turbine_1,1,659610.2358189289,520.0,0.14520160516583214
BASN_small_hydroelectric_1,1,1.2527424000000106e6,143.4,1.0000000000000084
BASN_solar_photovoltaic_1,1,5.140297062151172e6,4274.2,0.13766411673227383
CANO_biomass_1,2,498825.6000000033,57.1,1.0000000000000067
CANO_conventional_hydroelectric_1,2,1.3464497390258161e7,5619.5,0.27427097195601763
CANO_hydroelectric_pumped_storage_1,2,5.133148572524752e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,1.655671271539786e6,10931.6,0.017337151961915934
CANO_natural_gas_fired_combustion_turbine_1,2,0.3103320204838869,2949.8,0.0
CANO_natural_gas_internal_combustion_engine_1,2,0.40213285717825764,433.9,0.0
CANO_natural_gas_steam_turbine_1,2,0.5248892591950125,2.9,0.0
CANO_onshore_wind_turbine_1,2,103619.87307310729,61.8,0.19192959882016922
CANO_petroleum_liquids_1,2,0.07414101308609237,150.6,0.0
CANO_small_hydroelectric_1,2,1.7061407999999924e6,195.3,0.9999999999999954
CANO_solar_photovoltaic_1,2,2.656222702752751e6,2501.9,0.12152955616152743
CASO_biomass_1,3,578323.1999999954,66.2,0.9999999999999921
CASO_conventional_hydroelectric_1,3,2.0163659359181e6,919.0,0.25115464530820897
CASO_geothermal_1,3,154100.1276744021,23.6,0.7474435012455866
CASO_hydroelectric_pumped_storage_1,3,3.4504964358186163e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,424184.1195282478,8797.8,0.005519092783209849
CASO_natural_gas_fired_combustion_turbine_1,3,0.37494816790795754,5357.1,0.0
CASO_natural_gas_internal_combustion_engine_1,3,0.5560657227938088,48.6,0.0
CASO_onshore_wind_turbine_1,3,1.2250502653791902e6,416.1,0.3370106051315476
CASO_petroleum_liquids_1,3,0.0589492918734966,3.3,0.0
CASO_small_hydroelectric_1,3,624624.0,71.5,1.0
CASO_solar_photovoltaic_1,3,9.074784589017572e6,6500.5,0.15980005956532456
FRCC_biomass_1,4,810700.7999999932,92.8,0.9999999999999917
FRCC_conventional_hydroelectric_1,4,108528.38298193381,43.5,0.28558898304790803
FRCC_conventional_steam_coal_1,4,0.16070553124260556,898.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,4,3.894199138219838e6,35447.7,0.012575274372319093
FRCC_natural_gas_fired_combustion_turbine_1,4,0.3180525670461038,6956.6,0.0
FRCC_natural_gas_internal_combustion_engine_1,4,0.6765067143372302,250.9,0.0
FRCC_natural_gas_steam_turbine_1,4,0.2977129238423065,335.0,0.0
FRCC_nuclear_1,4,2.2265216614341464e7,3737.0,0.6820107206307098
FRCC_petroleum_liquids_1,4,0.05417011362620121,4.0,0.0
FRCC_solar_photovoltaic_1,4,7.545069426311168e6,5877.7,0.1469410704133566
ISNE_biomass_1,5,272563.20000000077,31.2,1.0000000000000029
ISNE_conventional_hydroelectric_1,5,1.492057426402206e6,464.8,0.3674572274582548
ISNE_hydroelectric_pumped_storage_1,5,3.0984820321507654e6,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,2.9391295051050913e6,13362.0,0.025178776902882456
ISNE_natural_gas_fired_combustion_turbine_1,5,0.3505295471065301,1753.4,0.0
ISNE_natural_gas_internal_combustion_engine_1,5,0.7960519832164147,52.4,0.0
ISNE_natural_gas_steam_turbine_1,5,0.5483286992912288,10.2,0.0
ISNE_nuclear_1,5,1.8077363269052576e7,3348.1,0.6180506095993573
ISNE_onshore_wind_turbine_1,5,32920.56906756721,39.8,0.09468291856364933
ISNE_petroleum_liquids_1,5,0.08740628561881458,392.4,0.0
ISNE_small_hydroelectric_1,5,1.7314752000000076e6,198.2,1.0000000000000044
ISNE_solar_photovoltaic_1,5,1.0967972398226894e6,1159.8,0.10825067649171242
MISC_biomass_1,6,469996.80000000214,53.8,1.0000000000000047
MISC_conventional_hydroelectric_1,6,750230.7287975898,276.6,0.31047743895556296
MISC_conventional_steam_coal_1,6,0.21345966763111468,2698.4,0.0
MISC_hydroelectric_pumped_storage_1,6,1.0622373778515575e6,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,2.0614886972787075e6,5037.1,0.046847644536120454
MISC_natural_gas_fired_combustion_turbine_1,6,0.2771530100633921,5522.2,0.0
MISC_natural_gas_internal_combustion_engine_1,6,0.5445324374363051,34.8,0.0
MISC_natural_gas_steam_turbine_1,6,0.5157850534109146,49.0,0.0
MISC_nuclear_1,6,1.1296246745428398e7,2373.0,0.5449087811670016
MISC_onshore_wind_turbine_1,6,2.284479404229305e6,1568.1,0.16676344831620216
MISC_petroleum_liquids_1,6,0.11318806037224476,36.3,0.0
MISC_small_hydroelectric_1,6,122304.0,14.0,1.0
MISC_solar_photovoltaic_1,6,3.8342615526188626e6,3653.6,0.1201290688649295
MISE_biomass_1,7,322358.39999999566,36.9,0.9999999999999865
MISE_conventional_steam_coal_1,7,0.14585023617991438,61.4,0.0
MISE_hydroelectric_pumped_storage_1,7,3.8766444671538305e6,2047.0000000000002,0.0
MISE_natural_gas_fired_combined_cycle_1,7,1.15987296238279e7,4663.6,0.28469281441825184
MISE_natural_gas_fired_combustion_turbine_1,7,0.36909159961366794,2996.0,0.0
MISE_natural_gas_internal_combustion_engine_1,7,0.5234586727486786,80.9,0.0
MISE_natural_gas_steam_turbine_1,7,0.11572498962579639,27.2,0.0
MISE_nuclear_1,7,6.338115497817309e6,1161.0,0.6249068767507829
MISE_onshore_wind_turbine_1,7,1.8283880337521685e6,1070.6,0.19549178220817354
MISE_small_hydroelectric_1,7,83865.59999999864,9.6,0.9999999999999838
MISE_solar_photovoltaic_1,7,970331.8688296196,977.3,0.11365270355354314
MISS_biomass_1,8,270816.0,31.0,1.0
MISS_conventional_hydroelectric_1,8,942723.7749430509,521.4,0.2069668585069666
MISS_conventional_steam_coal_1,8,0.19085299642770578,680.0,0.0
MISS_natural_gas_fired_combined_cycle_1,8,1.6792313147749894e6,20444.3,0.009402117058683905
MISS_natural_gas_fired_combustion_turbine_1,8,0.2917053938205287,3801.2,0.0
MISS_natural_gas_internal_combustion_engine_1,8,0.48340996783048407,107.8,0.0
MISS_natural_gas_steam_turbine_1,8,0.23916220648163444,30.0,0.0
MISS_nuclear_1,8,2.669712002812335e7,5426.0,0.563212129415455
MISS_onshore_wind_turbine_1,8,1.2438813188076406e6,184.5,0.771738114352001
MISS_petroleum_liquids_1,8,0.08979509592855416,1.8,0.0
MISS_small_hydroelectric_1,8,22713.600000000257,2.6,1.0000000000000113
MISS_solar_photovoltaic_1,8,2.389649305493911e6,1834.2,0.1491333783004572
MISW_biomass_1,9,413212.8000000018,47.3,1.0000000000000044
MISW_conventional_hydroelectric_1,9,154486.4371092643,67.3,0.2627620658504923
MISW_conventional_steam_coal_1,9,0.17543007047950343,3174.5,0.0
MISW_natural_gas_fired_combined_cycle_1,9,1.7371085073754206e7,8139.5,0.24429613403583575
MISW_natural_gas_fired_combustion_turbine_1,9,0.3117759630454735,4249.5,0.0
MISW_natural_gas_internal_combustion_engine_1,9,0.7046888052198418,664.8,0.0
MISW_natural_gas_steam_turbine_1,9,0.14647576141124186,146.9,0.0
MISW_nuclear_1,9,1.088853219809112e7,2343.0,0.5319666736867944
MISW_onshore_wind_turbine_1,9,4.0618326811372507e6,3472.6,0.1338920044555389
MISW_petroleum_liquids_1,9,0.09784453200512541,178.1,0.0
MISW_small_hydroelectric_1,9,1.9236672000000086e6,220.2,1.0000000000000047
MISW_solar_photovoltaic_1,9,2.0243791566409622e6,1893.3,0.12239390657324696
NWPP_biomass_1,10,499699.19999999827,57.2,0.9999999999999964
NWPP_conventional_hydroelectric_1,10,1.1616851431683189e8,28365.9,0.4687909751103533
NWPP_conventional_steam_coal_1,10,0.16382927046566143,889.0,0.0
NWPP_hydroelectric_pumped_storage_1,10,683712.0387098168,314.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,10,1.2189163380693244e6,6421.2,0.021729266975229252
NWPP_natural_gas_fired_combustion_turbine_1,10,0.21287509106244978,411.5,0.0
NWPP_natural_gas_internal_combustion_engine_1,10,10675.22034743078,305.0,0.00400649295450924
NWPP_natural_gas_steam_turbine_1,10,42.42653938204475,3.0,0.001618839262135407
NWPP_nuclear_1,10,5.066439809740166e6,1172.0,0.4948375528334527
NWPP_onshore_wind_turbine_1,10,961260.3690036074,749.1,0.14688877706416312
NWPP_petroleum_liquids_1,10,0.10527135621229325,2.0,0.0
NWPP_small_hydroelectric_1,10,3.527596800000027e6,403.8,1.0000000000000075
NWPP_solar_photovoltaic_1,10,1.0254344895175374e6,1015.9,0.11554318496139603
NYCW_biomass_1,11,11356.800000000128,1.3,1.0000000000000113
NYCW_natural_gas_fired_combined_cycle_1,11,361662.5501856148,4184.2,0.009894149763553614
NYCW_natural_gas_fired_combustion_turbine_1,11,0.5341051575698901,2029.7999999999997,0.0
NYCW_natural_gas_internal_combustion_engine_1,11,1.3187678645368577,37.4,4.036306415817203e-6
NYCW_natural_gas_steam_turbine_1,11,0.3569095047088758,15.0,0.0
