model,line_name,planning_year,case,unit,value
SWITCH,BASN_to_NWPP,2030,base_thin,MW,0.0
SWITCH,BASN_to_CANO,2030,base_thin,MW,0.0
SWITCH,BASN_to_SRSG,2030,base_thin,MW,0.0
SWITCH,BASN_to_CASO,2030,base_thin,MW,0.0
SWITCH,NWPP_to_SPPN,2030,base_thin,MW,1423.1803106178734
SWITCH,NWPP_to_CANO,2030,base_thin,MW,594.6119600621523
SWITCH,NWPP_to_CASO,2030,base_thin,MW,2455.398277459315
SWITCH,NWPP_to_MISW,2030,base_thin,MW,0.0
SWITCH,NYCW_to_ISNE,2030,base_thin,MW,2000.7761700627889
SWITCH,NYUP_to_NYCW,2030,base_thin,MW,691.2852506409913
SWITCH,NYUP_to_ISNE,2030,base_thin,MW,1363.4541767451592
SWITCH,PJMC_to_PJMW,2030,base_thin,MW,5851.3615359384285
SWITCH,PJMC_to_MISC,2030,base_thin,MW,0.0
SWITCH,PJMD_to_PJME,2030,base_thin,MW,2170.9999451647564
SWITCH,PJMD_to_PJMW,2030,base_thin,MW,0.0
SWITCH,PJME_to_NYCW,2030,base_thin,MW,4226.699481772121
SWITCH,PJME_to_NYUP,2030,base_thin,MW,2081.182055786571
SWITCH,PJMW_to_PJME,2030,base_thin,MW,0.0
SWITCH,PJMW_to_SRCE,2030,base_thin,MW,0.0
SWITCH,RMRG_to_BASN,2030,base_thin,MW,0.0
SWITCH,RMRG_to_NWPP,2030,base_thin,MW,5075.639408713238
SWITCH,RMRG_to_SPPC,2030,base_thin,MW,5819.9986439778595
SWITCH,RMRG_to_SPPN,2030,base_thin,MW,1763.4304127541218
SWITCH,RMRG_to_SRSG,2030,base_thin,MW,1395.0916040893385
SWITCH,SPPC_to_SPPS,2030,base_thin,MW,0.0
SWITCH,SPPC_to_MISS,2030,base_thin,MW,0.0
SWITCH,SPPN_to_SPPC,2030,base_thin,MW,1088.963227051704
SWITCH,SPPN_to_SPPS,2030,base_thin,MW,5630.046175474424
SWITCH,CANO_to_CASO,2030,base_thin,MW,0.0
SWITCH,SPPS_to_SRSG,2030,base_thin,MW,592.5852086989239
SWITCH,SPPS_to_MISS,2030,base_thin,MW,34713.07963593327
SWITCH,SRCA_to_PJMD,2030,base_thin,MW,0.0
SWITCH,SRCA_to_PJMW,2030,base_thin,MW,0.0
SWITCH,SRCA_to_SRCE,2030,base_thin,MW,208.56319414462718
SWITCH,SRSE_to_SRCA,2030,base_thin,MW,0.0
SWITCH,SRSE_to_SRCE,2030,base_thin,MW,0.0
SWITCH,SRSG_to_TRE,2030,base_thin,MW,9999.725106118483
SWITCH,TRE_to_SPPS,2030,base_thin,MW,15590.966628215116
SWITCH,TRE_to_TRE_WEST,2030,base_thin,MW,0.0
SWITCH,TRE_WEST_to_SPPS,2030,base_thin,MW,7438.985477425175
SWITCH,CASO_to_SRSG,2030,base_thin,MW,0.0
SWITCH,FRCC_to_SRSE,2030,base_thin,MW,0.0
SWITCH,MISC_to_PJMW,2030,base_thin,MW,138.53683860145156
SWITCH,MISC_to_SPPC,2030,base_thin,MW,2491.413608009252
SWITCH,MISC_to_SPPN,2030,base_thin,MW,214.10695375889236
SWITCH,MISC_to_SPPS,2030,base_thin,MW,12096.672740074677
SWITCH,MISC_to_SRCE,2030,base_thin,MW,0.0
SWITCH,MISC_to_MISS,2030,base_thin,MW,0.0
SWITCH,MISE_to_PJMW,2030,base_thin,MW,0.0
SWITCH,MISE_to_MISC,2030,base_thin,MW,4343.093331678075
SWITCH,MISS_to_SRCE,2030,base_thin,MW,0.0
SWITCH,MISS_to_SRSE,2030,base_thin,MW,15753.384750574209
SWITCH,MISW_to_PJMC,2030,base_thin,MW,4607.794425788206
SWITCH,MISW_to_SPPC,2030,base_thin,MW,0.0
SWITCH,MISW_to_SPPN,2030,base_thin,MW,0.0
SWITCH,MISW_to_MISC,2030,base_thin,MW,0.0
SWITCH,MISW_to_MISE,2030,base_thin,MW,0.0
SWITCH,BASN_to_NWPP,2040,base_thin,MW,0.0
