model,zone,planning_year,case,unit,value
TEMOA,BASN,2030,base_thin_highCCS_noTxlimit,tons,4.3314e+06
TEMOA,BASN,2040,base_thin_highCCS_noTxlimit,tons,1.05418e+06
TEMOA,BASN,2050,base_thin_highCCS_noTxlimit,tons,0.00182726
TEMOA,CANO,2030,base_thin_highCCS_noTxlimit,tons,5.18654e+06
TEMOA,CANO,2040,base_thin_highCCS_noTxlimit,tons,3.04319e+06
TEMOA,CANO,2050,base_thin_highCCS_noTxlimit,tons,4443.26
TEMOA,CASO,2030,base_thin_highCCS_noTxlimit,tons,321014
TEMOA,CASO,2040,base_thin_highCCS_noTxlimit,tons,1.88626e+06
TEMOA,CASO,2050,base_thin_highCCS_noTxlimit,tons,8464.92
TEMOA,FRCC,2030,base_thin_highCCS_noTxlimit,tons,1.30512e+07
TEMOA,FRCC,2040,base_thin_highCCS_noTxlimit,tons,8.37009e+06
TEMOA,FRCC,2050,base_thin_highCCS_noTxlimit,tons,20160.7
TEMOA,ISNE,2030,base_thin_highCCS_noTxlimit,tons,1.12036e+07
TEMOA,ISNE,2040,base_thin_highCCS_noTxlimit,tons,2.35161e+06
TEMOA,ISNE,2050,base_thin_highCCS_noTxlimit,tons,6970.67
TEMOA,MISC,2030,base_thin_highCCS_noTxlimit,tons,5.10596e+06
TEMOA,MISC,2040,base_thin_highCCS_noTxlimit,tons,2.33494e+06
TEMOA,MISC,2050,base_thin_highCCS_noTxlimit,tons,0.0523435
TEMOA,MISE,2030,base_thin_highCCS_noTxlimit,tons,3.4622e+06
TEMOA,MISE,2040,base_thin_highCCS_noTxlimit,tons,2.26058e+06
TEMOA,MISE,2050,base_thin_highCCS_noTxlimit,tons,16376.3
TEMOA,MISS,2030,base_thin_highCCS_noTxlimit,tons,6.86042e+06
TEMOA,MISS,2040,base_thin_highCCS_noTxlimit,tons,3.2966e+06
TEMOA,MISS,2050,base_thin_highCCS_noTxlimit,tons,1808.48
TEMOA,MISW,2030,base_thin_highCCS_noTxlimit,tons,9.92201e+06
