model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2030,base_thin_cap_high,MW,100,100.052
TEMOA,2,BASN_to_CASO,2030,base_thin_cap_high,MW,5920,5920.06
TEMOA,3,BASN_to_NWPP,2030,base_thin_cap_high,MW,3350,3350.04
TEMOA,4,BASN_to_RMRG,2030,base_thin_cap_high,MW,3750,4715.2
TEMOA,5,BASN_to_SRSG,2030,base_thin_cap_high,MW,5385,5385.08
TEMOA,6,CANO_to_CASO,2030,base_thin_cap_high,MW,3675,3675.09
TEMOA,7,CANO_to_NWPP,2030,base_thin_cap_high,MW,3675,3675.06
TEMOA,8,CASO_to_NWPP,2030,base_thin_cap_high,MW,2858,2858.05
TEMOA,9,CASO_to_SRSG,2030,base_thin_cap_high,MW,4354,12423
TEMOA,10,FRCC_to_SRSE,2030,base_thin_cap_high,MW,3600,3600.85
TEMOA,11,ISNE_to_NYCW,2030,base_thin_cap_high,MW,760,760.047
TEMOA,12,ISNE_to_NYUP,2030,base_thin_cap_high,MW,1400,7673.05
TEMOA,13,MISC_to_MISE,2030,base_thin_cap_high,MW,0,2936.2
TEMOA,14,MISC_to_MISS,2030,base_thin_cap_high,MW,1039,1039.1
TEMOA,15,MISC_to_MISW,2030,base_thin_cap_high,MW,1655,1655.09
TEMOA,16,MISC_to_PJMC,2030,base_thin_cap_high,MW,5244,5244.3
TEMOA,17,MISC_to_PJMW,2030,base_thin_cap_high,MW,5441,15049.2
TEMOA,18,MISC_to_SPPC,2030,base_thin_cap_high,MW,1430,9647.37
TEMOA,20,MISC_to_SPPS,2030,base_thin_cap_high,MW,1172,12892
TEMOA,21,MISC_to_SRCE,2030,base_thin_cap_high,MW,3745,3745.11
TEMOA,23,MISE_to_PJMW,2030,base_thin_cap_high,MW,2662,2662.11
TEMOA,24,MISS_to_SPPC,2030,base_thin_cap_high,MW,0,5292.36
TEMOA,25,MISS_to_SPPS,2030,base_thin_cap_high,MW,1697,18667
TEMOA,26,MISS_to_SRCE,2030,base_thin_cap_high,MW,4092,4092.1
TEMOA,27,MISS_to_SRSE,2030,base_thin_cap_high,MW,891,10891
TEMOA,28,MISW_to_NWPP,2030,base_thin_cap_high,MW,200,200.106
TEMOA,29,MISW_to_PJMC,2030,base_thin_cap_high,MW,3200,3201.21
TEMOA,31,MISW_to_SPPN,2030,base_thin_cap_high,MW,5512,5512.2
TEMOA,32,NWPP_to_RMRG,2030,base_thin_cap_high,MW,400,3032.45
TEMOA,33,NYCW_to_NYUP,2030,base_thin_cap_high,MW,2489,2489.07
TEMOA,34,NYCW_to_PJME,2030,base_thin_cap_high,MW,660,8027.06
TEMOA,35,NYUP_to_PJME,2030,base_thin_cap_high,MW,1255,2267.91
TEMOA,36,PJMC_to_PJMW,2030,base_thin_cap_high,MW,980,4143.71
TEMOA,37,PJMD_to_PJME,2030,base_thin_cap_high,MW,1200,4229.77
TEMOA,38,PJMD_to_PJMW,2030,base_thin_cap_high,MW,6930,6930.14
TEMOA,39,PJMD_to_SRCA,2030,base_thin_cap_high,MW,1000,1000.28
TEMOA,40,PJME_to_PJMW,2030,base_thin_cap_high,MW,3885,18413.2
