model,line,line_name,planning_year,case,unit,value
TEMOA,9,CASO_to_SRSG,2030,base_thin_highCCS_noTxlimit,MW,6273.42
TEMOA,10,FRCC_to_SRSE,2030,base_thin_highCCS_noTxlimit,MW,6427.38
TEMOA,12,ISNE_to_NYUP,2030,base_thin_highCCS_noTxlimit,MW,3101.76
TEMOA,13,MISC_to_MISE,2030,base_thin_highCCS_noTxlimit,MW,3134.89
TEMOA,17,MISC_to_PJMW,2030,base_thin_highCCS_noTxlimit,MW,14346.8
TEMOA,18,MISC_to_SPPC,2030,base_thin_highCCS_noTxlimit,MW,3288.92
TEMOA,19,MISC_to_SPPN,2030,base_thin_highCCS_noTxlimit,MW,751.952
TEMOA,20,MISC_to_SPPS,2030,base_thin_highCCS_noTxlimit,MW,28320.3
TEMOA,25,MISS_to_SPPS,2030,base_thin_highCCS_noTxlimit,MW,47951.8
TEMOA,27,MISS_to_SRSE,2030,base_thin_highCCS_noTxlimit,MW,27428.8
TEMOA,28,MISW_to_NWPP,2030,base_thin_highCCS_noTxlimit,MW,718.93
TEMOA,29,MISW_to_PJMC,2030,base_thin_highCCS_noTxlimit,MW,5828.88
TEMOA,32,NWPP_to_RMRG,2030,base_thin_highCCS_noTxlimit,MW,582.416
TEMOA,34,NYCW_to_PJME,2030,base_thin_highCCS_noTxlimit,MW,7265.07
TEMOA,35,NYUP_to_PJME,2030,base_thin_highCCS_noTxlimit,MW,2391.23
TEMOA,36,PJMC_to_PJMW,2030,base_thin_highCCS_noTxlimit,MW,6819.72
TEMOA,37,PJMD_to_PJME,2030,base_thin_highCCS_noTxlimit,MW,1612
TEMOA,39,PJMD_to_SRCA,2030,base_thin_highCCS_noTxlimit,MW,48.9726
TEMOA,40,PJME_to_PJMW,2030,base_thin_highCCS_noTxlimit,MW,15939.6
TEMOA,43,RMRG_to_SPPC,2030,base_thin_highCCS_noTxlimit,MW,5878.39
TEMOA,44,RMRG_to_SPPN,2030,base_thin_highCCS_noTxlimit,MW,3657.69
TEMOA,45,RMRG_to_SRSG,2030,base_thin_highCCS_noTxlimit,MW,2292.08
TEMOA,47,SPPC_to_SPPS,2030,base_thin_highCCS_noTxlimit,MW,266.265
TEMOA,48,SPPN_to_SPPS,2030,base_thin_highCCS_noTxlimit,MW,5158.01
TEMOA,49,SPPS_to_SRSG,2030,base_thin_highCCS_noTxlimit,MW,6333.81
TEMOA,50,SPPS_to_TRE,2030,base_thin_highCCS_noTxlimit,MW,18433.2
TEMOA,51,SPPS_to_TRE_WEST,2030,base_thin_highCCS_noTxlimit,MW,8513.8
TEMOA,53,SRCA_to_SRSE,2030,base_thin_highCCS_noTxlimit,MW,793.906
TEMOA,56,NWPP_to_SPPN,2030,base_thin_highCCS_noTxlimit,MW,285.482
TEMOA,57,SRSG_to_TRE,2030,base_thin_highCCS_noTxlimit,MW,11820.9
TEMOA,1,BASN_to_CANO,2040,base_thin_highCCS_noTxlimit,MW,2672.32
TEMOA,7,CANO_to_NWPP,2040,base_thin_highCCS_noTxlimit,MW,547.137
TEMOA,9,CASO_to_SRSG,2040,base_thin_highCCS_noTxlimit,MW,7098.96
TEMOA,10,FRCC_to_SRSE,2040,base_thin_highCCS_noTxlimit,MW,3952.84
TEMOA,12,ISNE_to_NYUP,2040,base_thin_highCCS_noTxlimit,MW,6875.28
TEMOA,13,MISC_to_MISE,2040,base_thin_highCCS_noTxlimit,MW,2604.7
TEMOA,17,MISC_to_PJMW,2040,base_thin_highCCS_noTxlimit,MW,10675.1
TEMOA,18,MISC_to_SPPC,2040,base_thin_highCCS_noTxlimit,MW,17092.6
TEMOA,22,MISE_to_MISW,2040,base_thin_highCCS_noTxlimit,MW,252.722
TEMOA,24,MISS_to_SPPC,2040,base_thin_highCCS_noTxlimit,MW,5122.34
TEMOA,25,MISS_to_SPPS,2040,base_thin_highCCS_noTxlimit,MW,2086.97
TEMOA,27,MISS_to_SRSE,2040,base_thin_highCCS_noTxlimit,MW,6891.76
TEMOA,28,MISW_to_NWPP,2040,base_thin_highCCS_noTxlimit,MW,1312.41
TEMOA,29,MISW_to_PJMC,2040,base_thin_highCCS_noTxlimit,MW,3917.77
TEMOA,30,MISW_to_SPPC,2040,base_thin_highCCS_noTxlimit,MW,221.964
TEMOA,32,NWPP_to_RMRG,2040,base_thin_highCCS_noTxlimit,MW,2773.96
TEMOA,34,NYCW_to_PJME,2040,base_thin_highCCS_noTxlimit,MW,3407.42
TEMOA,35,NYUP_to_PJME,2040,base_thin_highCCS_noTxlimit,MW,9105.85
TEMOA,36,PJMC_to_PJMW,2040,base_thin_highCCS_noTxlimit,MW,9130.51
TEMOA,37,PJMD_to_PJME,2040,base_thin_highCCS_noTxlimit,MW,1987.87
TEMOA,39,PJMD_to_SRCA,2040,base_thin_highCCS_noTxlimit,MW,2485.05
TEMOA,40,PJME_to_PJMW,2040,base_thin_highCCS_noTxlimit,MW,23460.4
TEMOA,42,PJMW_to_SRCE,2040,base_thin_highCCS_noTxlimit,MW,1103.65
TEMOA,43,RMRG_to_SPPC,2040,base_thin_highCCS_noTxlimit,MW,15389
TEMOA,45,RMRG_to_SRSG,2040,base_thin_highCCS_noTxlimit,MW,12283.7
TEMOA,48,SPPN_to_SPPS,2040,base_thin_highCCS_noTxlimit,MW,1237.58
TEMOA,50,SPPS_to_TRE,2040,base_thin_highCCS_noTxlimit,MW,3864.2
TEMOA,51,SPPS_to_TRE_WEST,2040,base_thin_highCCS_noTxlimit,MW,2108.87
TEMOA,52,SRCA_to_SRCE,2040,base_thin_highCCS_noTxlimit,MW,3596.61
TEMOA,56,NWPP_to_SPPN,2040,base_thin_highCCS_noTxlimit,MW,165.971
TEMOA,1,BASN_to_CANO,2050,base_thin_highCCS_noTxlimit,MW,2580.56
TEMOA,2,BASN_to_CASO,2050,base_thin_highCCS_noTxlimit,MW,1015.73
TEMOA,4,BASN_to_RMRG,2050,base_thin_highCCS_noTxlimit,MW,28.6454
TEMOA,6,CANO_to_CASO,2050,base_thin_highCCS_noTxlimit,MW,1274.96
TEMOA,7,CANO_to_NWPP,2050,base_thin_highCCS_noTxlimit,MW,2021.28
TEMOA,9,CASO_to_SRSG,2050,base_thin_highCCS_noTxlimit,MW,14087.4
TEMOA,10,FRCC_to_SRSE,2050,base_thin_highCCS_noTxlimit,MW,10425.9
TEMOA,13,MISC_to_MISE,2050,base_thin_highCCS_noTxlimit,MW,5064.85
TEMOA,17,MISC_to_PJMW,2050,base_thin_highCCS_noTxlimit,MW,35753.8
TEMOA,18,MISC_to_SPPC,2050,base_thin_highCCS_noTxlimit,MW,21080.4
TEMOA,19,MISC_to_SPPN,2050,base_thin_highCCS_noTxlimit,MW,30716.4
TEMOA,25,MISS_to_SPPS,2050,base_thin_highCCS_noTxlimit,MW,29069.8
TEMOA,26,MISS_to_SRCE,2050,base_thin_highCCS_noTxlimit,MW,874.417
TEMOA,27,MISS_to_SRSE,2050,base_thin_highCCS_noTxlimit,MW,20479.2
TEMOA,30,MISW_to_SPPC,2050,base_thin_highCCS_noTxlimit,MW,446.386
TEMOA,31,MISW_to_SPPN,2050,base_thin_highCCS_noTxlimit,MW,4517.07
TEMOA,32,NWPP_to_RMRG,2050,base_thin_highCCS_noTxlimit,MW,4046.22
TEMOA,34,NYCW_to_PJME,2050,base_thin_highCCS_noTxlimit,MW,26.2807
TEMOA,37,PJMD_to_PJME,2050,base_thin_highCCS_noTxlimit,MW,2175.25
TEMOA,39,PJMD_to_SRCA,2050,base_thin_highCCS_noTxlimit,MW,1281.55
TEMOA,43,RMRG_to_SPPC,2050,base_thin_highCCS_noTxlimit,MW,13285.5
TEMOA,44,RMRG_to_SPPN,2050,base_thin_highCCS_noTxlimit,MW,3717.72
TEMOA,45,RMRG_to_SRSG,2050,base_thin_highCCS_noTxlimit,MW,3783.1
TEMOA,46,SPPC_to_SPPN,2050,base_thin_highCCS_noTxlimit,MW,3646.17
