region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
BASN,BASN_biomass_1,1,1,1,0.0,0.0,2.304988e6,0.0,787567.8719999837,1.83409873919999e6,0.0,0.0,0.0,5.94991155987769e6,0.0,0.0,0.0,0.0,0.0,5.94991155987769e6,4.926654611199973e6,1.0232569486777168e6
BASN,BASN_conventional_hydroelectric_1,1,1,2,0.0,0.0,6.955105839999999e7,0.0,0.0,0.0,0.0,0.0,0.0,2.1752737914057994e8,0.0,0.0,0.0,0.0,0.0,2.1752737914057994e8,6.955105839999999e7,1.4797632074057996e8
BASN,BASN_conventional_steam_coal_1,1,1,3,0.0,0.0,2.05603286e7,0.0,0.3925758181102334,2.943399841358837,0.0,0.0,0.0,8.62621262039715,0.0,0.0,0.0,42.92420654146507,0.0,8.62621262039715,2.0560374860182203e7,-2.0560366233969584e7
BASN,BASN_geothermal_1,1,1,4,0.0,0.0,1.4177047799999999e7,0.0,0.0,0.0,0.0,0.0,0.0,2.6400778748202913e7,0.0,0.0,0.0,0.0,0.0,2.6400778748202913e7,1.4177047799999999e7,1.2223730948202914e7
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,5,0.0,0.0,8.850223739999998e7,0.0,1.1510504489090464e6,1.036194279790877e7,0.0,0.0,0.0,3.774756190623026e7,0.0,0.0,0.0,2.4991122038956434e7,0.0,3.774756190623026e7,1.2500635268577422e8,-8.725879077954397e7
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,6,0.0,0.0,2.0235072830000002e7,0.0,1.6364651336137233,15.369135046522187,0.0,0.0,0.0,14.509704375711234,0.0,0.0,0.0,37.067559344021255,0.0,14.509704375711234,2.0235126903159525e7,-2.0235112393455148e7
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,7,0.0,0.0,4.27371e6,0.0,1.9961830386336092,17.083612981794634,0.0,0.0,0.0,23.713490781267655,0.0,0.0,0.0,41.20256840063752,0.0,23.713490781267655,4.2737702823644215e6,-4.27374656887364e6
BASN,BASN_onshore_wind_turbine_1,1,1,8,0.0,0.0,2.236e7,0.0,0.0,0.0,0.0,0.0,0.0,3.4885773077233076e7,0.0,0.0,0.0,0.0,0.0,3.4885773077233076e7,2.236e7,1.2525773077233076e7
BASN,BASN_small_hydroelectric_1,1,1,9,0.0,0.0,7.25903592e6,0.0,0.0,0.0,0.0,0.0,0.0,6.007930985428855e7,0.0,0.0,0.0,0.0,0.0,6.007930985428855e7,7.25903592e6,5.282027393428855e7
BASN,BASN_solar_photovoltaic_1,1,1,10,0.0,0.0,9.669477414000002e7,0.0,0.0,0.0,0.0,0.0,0.0,3.2971152420302343e8,0.0,0.0,0.0,0.0,0.0,3.2971152420302343e8,9.669477414000002e7,2.3301675006302342e8
CANO,CANO_biomass_1,2,1,11,0.0,0.0,8.393294e6,0.0,3.3636115968000796e6,7.8306044544000495e6,0.0,0.0,0.0,2.4102013567487877e7,0.0,0.0,0.0,0.0,0.0,2.4102013567487877e7,1.958751005120013e7,4.514503516287748e6
CANO,CANO_conventional_hydroelectric_1,2,1,12,0.0,0.0,2.6438717696e8,0.0,0.0,0.0,0.0,0.0,0.0,8.539498031538186e8,0.0,0.0,0.0,0.0,0.0,8.539498031538186e8,2.6438717696e8,5.895626261938186e8
CANO,CANO_hydroelectric_pumped_storage_1,2,1,13,0.0,0.0,1.071235912e8,0.0,0.0,0.0,0.0,0.0,4.226380354417168e7,1.1648117989109959e8,0.0,0.0,0.0,0.0,0.0,1.1648117989109959e8,1.4938739474417168e8,-3.2906214853072092e7
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,14,0.0,0.0,1.2995486080000001e8,0.0,4.006172119951294e7,3.330875848243574e8,0.0,0.0,0.0,1.2259908464125373e9,0.0,0.0,0.0,8.436098926386799e8,0.0,1.2259908464125373e9,1.3467140594625502e9,-1.2072321305001283e8
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,15,0.0,0.0,3.4161633800000004e7,0.0,1.8876506853662247,16.52255639766663,0.0,0.0,0.0,19.93748595471122,0.0,0.0,0.0,41.846627325068766,0.0,19.93748595471122,3.416169405683441e7,-3.416167411934845e7
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,16,0.0,0.0,9.11211e6,0.0,2.2789804590644245,18.5695344040624,0.0,0.0,0.0,30.289723816625703,0.0,0.0,0.0,47.03100217086183,0.0,30.289723816625703,9.112177879517034e6,-9.112147589793216e6
CANO,CANO_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_onshore_wind_turbine_1,2,1,18,0.0,0.0,2.6574e6,0.0,0.0,0.0,0.0,0.0,0.0,7.514406922353184e6,0.0,0.0,0.0,0.0,0.0,7.514406922353184e6,2.6574e6,4.857006922353184e6
CANO,CANO_petroleum_liquids_1,2,1,19,0.0,0.0,3.16197e6,0.0,0.5702916903880257,24.455281274455416,0.0,0.0,0.0,3.5435241253534016,0.0,0.0,0.0,16.2038389966161,0.0,3.5435241253534016,3.1620112294119615e6,-3.1620076858878364e6
CANO,CANO_small_hydroelectric_1,2,1,20,0.0,0.0,9.60814256e6,0.0,0.0,0.0,0.0,0.0,0.0,8.846357316233586e7,0.0,0.0,0.0,0.0,0.0,8.846357316233586e7,9.60814256e6,7.885543060233586e7
CANO,CANO_solar_photovoltaic_1,2,1,21,0.0,0.0,5.660116239e7,0.0,0.0,0.0,0.0,0.0,0.0,2.272153405109958e8,0.0,0.0,0.0,0.0,0.0,2.272153405109958e8,5.660116239e7,1.7061417812099582e8
CASO,CASO_biomass_1,3,1,22,0.0,0.0,8.682926e6,0.0,2.2627987199999564e6,5.259749913599849e6,0.0,0.0,0.0,2.3738797744467605e7,0.0,0.0,0.0,0.0,0.0,2.3738797744467605e7,1.6205474633599805e7,7.5333231108678e6
CASO,CASO_conventional_hydroelectric_1,3,1,23,0.0,0.0,4.3237582480000004e7,0.0,0.0,0.0,0.0,0.0,0.0,1.2055112877081095e8,0.0,0.0,0.0,0.0,0.0,1.2055112877081095e8,4.3237582480000004e7,7.731354629081094e7
CASO,CASO_geothermal_1,3,1,24,0.0,0.0,4.96196673e6,0.0,0.0,0.0,0.0,0.0,0.0,9.786680154337578e6,0.0,0.0,0.0,0.0,0.0,9.786680154337578e6,4.96196673e6,4.824713424337577e6
CASO,CASO_hydroelectric_pumped_storage_1,3,1,25,0.0,0.0,7.833492e7,0.0,0.0,0.0,0.0,0.0,4.019264738588495e7,1.1639348896422279e8,0.0,0.0,0.0,0.0,0.0,1.1639348896422279e8,1.1852756738588494e8,-2.134078421662152e6
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,26,0.0,0.0,9.791060491000001e7,0.0,5.053246351200086e6,4.437882223536345e7,0.0,0.0,0.0,1.6299532678416002e8,0.0,0.0,0.0,1.123981053846481e8,0.0,1.6299532678416002e8,2.5974077888121164e8,-9.674545209705162e7
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,27,0.0,0.0,6.0052754699999996e7,0.0,2.1438041495999296,17.607818684398755,0.0,0.0,0.0,23.077394452284175,0.0,0.0,0.0,44.59526775151308,0.0,23.077394452284175,6.005281904689058e7,-6.005279596949612e7
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,28,0.0,0.0,1.0203900000000001e6,0.0,2.551908732761544,20.77399531824054,0.0,0.0,0.0,41.06511990907241,0.0,0.0,0.0,52.6142334885845,0.0,41.06511990907241,1.0204659401375396e6,-1.0204248750176305e6
CASO,CASO_onshore_wind_turbine_1,3,1,29,0.0,0.0,1.78923e7,0.0,0.0,0.0,0.0,0.0,0.0,6.0168942188541576e7,0.0,0.0,0.0,0.0,0.0,6.0168942188541576e7,1.78923e7,4.2276642188541576e7
CASO,CASO_petroleum_liquids_1,3,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO,CASO_small_hydroelectric_1,3,1,31,0.0,0.0,3.0915240799999996e6,0.0,0.0,0.0,0.0,0.0,0.0,2.7100006945604023e7,0.0,0.0,0.0,0.0,0.0,2.7100006945604023e7,3.0915240799999996e6,2.4008482865604024e7
CASO,CASO_solar_photovoltaic_1,3,1,32,0.0,0.0,1.4706126396e8,0.0,0.0,0.0,0.0,0.0,0.0,5.107470528678716e8,0.0,0.0,0.0,0.0,0.0,5.107470528678716e8,1.4706126396e8,3.636857889078716e8
FRCC,FRCC_biomass_1,4,1,33,0.0,0.0,1.4113526e7,0.0,4.43815706879998e6,1.033117962239966e7,0.0,0.0,0.0,4.155685192530237e7,0.0,0.0,0.0,0.0,0.0,4.155685192530237e7,2.8882862691199638e7,1.2673989234102733e7
