model,zone,planning_year,case,unit,value
USENSYS,BASN,2030,scen_co2cap10k_w10_h168_1680w,tons,3683453
USENSYS,BASN,2040,scen_co2cap10k_w10_h168_1680w,tons,1160296
USENSYS,BASN,2050,scen_co2cap10k_w10_h168_1680w,tons,3250
USENSYS,CANO,2030,scen_co2cap10k_w10_h168_1680w,tons,2616146
USENSYS,CANO,2040,scen_co2cap10k_w10_h168_1680w,tons,2141287
USENSYS,CANO,2050,scen_co2cap10k_w10_h168_1680w,tons,14535
USENSYS,CASO,2030,scen_co2cap10k_w10_h168_1680w,tons,6402532
USENSYS,CASO,2040,scen_co2cap10k_w10_h168_1680w,tons,5290406
USENSYS,CASO,2050,scen_co2cap10k_w10_h168_1680w,tons,7544
USENSYS,FRCC,2030,scen_co2cap10k_w10_h168_1680w,tons,11204556
USENSYS,FRCC,2040,scen_co2cap10k_w10_h168_1680w,tons,7815995
USENSYS,FRCC,2050,scen_co2cap10k_w10_h168_1680w,tons,11137
USENSYS,ISNE,2030,scen_co2cap10k_w10_h168_1680w,tons,12239801
USENSYS,ISNE,2040,scen_co2cap10k_w10_h168_1680w,tons,3426786
USENSYS,ISNE,2050,scen_co2cap10k_w10_h168_1680w,tons,1998
USENSYS,MISC,2030,scen_co2cap10k_w10_h168_1680w,tons,6119525
USENSYS,MISC,2040,scen_co2cap10k_w10_h168_1680w,tons,4478910
USENSYS,MISC,2050,scen_co2cap10k_w10_h168_1680w,tons,35748
USENSYS,MISE,2030,scen_co2cap10k_w10_h168_1680w,tons,3709947
USENSYS,MISE,2040,scen_co2cap10k_w10_h168_1680w,tons,2968746
USENSYS,MISE,2050,scen_co2cap10k_w10_h168_1680w,tons,6798
USENSYS,MISS,2030,scen_co2cap10k_w10_h168_1680w,tons,7875569
USENSYS,MISS,2040,scen_co2cap10k_w10_h168_1680w,tons,4584431
USENSYS,MISS,2050,scen_co2cap10k_w10_h168_1680w,tons,12520
USENSYS,MISW,2030,scen_co2cap10k_w10_h168_1680w,tons,9068699
USENSYS,MISW,2040,scen_co2cap10k_w10_h168_1680w,tons,5120919
USENSYS,MISW,2050,scen_co2cap10k_w10_h168_1680w,tons,49279
USENSYS,NWPP,2030,scen_co2cap10k_w10_h168_1680w,tons,4032291
USENSYS,NWPP,2040,scen_co2cap10k_w10_h168_1680w,tons,1449513
USENSYS,NWPP,2050,scen_co2cap10k_w10_h168_1680w,tons,8549
USENSYS,NYCW,2030,scen_co2cap10k_w10_h168_1680w,tons,5448877
USENSYS,NYCW,2040,scen_co2cap10k_w10_h168_1680w,tons,1244629
USENSYS,NYCW,2050,scen_co2cap10k_w10_h168_1680w,tons,1777
USENSYS,NYUP,2030,scen_co2cap10k_w10_h168_1680w,tons,1254273
USENSYS,NYUP,2040,scen_co2cap10k_w10_h168_1680w,tons,1077124
USENSYS,NYUP,2050,scen_co2cap10k_w10_h168_1680w,tons,0
USENSYS,PJMC,2030,scen_co2cap10k_w10_h168_1680w,tons,4992452
USENSYS,PJMC,2040,scen_co2cap10k_w10_h168_1680w,tons,2539427
USENSYS,PJMC,2050,scen_co2cap10k_w10_h168_1680w,tons,11303
USENSYS,PJMD,2030,scen_co2cap10k_w10_h168_1680w,tons,5549126
USENSYS,PJMD,2040,scen_co2cap10k_w10_h168_1680w,tons,1694029
USENSYS,PJMD,2050,scen_co2cap10k_w10_h168_1680w,tons,0
USENSYS,PJME,2030,scen_co2cap10k_w10_h168_1680w,tons,26887748
USENSYS,PJME,2040,scen_co2cap10k_w10_h168_1680w,tons,4766126
USENSYS,PJME,2050,scen_co2cap10k_w10_h168_1680w,tons,0
USENSYS,PJMW,2030,scen_co2cap10k_w10_h168_1680w,tons,14875910
USENSYS,PJMW,2040,scen_co2cap10k_w10_h168_1680w,tons,9916187
USENSYS,PJMW,2050,scen_co2cap10k_w10_h168_1680w,tons,14123
USENSYS,RMRG,2030,scen_co2cap10k_w10_h168_1680w,tons,2380462
USENSYS,RMRG,2040,scen_co2cap10k_w10_h168_1680w,tons,988676
