model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_biomass_1,Biomass,2030,scen_co2cap10k_w10_h168_1680w,MWh,168490
USENSYS,BASN,BASN_biomass_1,Biomass,2040,scen_co2cap10k_w10_h168_1680w,MWh,131050
USENSYS,BASN,BASN_biomass_1,Biomass,2050,scen_co2cap10k_w10_h168_1680w,MWh,77424
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,scen_co2cap10k_w10_h168_1680w,MWh,8814003
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,scen_co2cap10k_w10_h168_1680w,MWh,6087513
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,scen_co2cap10k_w10_h168_1680w,MWh,5070829
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,scen_co2cap10k_w10_h168_1680w,MWh,20986
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,scen_co2cap10k_w10_h168_1680w,MWh,3866803
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,scen_co2cap10k_w10_h168_1680w,MWh,4522546
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,scen_co2cap10k_w10_h168_1680w,MWh,4502045
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,scen_co2cap10k_w10_h168_1680w,MWh,3782688
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,scen_co2cap10k_w10_h168_1680w,MWh,2507232
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,scen_co2cap10k_w10_h168_1680w,MWh,489216
USENSYS,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,2040,scen_co2cap10k_w10_h168_1680w,MWh,20524213
USENSYS,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,2050,scen_co2cap10k_w10_h168_1680w,MWh,30776667
USENSYS,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydrogen,2050,scen_co2cap10k_w10_h168_1680w,MWh,1152277
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,scen_co2cap10k_w10_h168_1680w,MWh,75588380
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,scen_co2cap10k_w10_h168_1680w,MWh,125409895
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,scen_co2cap10k_w10_h168_1680w,MWh,167515645
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,scen_co2cap10k_w10_h168_1680w,MWh,17109018
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,scen_co2cap10k_w10_h168_1680w,MWh,4095790
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,scen_co2cap10k_w10_h168_1680w,MWh,16625
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,scen_co2cap10k_w10_h168_1680w,MWh,32601
