model,zone,resource_name,planning_year,case,value
GenX,BASN,BASN_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3974692243154387
GenX,BASN,BASN_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.1707204954793997
GenX,BASN,BASN_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2026097176187629
GenX,BASN,BASN_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.7995020836359037
GenX,BASN,BASN_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.5048208640796851
GenX,BASN,BASN_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3093059207914982
GenX,BASN,BASN_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2345898342466119
GenX,CANO,CANO_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.531617016781251
GenX,CANO,CANO_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2364677719284176
GenX,CANO,CANO_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2627714667033246
GenX,CANO,CANO_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4782613444276326
GenX,CANO,CANO_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4152075322267877
GenX,CANO,CANO_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4031347942470544
GenX,CANO,CANO_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2980995674216296
GenX,CANO,CANO_offshorewind_class12_moderate_floating_1_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2257020877452874
GenX,CANO,CANO_offshorewind_class12_moderate_floating_1_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2123840558373048
GenX,CANO,CANO_offshorewind_class12_moderate_floating_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2592299870529103
GenX,CANO,CANO_offshorewind_class12_moderate_floating_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2248511420778743
GenX,CASO,CASO_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4506491008483583
GenX,CASO,CASO_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2289106976007902
GenX,CASO,CASO_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2115006510625579
GenX,CASO,CASO_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.6320579400379271
GenX,CASO,CASO_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4633229691022949
GenX,CASO,CASO_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.600901008238959
GenX,CASO,CASO_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4369453997808996
GenX,CASO,CASO_offshorewind_class12_moderate_floating_1_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.252679443670085
GenX,CASO,CASO_offshorewind_class12_moderate_floating_1_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2462641721769244
GenX,CASO,CASO_offshorewind_class12_moderate_floating_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2903665569791752
GenX,CASO,CASO_offshorewind_class12_moderate_floating_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2795608725904346
GenX,FRCC,FRCC_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3913417511969916
GenX,FRCC,FRCC_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.441864416537323
GenX,FRCC,FRCC_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.689310911026353
GenX,FRCC,FRCC_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.6300332567100424
GenX,FRCC,FRCC_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4333700119872597
GenX,FRCC,FRCC_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3737592257469598
GenX,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2627473061505918
GenX,FRCC,FRCC_offshorewind_class3_moderate_fixed_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.239094119415284
GenX,FRCC,FRCC_offshorewind_class12_moderate_floating_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.1617616462320671
GenX,FRCC,FRCC_offshorewind_class12_moderate_floating_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.1548264784534658
GenX,ISNE,ISNE_offshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3893004815005013
GenX,ISNE,ISNE_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3539381354064645
GenX,ISNE,ISNE_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.1784227416054442
GenX,ISNE,ISNE_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.1953435748758315
GenX,ISNE,ISNE_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.7236731349354447
GenX,ISNE,ISNE_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.5410131715922499
GenX,ISNE,ISNE_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3531797214632778
GenX,ISNE,ISNE_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.287980531098635
GenX,ISNE,ISNE_offshorewind_class3_moderate_fixed_1_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3591416648432591
GenX,ISNE,ISNE_offshorewind_class3_moderate_fixed_1_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.360717410345079
GenX,ISNE,ISNE_offshorewind_class3_moderate_fixed_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4286122347822791
GenX,ISNE,ISNE_offshorewind_class3_moderate_fixed_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4272015087492564
GenX,ISNE,ISNE_offshorewind_class12_moderate_floating_1_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3253591296750693
GenX,ISNE,ISNE_offshorewind_class12_moderate_floating_1_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3175652836224094
GenX,ISNE,ISNE_offshorewind_class12_moderate_floating_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3456021671001727
GenX,ISNE,ISNE_offshorewind_class12_moderate_floating_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.341989812792898
GenX,MISC,MISC_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.7522198141001105
GenX,MISC,MISC_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2629194176167965
GenX,MISC,MISC_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2963865790624715
GenX,MISC,MISC_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,1.159405937771844
GenX,MISC,MISC_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.974932187282014
GenX,MISC,MISC_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3614896869619965
GenX,MISC,MISC_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3056437450089293
GenX,MISE,MISE_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.6319794404842741
GenX,MISE,MISE_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2307470702848206
GenX,MISE,MISE_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2404634747197919
GenX,MISE,MISE_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.8416060089147044
GenX,MISE,MISE_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.667244142172202
GenX,MISE,MISE_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.4640970988044236
GenX,MISE,MISE_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3782648479932134
GenX,MISS,MISS_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.5636659341144434
GenX,MISS,MISS_solar_photovoltaic_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2290610761914767
GenX,MISS,MISS_distributed_generation_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.285289115492268
GenX,MISS,MISS_landbasedwind_class3_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.8518549691797438
GenX,MISS,MISS_landbasedwind_class3_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.6318196331106665
GenX,MISS,MISS_utilitypv_class1_moderate_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3898918579363593
GenX,MISS,MISS_utilitypv_class1_moderate_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.3294599167500616
GenX,MISS,MISS_offshorewind_class3_moderate_fixed_0_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2972332495413271
GenX,MISS,MISS_offshorewind_class3_moderate_fixed_0_2,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.2821855400245004
GenX,MISW,MISW_onshore_wind_turbine_1,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,0.999875900051156
