model,zone,planning_year,case,value
GenX,BASN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,121013840.0
GenX,CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,121485248.0
GenX,CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,187618246.0
GenX,FRCC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,268073093.0
GenX,ISNE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,149215844.0
GenX,MISC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,193189559.0
GenX,MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,104832352.0
GenX,MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,187241263.0
GenX,MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,235759507.0
GenX,NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,215695565.0
GenX,NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,83763905.0
GenX,NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,74964094.0
GenX,PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,118908443.0
GenX,PJMD,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,117631722.0
GenX,PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,310225669.0
GenX,PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,321825433.0
GenX,RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,98944515.0
GenX,SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,79793871.0
GenX,SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,52633715.0
GenX,SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,130480125.0
GenX,SRCA,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,231681009.0
GenX,SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,220124261.0
GenX,SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,255536483.0
GenX,SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,152828300.0
GenX,TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,450351579.0
GenX,TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,20011114.0
GenX,BASN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,180140607.0
GenX,CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,165058797.0
GenX,CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,255246537.0
GenX,FRCC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,337389199.0
GenX,ISNE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,206364851.0
GenX,MISC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,257267232.0
GenX,MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,132830457.0
GenX,MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,245046354.0
GenX,MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,314256044.0
GenX,NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,303378159.0
GenX,NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,106887403.0
GenX,NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,92035793.0
GenX,PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,146854356.0
GenX,PJMD,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,147573495.0
GenX,PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,392589733.0
GenX,PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,406352442.0
GenX,RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,147706477.0
GenX,SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,105115425.0
GenX,SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,73072529.0
GenX,SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,177101903.0
GenX,SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,291751832.0
GenX,SRCE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,281891414.0
GenX,SRSE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,332754761.0
