model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2040,no_cap_30yr_results,MW,3.65555e-05
GenX,2,BASN_to_CASO,2040,no_cap_30yr_results,MW,2.25697e-05
GenX,3,BASN_to_NWPP,2040,no_cap_30yr_results,MW,0.00010757
GenX,4,BASN_to_RMRG,2040,no_cap_30yr_results,MW,0.00073736
GenX,5,BASN_to_SRSG,2040,no_cap_30yr_results,MW,0.00456773
GenX,6,CANO_to_CASO,2040,no_cap_30yr_results,MW,0.000928652
GenX,7,CANO_to_NWPP,2040,no_cap_30yr_results,MW,0.000165235
GenX,8,CASO_to_NWPP,2040,no_cap_30yr_results,MW,9.62853e-05
GenX,9,CASO_to_SRSG,2040,no_cap_30yr_results,MW,0.000197532
GenX,10,FRCC_to_SRSE,2040,no_cap_30yr_results,MW,0.000258722
GenX,11,ISNE_to_NYCW,2040,no_cap_30yr_results,MW,3.06237e-06
GenX,12,ISNE_to_NYUP,2040,no_cap_30yr_results,MW,0.000359693
GenX,13,MISC_to_MISE,2040,no_cap_30yr_results,MW,0.00815466
GenX,14,MISC_to_MISS,2040,no_cap_30yr_results,MW,0.000115557
GenX,15,MISC_to_MISW,2040,no_cap_30yr_results,MW,3.14952e-05
GenX,16,MISC_to_PJMC,2040,no_cap_30yr_results,MW,0.000616159
GenX,17,MISC_to_PJMW,2040,no_cap_30yr_results,MW,0.000447911
GenX,18,MISC_to_SPPC,2040,no_cap_30yr_results,MW,2.03887e-05
GenX,19,MISC_to_SPPN,2040,no_cap_30yr_results,MW,0.00711834
GenX,20,MISC_to_SPPS,2040,no_cap_30yr_results,MW,0.000168682
GenX,21,MISC_to_SRCE,2040,no_cap_30yr_results,MW,0.00122044
GenX,22,MISE_to_MISW,2040,no_cap_30yr_results,MW,0.0055039
GenX,23,MISE_to_PJMW,2040,no_cap_30yr_results,MW,1.07141e-06
GenX,24,MISS_to_SPPC,2040,no_cap_30yr_results,MW,305.539
GenX,25,MISS_to_SPPS,2040,no_cap_30yr_results,MW,0.000112837
GenX,26,MISS_to_SRCE,2040,no_cap_30yr_results,MW,0.000543732
GenX,27,MISS_to_SRSE,2040,no_cap_30yr_results,MW,2.62709e-05
GenX,28,MISW_to_NWPP,2040,no_cap_30yr_results,MW,2.81867e-05
GenX,29,MISW_to_PJMC,2040,no_cap_30yr_results,MW,2.47241e-05
GenX,30,MISW_to_SPPC,2040,no_cap_30yr_results,MW,0.00584753
GenX,31,MISW_to_SPPN,2040,no_cap_30yr_results,MW,0.000283359
GenX,32,NWPP_to_RMRG,2040,no_cap_30yr_results,MW,0.000118651
GenX,33,NYCW_to_NYUP,2040,no_cap_30yr_results,MW,0.000115069
GenX,34,NYCW_to_PJME,2040,no_cap_30yr_results,MW,3.23084e-05
GenX,35,NYUP_to_PJME,2040,no_cap_30yr_results,MW,0.000149274
GenX,36,PJMC_to_PJMW,2040,no_cap_30yr_results,MW,7.30216e-05
GenX,37,PJMD_to_PJME,2040,no_cap_30yr_results,MW,2856.75
GenX,38,PJMD_to_PJMW,2040,no_cap_30yr_results,MW,0.00024627
GenX,39,PJMD_to_SRCA,2040,no_cap_30yr_results,MW,2.61183e-05
GenX,40,PJME_to_PJMW,2040,no_cap_30yr_results,MW,0.000850241
GenX,41,PJMW_to_SRCA,2040,no_cap_30yr_results,MW,2.64858e-05
GenX,42,PJMW_to_SRCE,2040,no_cap_30yr_results,MW,0.00100506
GenX,43,RMRG_to_SPPC,2040,no_cap_30yr_results,MW,26.0973
GenX,44,RMRG_to_SPPN,2040,no_cap_30yr_results,MW,4326.26
GenX,45,RMRG_to_SRSG,2040,no_cap_30yr_results,MW,6.11923e-05
GenX,46,SPPC_to_SPPN,2040,no_cap_30yr_results,MW,7.7937e-05
GenX,47,SPPC_to_SPPS,2040,no_cap_30yr_results,MW,0.000293602
GenX,48,SPPN_to_SPPS,2040,no_cap_30yr_results,MW,1492.58
GenX,49,SPPS_to_SRSG,2040,no_cap_30yr_results,MW,2220.29
GenX,50,SPPS_to_TRE,2040,no_cap_30yr_results,MW,2.26889e-05
GenX,51,SPPS_to_TRE_WEST,2040,no_cap_30yr_results,MW,3356.91
GenX,52,SRCA_to_SRCE,2040,no_cap_30yr_results,MW,0.000288346
GenX,53,SRCA_to_SRSE,2040,no_cap_30yr_results,MW,2.11964e-06
GenX,54,SRCE_to_SRSE,2040,no_cap_30yr_results,MW,0.000160403
GenX,55,TRE_to_TRE_WEST,2040,no_cap_30yr_results,MW,0.00113241
GenX,56,NWPP_to_SPPN,2040,no_cap_30yr_results,MW,0.0047113
GenX,57,SRSG_to_TRE,2040,no_cap_30yr_results,MW,3018.49
GenX,1,BASN_to_CANO,2030,no_cap_30yr_results,MW,1.09292e-05
GenX,2,BASN_to_CASO,2030,no_cap_30yr_results,MW,5.1871e-05
GenX,3,BASN_to_NWPP,2030,no_cap_30yr_results,MW,4.68044e-05
GenX,4,BASN_to_RMRG,2030,no_cap_30yr_results,MW,1.12619e-05
GenX,5,BASN_to_SRSG,2030,no_cap_30yr_results,MW,0.000107336
GenX,6,CANO_to_CASO,2030,no_cap_30yr_results,MW,0.000322794
GenX,7,CANO_to_NWPP,2030,no_cap_30yr_results,MW,4.2404e-05
GenX,8,CASO_to_NWPP,2030,no_cap_30yr_results,MW,0.000267003
GenX,9,CASO_to_SRSG,2030,no_cap_30yr_results,MW,0.000640823
GenX,10,FRCC_to_SRSE,2030,no_cap_30yr_results,MW,0.000112858
GenX,11,ISNE_to_NYCW,2030,no_cap_30yr_results,MW,6.77462e-05
GenX,12,ISNE_to_NYUP,2030,no_cap_30yr_results,MW,4.64859e-05
GenX,13,MISC_to_MISE,2030,no_cap_30yr_results,MW,0.0018794
GenX,14,MISC_to_MISS,2030,no_cap_30yr_results,MW,0.000118103
GenX,15,MISC_to_MISW,2030,no_cap_30yr_results,MW,4.4981e-05
GenX,16,MISC_to_PJMC,2030,no_cap_30yr_results,MW,0.000190437
GenX,17,MISC_to_PJMW,2030,no_cap_30yr_results,MW,0.00155784
GenX,18,MISC_to_SPPC,2030,no_cap_30yr_results,MW,2.69263e-05
