model,line,line_name,planning_year,case,unit,AnnualSum
GenX,1.0,BASN_to_CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,5708086.89193202
GenX,2.0,BASN_to_CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1335258280.5618055
GenX,3.0,BASN_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,380714926.3180151
GenX,4.0,BASN_to_RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1319322110.9413407
GenX,5.0,BASN_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,126258481.26903056
GenX,6.0,CANO_to_CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,838589102.878818
GenX,7.0,CANO_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,829256480.5826107
GenX,8.0,CASO_to_NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,870153533.274869
GenX,9.0,CASO_to_SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,772952134.747943
GenX,10.0,FRCC_to_SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,143961662.210277
GenX,11.0,ISNE_to_NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,82716835.7150931
GenX,12.0,ISNE_to_NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,143614390.72237504
GenX,13.0,MISC_to_MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1109.4979132904746
GenX,14.0,MISC_to_MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,320766025.8767952
GenX,15.0,MISC_to_MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,448769821.7109975
GenX,16.0,MISC_to_PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,166118799.33685905
GenX,17.0,MISC_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,407856786.79709136
GenX,18.0,MISC_to_SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,291031646.1664151
GenX,19.0,MISC_to_SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1046.7744452807772
GenX,20.0,MISC_to_SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,241904976.6887169
GenX,21.0,MISC_to_SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,718655083.5575004
GenX,22.0,MISE_to_MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1039.423138075055
GenX,23.0,MISE_to_PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_noCap_greg,MWh,1460835804.5105748
