region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
BASN,BASN_biomass_1,1,1,1,0.0,0.0,2.4739399999999995e6,0.0,845295.3599999904,1.9685352960000027e6,0.0,0.0,0.0,8.51166157407463e6,0.0,0.0,0.0,0.0,0.0,8.51166157407463e6,5.287770655999993e6,3.2238909180746367e6
BASN,BASN_conventional_hydroelectric_1,1,1,2,0.0,0.0,6.955105839999999e7,0.0,0.0,0.0,0.0,0.0,0.0,4.7832182243574864e8,0.0,0.0,0.0,0.0,0.0,4.7832182243574864e8,6.955105839999999e7,4.0877076403574866e8
BASN,BASN_conventional_steam_coal_1,1,1,3,0.0,0.0,2.05603286e7,0.0,4.437675054751934e6,3.3272176862639107e7,0.0,0.0,0.0,1.4023475871748114e8,0.0,0.0,0.0,0.0,0.0,1.4023475871748114e8,5.827018051739104e7,8.19645782000901e7
BASN,BASN_geothermal_1,1,1,4,0.0,0.0,1.18142065e7,0.0,0.0,0.0,0.0,0.0,0.0,2.9323703141135026e7,0.0,0.0,0.0,0.0,0.0,2.9323703141135026e7,1.18142065e7,1.7509496641135026e7
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,5,0.0,0.0,8.850223739999998e7,0.0,4.013287621082668e7,3.612826596838418e8,0.0,0.0,0.0,2.2538802828378625e9,0.0,0.0,0.0,0.0,0.0,2.2538802828378625e9,4.899177732946685e8,1.763962509543194e9
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,6,0.0,0.0,2.0234961599999998e7,0.0,2.0855724462589938e6,1.9587001224449158e7,0.0,0.0,0.0,4.356140306530681e8,0.0,0.0,0.0,0.0,0.0,4.356140306530681e8,4.190753527070815e7,3.9370649538236e8
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,7,0.0,0.0,4.2735e6,0.0,416176.3616904698,3.5616953744672765e6,0.0,0.0,0.0,5.0980598994147226e7,0.0,0.0,0.0,0.0,0.0,5.0980598994147226e7,8.251371736157747e6,4.272922725798948e7
BASN,BASN_onshore_wind_turbine_1,1,1,8,0.0,0.0,2.236e7,0.0,0.0,0.0,0.0,0.0,0.0,5.8612215296666905e7,0.0,0.0,0.0,0.0,0.0,5.8612215296666905e7,2.236e7,3.6252215296666905e7
BASN,BASN_small_hydroelectric_1,1,1,9,0.0,0.0,6.7466832e6,0.0,0.0,0.0,0.0,0.0,0.0,7.442513839770147e7,0.0,0.0,0.0,0.0,0.0,7.442513839770147e7,6.7466832e6,6.767845519770147e7
BASN,BASN_solar_photovoltaic_1,1,1,10,0.0,0.0,9.66952266e7,0.0,0.0,0.0,0.0,0.0,0.0,4.0898728827729136e8,0.0,0.0,0.0,0.0,0.0,4.0898728827729136e8,9.66952266e7,3.122920616772914e8
CANO,CANO_biomass_1,2,1,11,0.0,0.0,8.613535e6,0.0,3.451873152000023e6,8.036080415999818e6,0.0,0.0,0.0,2.6918818106012248e7,0.0,0.0,0.0,0.0,0.0,2.6918818106012248e7,2.010148856799984e7,6.817329538012408e6
CANO,CANO_conventional_hydroelectric_1,2,1,12,0.0,0.0,2.6438623600000003e8,0.0,0.0,0.0,0.0,0.0,0.0,1.4302345176584325e9,0.0,0.0,0.0,0.0,0.0,1.4302345176584325e9,2.6438623600000003e8,1.1658482816584325e9
CANO,CANO_hydroelectric_pumped_storage_1,2,1,13,0.0,0.0,1.071235912e8,0.0,0.0,0.0,0.0,0.0,5.170657773823514e7,4.5911198366847104e8,0.0,0.0,0.0,0.0,0.0,4.5911198366847104e8,1.5883016893823513e8,3.0028181473023593e8
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,14,0.0,0.0,1.2995486080000001e8,0.0,8.039808762939027e7,6.684586690523e8,0.0,0.0,0.0,2.751331779733217e9,0.0,0.0,0.0,0.0,0.0,2.751331779733217e9,8.788116174816903e8,1.8725201622515264e9
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,15,0.0,0.0,3.4161633800000004e7,0.0,2.52568053861506e6,2.2107214785695408e7,0.0,0.0,0.0,5.423008668344033e8,0.0,0.0,0.0,0.0,0.0,5.423008668344033e8,5.879452912431048e7,4.835063377100928e8
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,16,0.0,0.0,9.1119e6,0.0,859913.7755025945,7.006728984976888e6,0.0,0.0,0.0,8.477335994357255e7,0.0,0.0,0.0,0.0,0.0,8.477335994357255e7,1.697854276047948e7,6.779481718309307e7
CANO,CANO_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,148778.69999999998,0.0,1839.4179179850962,66965.05048420088,0.0,0.0,0.0,590053.805419221,0.0,0.0,0.0,0.0,0.0,590053.805419221,217583.16840218595,372470.6370170351
CANO,CANO_onshore_wind_turbine_1,2,1,18,0.0,0.0,2.6574e6,0.0,0.0,0.0,0.0,0.0,0.0,7.380709769384583e6,0.0,0.0,0.0,0.0,0.0,7.380709769384583e6,2.6574e6,4.723309769384583e6
CANO,CANO_petroleum_liquids_1,2,1,19,0.0,0.0,3.1626e6,0.0,59014.8112831887,2.5306765530939344e6,0.0,0.0,0.0,2.684217957543977e7,0.0,0.0,0.0,0.0,0.0,2.684217957543977e7,5.752291364377123e6,2.1089888211062647e7
CANO,CANO_small_hydroelectric_1,2,1,20,0.0,0.0,9.1884744e6,0.0,0.0,0.0,0.0,0.0,0.0,9.207084371460947e7,0.0,0.0,0.0,0.0,0.0,9.207084371460947e7,9.1884744e6,8.288236931460947e7
CANO,CANO_solar_photovoltaic_1,2,1,21,0.0,0.0,5.66004837e7,0.0,0.0,0.0,0.0,0.0,0.0,2.4350142834494403e8,0.0,0.0,0.0,0.0,0.0,2.4350142834494403e8,5.66004837e7,1.86900944644944e8
CASO,CASO_biomass_1,3,1,22,0.0,0.0,9.98627e6,0.0,2.602454399999979e6,6.049260672000051e6,0.0,0.0,0.0,3.2840725490980145e7,0.0,0.0,0.0,0.0,0.0,3.2840725490980145e7,1.863798507200003e7,1.4202740418980114e7
CASO,CASO_conventional_hydroelectric_1,3,1,23,0.0,0.0,4.3237112e7,0.0,0.0,0.0,0.0,0.0,0.0,2.5980738828313076e8,0.0,0.0,0.0,0.0,0.0,2.5980738828313076e8,4.3237112e7,2.1657027628313076e8
CASO,CASO_geothermal_1,3,1,24,0.0,0.0,4.934783600000001e6,0.0,0.0,0.0,0.0,0.0,0.0,1.1707561067079067e7,0.0,0.0,0.0,0.0,0.0,1.1707561067079067e7,4.934783600000001e6,6.772777467079067e6
CASO,CASO_hydroelectric_pumped_storage_1,3,1,25,0.0,0.0,7.833492e7,0.0,0.0,0.0,0.0,0.0,7.73205462501688e7,4.6506820892696315e8,0.0,0.0,0.0,0.0,0.0,4.6506820892696315e8,1.556554662501688e8,3.0941274267679435e8
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,26,0.0,0.0,9.791071619999999e7,0.0,4.996249564220596e7,4.3878262772880816e8,0.0,0.0,0.0,2.482111648017669e9,0.0,0.0,0.0,0.0,0.0,2.482111648017669e9,5.866558395710142e8,1.895455808446655e9
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,27,0.0,0.0,6.005309100000001e7,0.0,8.454333131392332e6,6.943841623911446e7,0.0,0.0,0.0,1.2502403649905975e9,0.0,0.0,0.0,0.0,0.0,1.2502403649905975e9,1.3794584037050682e8,1.1122945246200907e9
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,28,0.0,0.0,1.0206e6,0.0,152810.80467196344,1.2439672704895975e6,0.0,0.0,0.0,1.219133066130159e7,0.0,0.0,0.0,0.0,0.0,1.219133066130159e7,2.417378075161561e6,9.77395258614003e6
