Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,Total
AnnualSum,98006.79963771258,-1.188531433342079e7,-236056.44306365668,-8.340859007138599e6,-5.645914767603964e6,-1.0055708961695531e7,-4.195323184898047e6,675093.0558066211,3.1174441808309737e6,-5.715272657479621e6,-2.42964943313685e6,-3.032352292610314e6,6.469845888268368e-9,7.996161921764971e6,-5.158752954303467e6,-1.075992394359348e7,-2.0969990917130122e6,9.785341489964804e6,3.983364511351663e-8,1.7778259794905573e7,2.3422798979225967e7,-1.8623481877585854e-8,5.997194580919494e6,-6.157103884154574e6,-1.9473005270090327e7,-8.153528009787564e6,1.522764812137846e6,1.5040919592716156e6,7.916756121270443e6,2.8632171490652063e-8,4.0987784458771095e7,-867501.6637238949,773746.2255722241,-1.7682057348351616e6,-1.8338081941649443e6,832341.705562086,-6.781469925661558e7,-2.605461310418843e7,4.382639239296759e6,8.178393571773508e6,7.7284674363955045e6,2.098576883532558e7,-1.8689189621553723e7,-3.869114227263569e7,-165768.03163097773,2.551433167237047e6,1.7004355000853098e6,151922.9741809792,5.769362040009126e7,-1.0603384829768932e6,-1.3384119577473907e7,-129093.3384760406,1.7473305272615582e6,1.5400759453770753e7,-3.363723699627492e7,1.8258010981372026e-8,-1.8515965158972133e7,-8.301888847715233e7
t1,0.001353352316950713,35.83520688800586,-0.0003050591553226206,-3749.9900815028996,4.5981878503856675e-5,2174.7518470640534,-0.0013130185829062866,-0.018251061188602844,-1563.9876118135692,-0.0031679800772366666,-759.9956448032358,-50.64010961893622,-3.360865844775328e-14,1038.9977722100732,-1650.6662369628154,-3575.945391040186,-0.010226274062809931,2194.4968275668284,9.981789971598639e-12,4891.698214272789,3744.9964953219983,-5.333761076832338e-13,2.5752667002201613e-6,-1305.9615692320433,0.002659249456835687,-2634.7559561602866,0.00036725810381947686,199.99863741354804,2698.998366810707,9.35031786789951e-12,5511.997768560098,-0.003258922414102978,0.00791826724630549,4.7601038315302015e-5,-0.0084930646715857,-0.00943107352620468,-8464.09591494754,-3193.613853027211,999.9894518204972,0.013103050000371593,1218.9961337999462,3332.997910819192,-2785.3945268781777,-4736.29604968156,1231.872748787671,-643.324437492361,3371.9952738482216,2648.79599114158,9844.656697098853,-0.003223483405888666,-1113.2107310998895,0.0021947876569452405,1399.985505202409,777.8604300777607,-0.001326813778869368,-8.174036306862636e-12,-1600.9147253813871,9490.097134434243
t2,0.0061044012350706615,2271.318686139616,0.00023597947159992782,-3749.983274602047,0.00014266996162687787,0.0015735980352606835,-0.0012595923113193717,-0.0016892358703755428,-0.009684242902807033,-3599.994302110081,-759.9956433727953,-206.7559723608696,-2.7930847985993427e-13,1038.9953972252106,-562.291895274917,-2145.006972488746,-0.010531205579156164,2194.4918226152104,9.538988785152523e-12,4891.697474659648,3744.9754238009864,-6.226492609931263e-14,2.0664390609112686e-7,-1123.4031110176995,0.03089232323186963,-3286.169872497356,0.0004520033633482196,199.99848051570956,2.460525106601881,7.757078519208665e-12,5511.997181074913,-249.95814699411366,0.007860542578683601,4.579029906550033e-5,-0.008324426963486689,-0.009776569868836776,-8464.095909435177,-1766.0942842415955,999.9894051789051,0.013322139652512282,1218.9961273202937,3332.9961859999985,-2785.395448936725,-4736.294747101491,0.18369975240397768,10.15805677186798,3371.995891249195,2648.7946809012847,8946.786727429653,1359.493819777958,-0.003621397845568519,-0.0006416993687488561,0.0011446852630548794,2565.9589470751143,-1658.3261228516026,-9.88071829376168e-12,-0.0016221893773506269,9217.53745308901
t3,0.010378909878908478,2542.8232261773983,-0.0004752106219576117,-1360.0999848786216,-9.232553355220717e-8,0.0005899025280336349,-3674.9759297236315,-1213.8298345883143,-3563.312169455568,-3599.996361844005,-759.9956432812853,-358.7369641058593,1.152024215463878e-13,1038.9961881161908,-0.0021255731652164082,-1842.3467989553583,-0.0014415474869656105,2194.495846314883,7.75657969234053e-12,4891.697757231443,3744.9899083034543,-7.342673168453221e-13,-9.670452160157048e-7,-0.002997070678186299,891.4343725235354,-3795.198911410423,0.0003170463564333947,199.99787710786663,-2.223128290064521e-7,6.178910120108199e-12,5511.996766725271,-0.001322806974141838,0.007963403273985979,4.5682132029357554e-5,-0.008394698769548745,5.572408765799804e-6,-8464.095908551017,-1370.5546050714238,999.9893947746964,0.01332512820261532,1218.9961272046821,3332.9946054406364,-2785.395444055244,-4736.295798373975,0.004158661030606222,-0.0001338816653662473,3371.994264104155,2648.7939823184133,10498.94711195013,0.010645220957114284,-0.016708928542506832,-0.0020234457312007723,1.932741601503727e-6,3128.4771794937797,-336.02289389659717,-8.885330750373778e-12,-0.0022751482551834077,8355.776891461152
t4,99.96328010797559,1492.601161844953,-0.0007622790250335648,-0.02193095976306707,2.1800990244291437e-6,-707.1947679501657,-3674.99706028039,-2857.980401151914,-0.1811574308818065,-3599.996359028791,-759.9956432164204,-480.93719851123024,2.7884662361655097e-13,1038.995679943815,-0.002146779628024101,-1767.1962776108935,-0.001450450213766257,2194.494925029824,7.366326916358009e-12,4891.6954880106205,3744.984723210725,-1.2065874884150548e-12,-1.5436230974319362e-6,-0.004319480841295634,-0.0017440236303252166,-2669.2952517266845,0.0020080443276106,199.9942963220013,3.3920857670842855e-6,5.753540687345065e-12,5511.99676724305,-0.0008509892838931803,0.008024290568868069,4.584043229618177e-5,-0.008437815638831874,2.9234920417469622e-6,-8464.09591016245,-1126.4981931953623,999.9893834171149,0.013326171442485452,1218.9961271454706,3332.9935135047085,-2785.36856222552,-3149.7029803312344,0.0036681572304387874,338.40901505172286,0.01689074990212267,0.0013384525918226126,7159.540856703678,951.4507375388798,896.9878735940465,-0.003017250804413377,9.665971640312865e-6,3195.972210221913,-0.0007867014163881855,-3.769776683589256e-12,-0.0018866892241202742,5225.624260973621
t5,0.005423668068725887,0.008855128749439408,-0.0007658145038209461,-0.021793480868717886,-7.172504011371743e-7,0.001322853681396027,-3266.4496651497707,-1176.826752953708,-0.00831365389844868,-3599.996363930634,-759.995643022582,-540.720817972501,4.692819775350338e-13,1038.995660018403,-0.0021784735943426773,-1490.1771011244323,-0.0014713479110124862,2194.4948989165728,6.794508618877496e-12,4891.695449809917,3744.984568687449,-1.3260137215683411e-12,-1.8857713671295806e-6,-0.004291513709543208,-0.0017155997675602334,-2646.651495430032,0.002023173113289862,199.994291973314,5.784344880832074e-6,5.19852700191471e-12,5511.996762994477,-0.000854684896821775,0.008048617700594379,4.663248511648535e-5,-0.008456631834176307,8.619807420389832e-7,-8464.095915185046,-915.0527439973724,999.9893670754811,0.013326308063475383,1218.9961270563738,3332.9935100648036,-2785.368448109966,-3191.8574694363892,0.0036659549228005416,379.0749742089673,0.016998949006938838,0.0013801184224476585,8327.14692200796,1024.1648050947576,801.1198898720612,-0.003015858555180802,1.1114099632299922e-5,3195.9722926449585,-0.0008236919904943701,-1.1959754543025052e-12,-0.0018777454458981037,8024.432652177715
t6,0.005450563347342964,0.009262336031191892,-0.000767273636651102,-0.021763848589568355,-3.1926991071832456e-6,0.0013408200605209836,-2858.5719683733028,-322.25280269473643,-0.008745283334987308,-3599.9963615942215,-759.9956428774229,-503.9430147140347,9.062478878950521e-13,1038.995671346416,-0.0021531378096911013,-1773.7562599506448,-0.0014520168470184569,2194.494950469701,6.188297688965739e-12,4891.695506950598,3744.9846909577877,-1.8843388366178395e-12,-1.7908194587847793e-6,-0.004224442154505554,-0.0017614272524201224,-2449.029203428442,0.001998173645027459,199.99429074131282,3.3097772072149965e-6,4.656089158564393e-12,5511.996761306436,-0.0008565868103092354,0.008028600300454122,4.830133984065724e-5,-0.008442891837794378,2.7831149468440763e-6,-8464.095905392875,-1261.1500443063026,999.9893916933352,0.013323155229236232,1218.9961275694066,3332.9935112913067,-2785.367942600963,-3336.9612237549736,0.003667491657462473,711.5581633945138,0.017118422813651186,0.0015233443074877493,9790.0898724682,907.2015531835739,464.8666943187488,-0.003017129572222605,6.939425464296729e-6,3195.9721318949855,-0.0008158402000731175,-3.517366986623312e-13,-0.001830542311179953,10088.714886735588
t7,0.006555981800395204,-0.0006488186030551389,-0.0007687237139063321,-0.02161008720970524,-3.5265292414027368e-6,-246.4942610480576,-2132.6337517915526,-0.0005652900376585253,0.0006360710092238836,-3599.9963960044206,-759.995642671098,-344.93645714359474,1.4878535744650743e-12,1038.9943957335975,-0.0050261002213591545,-2574.4806455820426,-0.0028758541648327258,2194.4942090530544,5.0047350715825165e-12,4891.683400656548,3551.933500348017,-2.5169127979843394e-12,-1.0558175547655035e-6,-0.0025432448777075113,-2811.0061198783983,-25.950959952081135,0.00188514514721077,199.99428066212,0.003916355985368919,3.8905939526668345e-12,5511.9967591505665,-0.0008464649782934235,0.007951273037188003,5.026939684390625e-5,-0.008388599460258911,-0.002013322239490651,-8464.095900805394,-1780.821896999329,999.9894122196619,0.013315626099933371,1218.996130059766,3332.9935292472223,-2393.9191245026277,-3166.172606269444,0.0036241372680995126,0.01007469169418476,-0.02695102600334091,-0.09505566438743038,10499.09243487311,1237.1957137484756,131.42616694020458,-0.003016422385093145,-2.4494889311706354e-5,3195.9714645394056,-0.0009296175757271818,2.675011787082134e-12,-0.008626830571575934,9704.12574899149
t8,0.006535972366166553,-0.0006123944342647145,-0.0007685670838909428,-0.00866877399990921,4.401342032020291e-6,-417.25532280638106,-1437.0447905520311,-0.0005969512245492637,0.0006190294785133182,-3599.996385462115,-759.9956425573542,-236.21767654003585,1.5101944666819588e-12,1038.994418926073,-0.011529069667778582,-2063.308067049147,-0.004486399734834196,2194.493944264542,5.093695310605743e-12,4891.692727377618,2533.4817839773546,-2.41716553086015e-12,1.2465570511433123e-6,-0.003399830540622475,-0.003893919645905874,-2851.2139857582515,0.00026860027127879,199.994277767534,0.01103956632344741,4.506106417774492e-12,5511.99676871236,-0.0006496317720395097,0.007884460983077485,5.447859044537216e-5,-0.00834490210947672,-0.0037263950986677653,-8464.09590123838,-2229.2978051821433,999.9894213473451,0.013295869026172288,1218.9961360313569,3332.994451259269,-1060.6018919801409,-4736.2629395138665,0.0027133144023451274,-6.152783714292266e-6,0.001722788753110986,0.0013146008470627324,7144.608587459689,1359.6924783426105,2641.443300919868,-0.002157360195334953,-8.971850240797549e-5,1806.0160435736386,-2000.5112240042376,4.58259911731327e-12,-0.000529881576544258,5018.58870169576
t9,0.005495602211967063,-0.0006645607986208991,-0.0007664530602301852,-0.00906089641865896,-1.524384422849274e-6,-268.8670580642629,-844.4809652752316,-0.0005568332797949151,0.0006513578176795099,-3599.9963898507067,-759.9956435575622,-109.662573659996,2.4648706292703338e-12,1038.9955894167697,-0.0023069544881209442,-443.16480631592134,-0.001567658534299299,2194.4957268872795,6.582279217395458e-12,4891.6917201294245,3744.983916239767,-2.5094706856262766e-12,-1.1192674047779747e-6,-0.0016677009920658275,-0.05329321305967801,-3238.082592000166,0.0020254680778307296,199.99428465753653,-6.4183617622831295e-6,3.755710643373425e-12,5511.996752711705,-0.000687466108463969,0.007883268893417866,5.590334534934638e-5,-0.008386223386514775,1.1509693047268806e-6,-8464.095937616074,-549.8691890430339,999.9893096033504,0.013313883782194577,1218.9961277442656,3332.9934800795436,-2036.3000676517654,-4736.26152450929,0.0028265771599386,-1.154014779354013e-5,-715.2492773516597,-0.03339593319783728,10499.092044371779,1359.6921163660206,3365.589473798451,-0.0030138444050386527,4.562920346090555e-6,3195.9722454834455,-3396.440150005704,1.674313392164977e-12,-0.0014738134846727217,12391.932008209778
