model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_thin,kg,44805955912.45797
SWITCH,CANO,2030,base_thin,kg,19778511877.749687
SWITCH,CASO,2030,base_thin,kg,23658489307.5951
SWITCH,FRCC,2030,base_thin,kg,104810777428.73857
SWITCH,ISNE,2030,base_thin,kg,33358079749.177402
SWITCH,MISC,2030,base_thin,kg,136693867990.67216
SWITCH,MISE,2030,base_thin,kg,47888496299.31193
SWITCH,MISS,2030,base_thin,kg,89289803394.44891
SWITCH,MISW,2030,base_thin,kg,118065933279.74655
SWITCH,NWPP,2030,base_thin,kg,18014666857.885098
SWITCH,NYCW,2030,base_thin,kg,14281322584.542664
SWITCH,NYUP,2030,base_thin,kg,6656807165.649398
SWITCH,PJMC,2030,base_thin,kg,27959384695.00772
SWITCH,PJMD,2030,base_thin,kg,15359600418.45236
SWITCH,PJME,2030,base_thin,kg,147364820016.0762
SWITCH,PJMW,2030,base_thin,kg,207057890999.90735
SWITCH,RMRG,2030,base_thin,kg,63675040834.722206
SWITCH,SPPC,2030,base_thin,kg,68736908426.95712
SWITCH,SPPN,2030,base_thin,kg,47521807615.65528
SWITCH,SPPS,2030,base_thin,kg,79866374471.94933
SWITCH,SRCA,2030,base_thin,kg,102983100502.47464
SWITCH,SRCE,2030,base_thin,kg,73514347460.07875
SWITCH,SRSE,2030,base_thin,kg,131966282078.99959
SWITCH,SRSG,2030,base_thin,kg,53891868177.49581
SWITCH,TRE,2030,base_thin,kg,164265465967.26544
SWITCH,TRE_WEST,2030,base_thin,kg,10080441072.412785
SWITCH,BASN,2040,base_thin,kg,58810423623.9327
SWITCH,CANO,2040,base_thin,kg,28282905379.668007
SWITCH,CASO,2040,base_thin,kg,34509293311.47042
SWITCH,FRCC,2040,base_thin,kg,117503298182.3603
SWITCH,ISNE,2040,base_thin,kg,53496859509.86722
SWITCH,MISC,2040,base_thin,kg,121080863438.92905
SWITCH,MISE,2040,base_thin,kg,36440217056.61012
SWITCH,MISS,2040,base_thin,kg,104073024557.11952
SWITCH,MISW,2040,base_thin,kg,151196547430.50003
SWITCH,NWPP,2040,base_thin,kg,48818793911.17875
SWITCH,NYCW,2040,base_thin,kg,22841005289.975014
SWITCH,NYUP,2040,base_thin,kg,12015083575.805481
SWITCH,PJMC,2040,base_thin,kg,15758630559.049982
SWITCH,PJMD,2040,base_thin,kg,13995676135.123457
SWITCH,PJME,2040,base_thin,kg,114271359386.11845
SWITCH,PJMW,2040,base_thin,kg,157823406060.51468
SWITCH,RMRG,2040,base_thin,kg,61107607337.6085
SWITCH,SPPC,2040,base_thin,kg,51747082375.330444
SWITCH,SPPN,2040,base_thin,kg,39574432921.269394
SWITCH,SPPS,2040,base_thin,kg,51681931732.06159
SWITCH,SRCA,2040,base_thin,kg,66260362917.203735
SWITCH,SRCE,2040,base_thin,kg,53124560000.705444
SWITCH,SRSE,2040,base_thin,kg,107528155129.98302
SWITCH,SRSG,2040,base_thin,kg,55931601834.35508
SWITCH,TRE,2040,base_thin,kg,139577348581.57144
SWITCH,TRE_WEST,2040,base_thin,kg,7085761598.855802
SWITCH,BASN,2050,base_thin,kg,68059799116.03449
SWITCH,CANO,2050,base_thin,kg,39417254699.6293
SWITCH,CASO,2050,base_thin,kg,51099451971.49026
SWITCH,FRCC,2050,base_thin,kg,89796092574.68083
SWITCH,ISNE,2050,base_thin,kg,63967054046.70017
SWITCH,MISC,2050,base_thin,kg,109202222621.75673
SWITCH,MISE,2050,base_thin,kg,43139568454.549
SWITCH,MISS,2050,base_thin,kg,74491532490.88368
SWITCH,MISW,2050,base_thin,kg,130202436424.71384
SWITCH,NWPP,2050,base_thin,kg,73465265195.85849
SWITCH,NYCW,2050,base_thin,kg,28519519685.970634
SWITCH,NYUP,2050,base_thin,kg,22128812760.151077
SWITCH,PJMC,2050,base_thin,kg,26254635943.46861
SWITCH,PJMD,2050,base_thin,kg,11815465886.541744
SWITCH,PJME,2050,base_thin,kg,144436931166.96912
SWITCH,PJMW,2050,base_thin,kg,155986884610.7842
SWITCH,RMRG,2050,base_thin,kg,40017235818.054245
SWITCH,SPPC,2050,base_thin,kg,14465575531.56924
SWITCH,SPPN,2050,base_thin,kg,25366540057.876057
SWITCH,SPPS,2050,base_thin,kg,27321249542.704144
SWITCH,SRCA,2050,base_thin,kg,67997822452.808205
SWITCH,SRCE,2050,base_thin,kg,51250698475.6464
SWITCH,SRSE,2050,base_thin,kg,90792931941.60791
SWITCH,SRSG,2050,base_thin,kg,44156689206.56257
SWITCH,TRE,2050,base_thin,kg,118330981065.39117
SWITCH,TRE_WEST,2050,base_thin,kg,4809583898.518515
