value,model,zone,resource_name,tech_type,planning_year,case,timestep,unit
154594.3969562449,SWITCH,BASN,BASN_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_battery_moderate_0,Battery,2030,base_thin,all,MWh
389625.5999999999,SWITCH,BASN,BASN_biomass_1,Other,2030,base_thin,all,MWh
13617359.34214527,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
26209747.2,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_thin,all,MWh
3866778.64,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
7031606.3999999985,SWITCH,BASN,BASN_geothermal_1,Geothermal,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh
45648316.409520276,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh
45179.54659769919,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh
74229.72212547013,SWITCH,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,2030,base_thin,all,MWh
4099284.7112953207,SWITCH,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_petroleum_liquids_1,Other,2030,base_thin,all,MWh
3302208.000000001,SWITCH,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_thin,all,MWh
15852424.28052377,SWITCH,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_utilitypv_class1_moderate_2,Solar,2030,base_thin,all,MWh
404749.950629839,SWITCH,CANO,CANO_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_battery_moderate_0,Battery,2030,base_thin,all,MWh
5670537.599999998,SWITCH,CANO,CANO_biomass_1,Other,2030,base_thin,all,MWh
29450826.296505537,SWITCH,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
12231856.202,SWITCH,CANO,CANO_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
143708.5538998426,SWITCH,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh
48458641.33078117,SWITCH,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh
34899.15484906217,SWITCH,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh
221372.8925898043,SWITCH,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_nuclear_nuclear_moderate_0,Nuclear,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_2,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_2,Wind,2030,base_thin,all,MWh
2938185.7456,SWITCH,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_petroleum_liquids_1,Other,2030,base_thin,all,MWh
5211024.0,SWITCH,CANO,CANO_small_hydroelectric_1,Hydro,2030,base_thin,all,MWh
12741866.52794,SWITCH,CANO,CANO_solar_photovoltaic_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_utilitypv_class1_moderate_2,Solar,2030,base_thin,all,MWh
4528673.017884388,SWITCH,CASO,CASO_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_battery_moderate_0,Battery,2030,base_thin,all,MWh
2560521.6,SWITCH,CASO,CASO_biomass_1,Other,2030,base_thin,all,MWh
3908434.7746767118,SWITCH,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
19032942.696,SWITCH,CASO,CASO_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
37192.83172471413,SWITCH,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh
53712939.02851679,SWITCH,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh
880729.6372585198,SWITCH,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh
53914.8,SWITCH,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_nuclear_nuclear_moderate_0,Nuclear,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_0_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_0_2,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_1_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_offshorewind_class12_moderate_floating_1_2,Wind,2030,base_thin,all,MWh
14431301.965079077,SWITCH,CASO,CASO_onshore_wind_turbine_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_petroleum_liquids_1,Other,2030,base_thin,all,MWh
2002291.2,SWITCH,CASO,CASO_small_hydroelectric_1,Hydro,2030,base_thin,all,MWh
29149356.813867725,SWITCH,CASO,CASO_solar_photovoltaic_1,Solar,2030,base_thin,all,MWh
35688408.8791095,SWITCH,CASO,CASO_utilitypv_class1_moderate_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_utilitypv_class1_moderate_2,Solar,2030,base_thin,all,MWh
0.0,SWITCH,FRCC,FRCC_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,FRCC,FRCC_battery_moderate_0,Battery,2030,base_thin,all,MWh
6473376.0,SWITCH,FRCC,FRCC_biomass_1,Other,2030,base_thin,all,MWh
201609.3382078431,SWITCH,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
42518112.0,SWITCH,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,base_thin,all,MWh
11149486.175999999,SWITCH,FRCC,FRCC_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
0.0,SWITCH,FRCC,FRCC_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,FRCC,FRCC_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
