Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_1,1,222768.0,25.5,1.0
BASN_conventional_hydroelectric_1,1,5.071789325500036e6,1478.3,0.39272269831245155
BASN_conventional_steam_coal_1,1,2.360465655363306e6,270.2,0.999999345622471
BASN_geothermal_1,1,953970.9373004263,109.2,0.9999997246252574
BASN_natural_gas_fired_combined_cycle_1,1,1.2027283982072521e7,8151.9,0.1688869515171192
BASN_natural_gas_fired_combustion_turbine_1,1,522303.4551848691,1819.2,0.03286471164422626
BASN_natural_gas_internal_combustion_engine_1,1,100531.10735002725,203.5,0.05654880443319476
BASN_onshore_wind_turbine_1,1,1.175892369993415e6,520.0,0.2588520467899001
BASN_small_hydroelectric_1,1,2.6697216000000257e6,305.6,1.0000000000000095
BASN_solar_photovoltaic_1,1,8.832236691541025e6,4274.2,0.23653925993190342
CANO_biomass_1,2,1.4693951999999962e6,168.2,0.9999999999999974
CANO_conventional_hydroelectric_1,2,1.5085477178575436e7,5616.8,0.30743794377626044
CANO_hydroelectric_pumped_storage_1,2,1.4107061606585055e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,3.5568909420356154e7,10966.1,0.37128356222759823
CANO_natural_gas_fired_combustion_turbine_1,2,1.0229212601085268e6,2949.8,0.03969510986700217
CANO_natural_gas_internal_combustion_engine_1,2,322875.1525465059,421.1,0.08776811227074312
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,130284.7038278485,61.8,0.24131945153456535
CANO_petroleum_liquids_1,2,8310.500245787298,148.4,0.006410333735198726
CANO_small_hydroelectric_1,2,4.721808e6,540.5,1.0
CANO_solar_photovoltaic_1,2,5.443991687897134e6,2501.9,0.2490777196097053
CASO_biomass_1,3,1.4519231999999953e6,166.2,0.9999999999999969
CASO_conventional_hydroelectric_1,3,2.2542575927366195e6,919.0,0.28078597046885395
CASO_geothermal_1,3,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,2.392187376856744e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,1.4501065807018876e7,7651.7,0.21693486892033514
CASO_natural_gas_fired_combustion_turbine_1,3,2.327260086680967e6,5216.1,0.051072414149667636
CASO_natural_gas_internal_combustion_engine_1,3,45832.15800285595,48.6,0.10794969306058641
CASO_onshore_wind_turbine_1,3,1.5292436354109228e6,416.1,0.420694021729696
CASO_petroleum_liquids_1,3,184.8797329684082,3.3,0.006413022150363811
CASO_small_hydroelectric_1,3,1.967347200000008e6,225.2,1.0000000000000042
CASO_solar_photovoltaic_1,3,1.4551488994126355e7,6500.5,0.2562406617166099
FRCC_biomass_1,4,4.0910688000000264e6,468.3,1.0000000000000064
FRCC_conventional_hydroelectric_1,4,118665.53051291671,43.5,0.31226456389445895
FRCC_conventional_steam_coal_1,4,6.570060853342983e6,898.0,0.8374915427321936
FRCC_natural_gas_fired_combined_cycle_1,4,1.0196528934470029e8,37450.7,0.31165908478418425
FRCC_natural_gas_fired_combustion_turbine_1,4,686796.2293844919,6834.6,0.011502763073060685
FRCC_natural_gas_internal_combustion_engine_1,4,53792.73632047854,232.4,0.02649566886092178
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,3.264489695986385e7,3737.0,0.9999529798497995
FRCC_petroleum_liquids_1,4,7.875629496104056,2.6,0.0003467362943832794
FRCC_solar_photovoltaic_1,4,9.813525323344605e6,5877.7,0.19111950256047486
ISNE_biomass_1,5,1.3558271999999888e6,155.2,0.9999999999999919
ISNE_conventional_hydroelectric_1,5,1.7666066888772254e6,464.8,0.43507199147778947
ISNE_hydroelectric_pumped_storage_1,5,619732.2305635129,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.6021510644492742e7,13445.9,0.13639578834818858
ISNE_natural_gas_fired_combustion_turbine_1,5,100209.25088764144,1753.4,0.006542054955163604
ISNE_natural_gas_internal_combustion_engine_1,5,30081.322807072283,52.4,0.0657132607528038
ISNE_natural_gas_steam_turbine_1,5,5858.28639296536,10.2,0.06574425403295536
ISNE_nuclear_1,5,2.924900006109826e7,3348.1,0.9999999473861787
ISNE_onshore_wind_turbine_1,5,55212.06730536497,39.8,0.158795543955368
ISNE_petroleum_liquids_1,5,11161.976697969409,392.4,0.003256113144353934
ISNE_small_hydroelectric_1,5,3.9294528000000264e6,449.8,1.0000000000000067
ISNE_solar_photovoltaic_1,5,1.7948541357269196e6,1159.8,0.17714684842550926
MISC_biomass_1,6,799344.0,91.5,1.0
MISC_conventional_hydroelectric_1,6,920313.8022482602,276.6,0.38086506109320833
MISC_conventional_steam_coal_1,6,2.3573216417280287e7,2698.4,0.9999997462069626
MISC_hydroelectric_pumped_storage_1,6,324167.1187178045,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,1.4632367174668461e7,5234.1,0.3200073470082317
MISC_natural_gas_fired_combustion_turbine_1,6,482229.9912130071,5522.2,0.009996073939187897
MISC_natural_gas_internal_combustion_engine_1,6,17903.96398412682,33.9,0.06045564680691575
