Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Total
AnnualSum,6.848389621890783e7,4.220403411935906e7,5.2048238086994275e7,9.280544520161854e7,6.3004349462932095e7,1.1597007661981688e8,4.544082602121904e7,7.38975720063568e7,1.389571345869255e8,8.955394371877438e7,2.6062856438001428e7,2.2544487155134138e7,1.82415936529724e7,1.1101956089761266e7,1.4860808993855232e8,1.6647658085867465e8,4.046761914451517e7,1.919918638855936e7,2.5122591453845087e7,2.3133763662220504e7,6.716536877452709e7,5.756703225278147e7,9.341605643304671e7,4.352485394214144e7,1.1868790140525438e8,4.742653648058713e6,1.6684281072809505e9
t1,7754.537619545902,7610.47606176162,9822.62609387567,11138.849412320591,5634.964996901758,12853.196033718723,3817.8547208259893,6433.779110433955,13141.16977062586,12623.915229606173,1997.8071852468863,1642.4398171084035,1290.8617124713664,999.2865772274664,10342.917065387865,16142.530218599468,6265.763358814373,2789.7419762095246,3380.7762678660165,5076.524627402684,6352.412525224875,6209.815871072131,9154.244790305058,5848.547312278863,20907.228784432788,1235.638870100211,190467.90600936423
t2,7754.531124989706,7610.475915872509,9822.625416004059,8422.715393502054,4604.668009436286,12853.19140984133,3402.911317188412,6433.773354187083,10974.920561715662,10383.26380163925,1997.806750951693,1642.4392440247525,1290.8613020118019,668.7314279414657,10305.756723332042,14889.064471448515,4739.958542558805,2461.2355363807505,3380.774428349087,4905.348928782329,4956.080305430625,6209.811500343993,8924.741219960804,5848.546845798407,14160.901743047862,1235.6374679206083,169880.7727426599
t3,7754.529766835371,6014.937737667259,6631.480866868381,7954.691137329887,4393.546047741645,12351.186220286723,3269.196456310629,6433.77323838485,10214.391574959673,10106.079713400772,1997.8067449413008,1642.4392258716073,1290.8610362690129,532.9864500902283,10268.20097081114,14651.001668701418,3131.7397934602345,1963.9832969833512,3323.0597985941445,1536.9575717377274,4907.398192313641,5560.150899319821,8329.900425450742,5848.546298471118,14128.205711817585,1116.080299347574,155353.13114396582
t4,7754.527122495701,3702.971532166249,6631.471922660951,7878.722287498752,4279.747077743418,12268.135684691633,3245.240085288338,6433.772898954672,10224.121480322807,10106.076643772933,1997.8067425302697,1642.4392146711568,1290.861029641524,464.3798458982548,10236.02296922284,14507.420210793905,1566.2430640458995,1053.0772706843827,2533.2653107071947,1536.9552894796664,4930.3401518470555,4948.363859849664,8056.0912245970385,5848.543576150098,14128.204837060692,0.0030066327193403832,147264.80433940783
t5,7730.312258922548,3188.3337864867826,6631.471808950101,7866.031066257891,4116.665402230079,12094.41939507702,3245.6980397334864,6433.772891598393,10266.90429957297,10106.076595440822,1997.806741145926,1642.4392099010256,1290.8610214074365,425.53028527473714,10207.41459357298,14446.5311059358,1566.2429793665917,1053.0763287604332,1745.7454716116183,1536.9551133992923,4920.9797360034045,4858.662114385216,7919.246498724658,5228.124067041139,14128.205276429959,0.0019478300503830064,144647.50803506037
t6,7632.0520996952555,3188.333600244311,6631.471808043121,8185.1113308363565,4090.041099097811,12228.611717330843,3356.073074135397,6433.772883051837,10344.916475736836,10106.076542963003,1997.806742582795,1642.4392161152762,1290.861023980343,421.5629717015069,10248.924090598905,14729.472382447562,1566.2429771110262,1053.0762699608185,1720.6596624680203,1536.9551079249954,5375.6352311881055,5016.754869877299,8016.825240258534,4785.417695238589,14128.205273103951,0.0018992371859303048,145727.30128492968
t7,7371.474875852133,3188.333476124875,6631.4718085474915,9216.771731847975,4133.913558892572,12737.562807480303,3593.7408959018035,6433.772891922793,10862.416436972122,10106.076494169793,1997.80674998457,1642.4392352894138,1290.8610352252354,441.6583524781321,10333.658798873732,15212.291598274216,1566.2429553027825,1053.0762758165822,1791.1879135104118,1536.9551036824462,5960.442167884066,5320.418077405698,8546.471421856513,3959.925384632533,14128.205270061691,0.001885680165827498,149057.17720367003
t8,7192.704221806439,3188.3334269527777,6631.471812722245,9808.185515604411,4050.318255570773,12853.191376211846,3742.6555350193876,6433.772909400645,11724.11275216823,10106.076493103783,1997.8068883213923,1642.4392493752596,1290.8612902621462,456.3696003522098,10342.914429183897,15645.914783461749,1566.2429840767686,1460.3933725851355,2559.620641595784,1536.955443645588,6606.146365370101,5585.951054806186,9037.939759110834,5375.1305264597995,14128.20627073383,0.009793388048616593,154963.72475128926
t9,7423.9647823965915,3188.3333894801594,6631.471815330628,7317.667102191982,4472.487209560734,11912.017026279611,3620.2033566759014,6433.7728903395755,11939.984668151033,10106.07657131223,1997.8071182271772,1642.4397227685256,580.7730996322783,398.37365933562876,10342.916247077672,16278.269482118467,1566.2431179916473,1344.0653212640573,2195.630240518196,1536.9551199740624,5622.622322909695,1665.7309785306104,7727.1374766653025,4336.252203442016,14128.205805841248,0.002104838978833118,144409.40283285402
t10,6650.240211674297,3188.3332903552086,6631.471817373208,6668.910432863197,5194.668713934603,11856.52505669616,3621.453002910851,6433.77270993908,12522.362363966042,10106.07658198144,1997.8082136089588,1642.4407065154817,0.0021832988963774573,521.3702555161453,10342.92057174004,16616.318737586796,1566.242917903809,1053.0747771765582,1655.7313817932898,1095.3488241799848,4671.964821968432,1665.7305370810336,5601.279165759579,1273.642507315418,14128.204587215532,0.0006799260527742333,136705.8950502801
t11,5755.281904667364,3188.3303940361498,709.7514710349212,6668.910375520513,5935.05964381707,12063.872864492701,3784.404294945709,6433.77278286637,13339.594399928641,10106.07652818614,2160.7230657661576,1642.4423773448402,0.0021617082778805368,999.2863077052281,10342.930274358767,16616.323618326198,1566.242920265561,1053.0747777686906,1655.731359074455,1138.346602449003,4242.998092995694,1665.730529982103,4918.328343503718,1273.593451596313,14128.204943560124,0.0007950307429702302,131389.01428093144
t12,4915.5595693678715,3188.329287883582,0.0014169429058032818,6668.910455265072,6363.099198338065,12354.678692948948,4075.002172285606,6433.773323233495,13941.17629242338,10106.076554372168,2292.7659004766397,1667.817211960717,0.0021661080737413233,999.286568318032,10342.930327318794,16616.32372169219,2431.7097548591773,1249.4621684953572,1655.7326989941798,1536.9542929503395,4265.702829148439,1665.730775803709,5396.8294750740715,1273.5940489919603,14923.346185784312,1075.1321074723605,135439.92719650944
t13,4857.040058999019,3188.329218955543,0.0013900142016371074,6749.946942969729,6874.6670485320665,12768.654798181564,4345.573324171365,6433.774052043518,14189.65928892594,10106.076384861046,2399.9116700136865,1698.2383228127683,0.0032081395303659582,999.298271780993,13155.193991486716,16616.32566793175,3511.2534647652456,1852.1730738029091,1655.7326917375642,1536.954307541151,4789.948519731105,1665.7337757974312,6356.137511500037,1273.5940478087268,16121.254123009947,703.8781662630915,143849.35332177667
t14,5484.610667750147,3188.329303771744,0.0013923053468370252,8681.120367057903,6861.875167764447,12853.19557312605,4543.469551591228,6578.153626782161,16018.43667900842,10106.079299064508,2341.877122639818,1712.7915889136334,0.0039714105944330886,999.2994251409696,13530.277286772482,16616.326099477228,3912.7937544920087,2304.8538443197126,1667.8180001452067,1536.9543326577593,4697.311807171964,1665.7373571892385,6902.367978538696,1273.594065635476,16328.169759222974,916.1541448806571,150721.6021668304
t15,5562.393253599787,3188.329326245903,0.0013643829722962612,8475.196614062588,6704.8993470144915,12853.195589908384,4644.112426553691,6689.117508846098,16242.121829806667,10106.07981376093,2218.0735864864214,1716.3497888774384,0.003975633017350984,999.2994134331383,12863.163478775137,16616.326084401477,4116.905719236742,2534.174961450188,1689.507104785092,1536.9550819273331,4931.003166636297,1665.7372957116725,6982.982025167537,1757.833054375558,16972.726702611355,908.6352981050959,151975.12381179503
t16,6409.718243226036,3188.3305331950105,0.0013936640753236392,9176.95026936783,6697.698013788138,12853.196817228883,4681.621670571784,6821.841010318983,16734.639954346338,10106.081587515064,2195.713888818712,1728.5017226505836,807.8100542400422,999.3018381587847,13589.120048561099,16616.327796993937,4597.2156061803735,2535.4142533514087,1741.3288255777431,1536.9550963715724,5472.250151346607,2311.0228143331246,7411.159690416071,2144.956903638246,17020.74217921087,968.5520964010849,158346.4524594724
t17,7754.527886364069,3188.330699555984,1196.254021348901,11139.80947106274,6860.147655659508,12853.19766578538,5299.5103965526305,7065.009308616132,17693.544752429916,10508.791199171026,2245.6284809389626,1760.6209534969112,1290.8599005534936,999.3031136593413,15698.53067728124,17139.183874903,4717.8128857057845,2789.7399057278026,2275.367670514438,1536.9551306669234,7550.060945441423,5269.37197135181,9137.433340984919,3782.542236867972,17363.308381633167,1235.6373670114708,178351.47989328494
t18,7754.527827385907,3188.330691558135,0.0024250407080165857,16343.861375066122,6409.827289640793,13035.072563507036,5768.9382546880315,8562.10491102806,17737.448915170004,10844.689612376098,2152.5511241051163,1793.3375804562281,2238.238360418742,999.3067054332598,15522.630169992848,20245.119803292426,5574.294046762013,2789.7419723203,3380.7760365415606,1536.956110586723,9615.900576994307,6209.816108850837,9753.429566133005,4323.68408113514,20186.498165846395,1235.6374245022828,197202.7216988321
t19,7754.528981188108,3188.330745827087,1651.3623020282337,20396.333329887,6905.034153131058,14911.112692832656,6523.825741465368,9001.30840085008,17750.31331900809,12142.833573375538,2332.479127655498,1924.8901175803662,3198.0599357756287,999.307054668186,16799.240755296003,21982.74987156644,6100.669385010051,2789.74214331945,3380.776502021173,1536.956235778018,11550.647937174625,9313.643541357627,17086.412426966013,5703.0090560113995,21164.878351178897,1235.637440819182,227324.08312177178
t20,7754.529917349864,4583.070662687621,6631.471442343697,19345.92133812435,7763.297790481289,14911.113252814637,6546.521921142278,10361.545717037745,17765.275086050595,12297.117457479551,2465.925233576791,2112.293974064949,3198.059945201513,999.3072763789336,18025.57722535751,23091.407925233347,6510.43151673703,2789.7422542948425,3380.776680444545,4144.031312405247,11544.985847140037,10633.85794501545,17239.69316787278,5848.5464246374995,25910.674549843436,1235.637462549389,247090.8133262649
t21,8022.74717027332,7610.475087316654,9822.625571715018,18465.81229931257,7886.318948684164,14911.112750821772,6385.986844380926,10457.243691935653,17748.735969125926,12335.503548465162,2419.421465133278,2062.486900320338,3198.059939992314,999.3071786600452,17682.14213333307,22379.827019741413,6510.432615513789,2789.7421585640077,3380.7766827723267,2977.5030948551853,10255.53874092678,10575.52965054982,16610.95674814341,5848.547069080317,26060.94324150464,1235.6374605952317,248633.41398171714
