model,zone,planning_year,case,unit,value
TEMOA,BASN,2030,base_thin_no_cap,tons,4.97622e+07
TEMOA,BASN,2040,base_thin_no_cap,tons,5.77064e+07
TEMOA,BASN,2050,base_thin_no_cap,tons,4.16005e+07
TEMOA,CANO,2030,base_thin_no_cap,tons,3.41147e+07
TEMOA,CANO,2040,base_thin_no_cap,tons,2.5578e+07
TEMOA,CANO,2050,base_thin_no_cap,tons,3.11239e+07
TEMOA,CASO,2030,base_thin_no_cap,tons,7.10481e+06
TEMOA,CASO,2040,base_thin_no_cap,tons,2.52304e+07
TEMOA,CASO,2050,base_thin_no_cap,tons,2.54278e+07
TEMOA,FRCC,2030,base_thin_no_cap,tons,1.02743e+08
TEMOA,FRCC,2040,base_thin_no_cap,tons,9.7259e+07
TEMOA,FRCC,2050,base_thin_no_cap,tons,7.10537e+07
TEMOA,ISNE,2030,base_thin_no_cap,tons,4.15695e+07
TEMOA,ISNE,2040,base_thin_no_cap,tons,6.02145e+07
TEMOA,ISNE,2050,base_thin_no_cap,tons,5.27749e+07
TEMOA,MISC,2030,base_thin_no_cap,tons,1.37485e+08
TEMOA,MISC,2040,base_thin_no_cap,tons,8.48606e+07
TEMOA,MISC,2050,base_thin_no_cap,tons,8.54927e+07
TEMOA,MISE,2030,base_thin_no_cap,tons,4.31301e+07
TEMOA,MISE,2040,base_thin_no_cap,tons,2.99114e+07
TEMOA,MISE,2050,base_thin_no_cap,tons,3.6022e+07
TEMOA,MISS,2030,base_thin_no_cap,tons,8.63027e+07
TEMOA,MISS,2040,base_thin_no_cap,tons,8.95039e+07
TEMOA,MISS,2050,base_thin_no_cap,tons,5.4729e+07
TEMOA,MISW,2030,base_thin_no_cap,tons,1.17369e+08
TEMOA,MISW,2040,base_thin_no_cap,tons,1.29368e+08
TEMOA,MISW,2050,base_thin_no_cap,tons,9.04665e+07
TEMOA,NWPP,2030,base_thin_no_cap,tons,2.46329e+07
TEMOA,NWPP,2040,base_thin_no_cap,tons,7.09145e+07
TEMOA,NWPP,2050,base_thin_no_cap,tons,8.44984e+07
TEMOA,NYCW,2030,base_thin_no_cap,tons,4.57838e+06
TEMOA,NYCW,2040,base_thin_no_cap,tons,2.81887e+07
TEMOA,NYCW,2050,base_thin_no_cap,tons,3.7826e+07
TEMOA,NYUP,2030,base_thin_no_cap,tons,1.24954e+07
TEMOA,NYUP,2040,base_thin_no_cap,tons,1.0945e+07
TEMOA,NYUP,2050,base_thin_no_cap,tons,9.02298e+06
TEMOA,PJMC,2030,base_thin_no_cap,tons,2.86653e+07
TEMOA,PJMC,2040,base_thin_no_cap,tons,1.81801e+07
TEMOA,PJMC,2050,base_thin_no_cap,tons,3.64222e+07
TEMOA,PJMD,2030,base_thin_no_cap,tons,1.39133e+07
TEMOA,PJMD,2040,base_thin_no_cap,tons,1.25233e+07
TEMOA,PJMD,2050,base_thin_no_cap,tons,5.93234e+06
TEMOA,PJME,2030,base_thin_no_cap,tons,1.69546e+08
TEMOA,PJME,2040,base_thin_no_cap,tons,1.42266e+08
TEMOA,PJME,2050,base_thin_no_cap,tons,1.64223e+08
TEMOA,PJMW,2030,base_thin_no_cap,tons,2.06159e+08
TEMOA,PJMW,2040,base_thin_no_cap,tons,1.3374e+08
TEMOA,PJMW,2050,base_thin_no_cap,tons,1.41635e+08
TEMOA,RMRG,2030,base_thin_no_cap,tons,6.32412e+07
TEMOA,RMRG,2040,base_thin_no_cap,tons,4.63037e+07
TEMOA,RMRG,2050,base_thin_no_cap,tons,1.37342e+07
TEMOA,SPPC,2030,base_thin_no_cap,tons,6.25004e+07
TEMOA,SPPC,2040,base_thin_no_cap,tons,4.42628e+07
TEMOA,SPPC,2050,base_thin_no_cap,tons,9.85083e+06
TEMOA,SPPN,2030,base_thin_no_cap,tons,4.74457e+07
TEMOA,SPPN,2040,base_thin_no_cap,tons,3.58239e+07
TEMOA,SPPN,2050,base_thin_no_cap,tons,1.28994e+07
TEMOA,SPPS,2030,base_thin_no_cap,tons,7.54526e+07
TEMOA,SPPS,2040,base_thin_no_cap,tons,5.27996e+07
TEMOA,SPPS,2050,base_thin_no_cap,tons,1.20025e+07
TEMOA,SRCA,2030,base_thin_no_cap,tons,1.1096e+08
TEMOA,SRCA,2040,base_thin_no_cap,tons,5.82962e+07
TEMOA,SRCA,2050,base_thin_no_cap,tons,3.94912e+07
TEMOA,SRCE,2030,base_thin_no_cap,tons,9.36946e+07
TEMOA,SRCE,2040,base_thin_no_cap,tons,6.35606e+07
TEMOA,SRCE,2050,base_thin_no_cap,tons,4.75803e+07
TEMOA,SRSE,2030,base_thin_no_cap,tons,1.42845e+08
TEMOA,SRSE,2040,base_thin_no_cap,tons,9.06693e+07
TEMOA,SRSE,2050,base_thin_no_cap,tons,7.35877e+07
TEMOA,SRSG,2030,base_thin_no_cap,tons,5.16032e+07
TEMOA,SRSG,2040,base_thin_no_cap,tons,2.44622e+07
TEMOA,SRSG,2050,base_thin_no_cap,tons,1.26929e+07
TEMOA,TRE,2030,base_thin_no_cap,tons,1.35114e+08
TEMOA,TRE,2040,base_thin_no_cap,tons,1.27841e+08
TEMOA,TRE,2050,base_thin_no_cap,tons,1.04648e+08
TEMOA,TRE_WEST,2030,base_thin_no_cap,tons,8.5429e+06
TEMOA,TRE_WEST,2040,base_thin_no_cap,tons,7.36412e+06
TEMOA,TRE_WEST,2050,base_thin_no_cap,tons,2.8767e+06
