model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,BASN,BASN_battery_moderate_0_10hour,Battery,2030,base_thin_no_cap,all,MWh,33.5191
TEMOA,BASN,BASN_battery_moderate_0_2hour,Battery,2030,base_thin_no_cap,all,MWh,80.6193
TEMOA,BASN,BASN_battery_moderate_0_4hour,Battery,2030,base_thin_no_cap,all,MWh,61.8723
TEMOA,BASN,BASN_battery_moderate_0_6hour,Battery,2030,base_thin_no_cap,all,MWh,49.1966
TEMOA,BASN,BASN_battery_moderate_0_8hour,Battery,2030,base_thin_no_cap,all,MWh,40.9089
TEMOA,BASN,BASN_biomass_1,Other,2030,base_thin_no_cap,all,MWh,234204
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_thin_no_cap,all,MWh,8.67583e+06
TEMOA,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_thin_no_cap,all,MWh,2.62817e+07
TEMOA,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_thin_no_cap,all,MWh,3.8774e+06
TEMOA,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_thin_no_cap,all,MWh,0.260764
TEMOA,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_thin_no_cap,all,MWh,25.2138
TEMOA,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_thin_no_cap,all,MWh,3.05761
TEMOA,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_no_cap,all,MWh,6.56763e+07
TEMOA,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_no_cap,all,MWh,42.5721
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_no_cap,all,MWh,199609
TEMOA,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base_thin_no_cap,all,MWh,5368.58
TEMOA,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin_no_cap,all,MWh,7.56819e+06
TEMOA,BASN,BASN_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin_no_cap,all,MWh,40.0914
TEMOA,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,2030,base_thin_no_cap,all,MWh,9.46513
TEMOA,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_thin_no_cap,all,MWh,1.66877e+06
TEMOA,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_thin_no_cap,all,MWh,53.3502
TEMOA,BASN,BASN_utilitypv_class1_moderate_2,Solar,2030,base_thin_no_cap,all,MWh,14.2421
TEMOA,CANO,CANO_battery_moderate_0_10hour,Battery,2030,base_thin_no_cap,all,MWh,33.302
TEMOA,CANO,CANO_battery_moderate_0_2hour,Battery,2030,base_thin_no_cap,all,MWh,79.5433
TEMOA,CANO,CANO_battery_moderate_0_4hour,Battery,2030,base_thin_no_cap,all,MWh,61.0328
