model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2030,base_thin_noCO2cap_noTxlimit,MW,100,100.068
TEMOA,2,BASN_to_CASO,2030,base_thin_noCO2cap_noTxlimit,MW,5920,5920.07
TEMOA,3,BASN_to_NWPP,2030,base_thin_noCO2cap_noTxlimit,MW,3350,3350.05
TEMOA,4,BASN_to_RMRG,2030,base_thin_noCO2cap_noTxlimit,MW,3750,3751.17
TEMOA,5,BASN_to_SRSG,2030,base_thin_noCO2cap_noTxlimit,MW,5385,5385.06
TEMOA,6,CANO_to_CASO,2030,base_thin_noCO2cap_noTxlimit,MW,3675,3675.09
TEMOA,7,CANO_to_NWPP,2030,base_thin_noCO2cap_noTxlimit,MW,3675,3675.08
TEMOA,8,CASO_to_NWPP,2030,base_thin_noCO2cap_noTxlimit,MW,2858,2858.06
TEMOA,9,CASO_to_SRSG,2030,base_thin_noCO2cap_noTxlimit,MW,4354,7681.7
TEMOA,10,FRCC_to_SRSE,2030,base_thin_noCO2cap_noTxlimit,MW,3600,4521.74
TEMOA,11,ISNE_to_NYCW,2030,base_thin_noCO2cap_noTxlimit,MW,760,760.096
TEMOA,12,ISNE_to_NYUP,2030,base_thin_noCO2cap_noTxlimit,MW,1400,4545.55
TEMOA,13,MISC_to_MISE,2030,base_thin_noCO2cap_noTxlimit,MW,0,2825.68
TEMOA,14,MISC_to_MISS,2030,base_thin_noCO2cap_noTxlimit,MW,1039,1039.08
TEMOA,15,MISC_to_MISW,2030,base_thin_noCO2cap_noTxlimit,MW,1655,1655.1
TEMOA,16,MISC_to_PJMC,2030,base_thin_noCO2cap_noTxlimit,MW,5244,5245.38
TEMOA,17,MISC_to_PJMW,2030,base_thin_noCO2cap_noTxlimit,MW,5441,17408.2
TEMOA,18,MISC_to_SPPC,2030,base_thin_noCO2cap_noTxlimit,MW,1430,15730
TEMOA,19,MISC_to_SPPN,2030,base_thin_noCO2cap_noTxlimit,MW,0,2064.92
TEMOA,20,MISC_to_SPPS,2030,base_thin_noCO2cap_noTxlimit,MW,1172,12892
TEMOA,21,MISC_to_SRCE,2030,base_thin_noCO2cap_noTxlimit,MW,3745,3745.13
TEMOA,23,MISE_to_PJMW,2030,base_thin_noCO2cap_noTxlimit,MW,2662,2662.1
TEMOA,24,MISS_to_SPPC,2030,base_thin_noCO2cap_noTxlimit,MW,0,10000
TEMOA,25,MISS_to_SPPS,2030,base_thin_noCO2cap_noTxlimit,MW,1697,18667
TEMOA,26,MISS_to_SRCE,2030,base_thin_noCO2cap_noTxlimit,MW,4092,4092.12
TEMOA,27,MISS_to_SRSE,2030,base_thin_noCO2cap_noTxlimit,MW,891,10891
TEMOA,28,MISW_to_NWPP,2030,base_thin_noCO2cap_noTxlimit,MW,200,990.76
TEMOA,29,MISW_to_PJMC,2030,base_thin_noCO2cap_noTxlimit,MW,3200,9029.86
TEMOA,31,MISW_to_SPPN,2030,base_thin_noCO2cap_noTxlimit,MW,5512,5512.56
TEMOA,32,NWPP_to_RMRG,2030,base_thin_noCO2cap_noTxlimit,MW,400,1895.89
TEMOA,33,NYCW_to_NYUP,2030,base_thin_noCO2cap_noTxlimit,MW,2489,2489.12
TEMOA,34,NYCW_to_PJME,2030,base_thin_noCO2cap_noTxlimit,MW,660,7700.37
TEMOA,35,NYUP_to_PJME,2030,base_thin_noCO2cap_noTxlimit,MW,1255,3119.06
TEMOA,36,PJMC_to_PJMW,2030,base_thin_noCO2cap_noTxlimit,MW,980,7857.16
TEMOA,37,PJMD_to_PJME,2030,base_thin_noCO2cap_noTxlimit,MW,1200,4802.07
TEMOA,38,PJMD_to_PJMW,2030,base_thin_noCO2cap_noTxlimit,MW,6930,6930.14
TEMOA,39,PJMD_to_SRCA,2030,base_thin_noCO2cap_noTxlimit,MW,1000,1026.72
TEMOA,40,PJME_to_PJMW,2030,base_thin_noCO2cap_noTxlimit,MW,3885,14357.8
TEMOA,41,PJMW_to_SRCA,2030,base_thin_noCO2cap_noTxlimit,MW,1219,1219.26
TEMOA,42,PJMW_to_SRCE,2030,base_thin_noCO2cap_noTxlimit,MW,3333,3333.22
TEMOA,43,RMRG_to_SPPC,2030,base_thin_noCO2cap_noTxlimit,MW,210,9379.2
TEMOA,44,RMRG_to_SPPN,2030,base_thin_noCO2cap_noTxlimit,MW,410,3428.21
TEMOA,45,RMRG_to_SRSG,2030,base_thin_noCO2cap_noTxlimit,MW,614,3490.1
TEMOA,46,SPPC_to_SPPN,2030,base_thin_noCO2cap_noTxlimit,MW,1433,1433.99
TEMOA,47,SPPC_to_SPPS,2030,base_thin_noCO2cap_noTxlimit,MW,3372,13491.2
TEMOA,48,SPPN_to_SPPS,2030,base_thin_noCO2cap_noTxlimit,MW,0,4913.56
TEMOA,49,SPPS_to_SRSG,2030,base_thin_noCO2cap_noTxlimit,MW,1010,7965.67
TEMOA,50,SPPS_to_TRE,2030,base_thin_noCO2cap_noTxlimit,MW,600,10600
TEMOA,51,SPPS_to_TRE_WEST,2030,base_thin_noCO2cap_noTxlimit,MW,220,10220
TEMOA,52,SRCA_to_SRCE,2030,base_thin_noCO2cap_noTxlimit,MW,216,1254.18
TEMOA,53,SRCA_to_SRSE,2030,base_thin_noCO2cap_noTxlimit,MW,1400,1400.1
TEMOA,54,SRCE_to_SRSE,2030,base_thin_noCO2cap_noTxlimit,MW,3196,4526.24
TEMOA,55,TRE_to_TRE_WEST,2030,base_thin_noCO2cap_noTxlimit,MW,16529,16529.1
TEMOA,56,NWPP_to_SPPN,2030,base_thin_noCO2cap_noTxlimit,MW,0,231.053
TEMOA,57,SRSG_to_TRE,2030,base_thin_noCO2cap_noTxlimit,MW,0,8974.07
TEMOA,1,BASN_to_CANO,2040,base_thin_noCO2cap_noTxlimit,MW,100.068,2196.82
TEMOA,2,BASN_to_CASO,2040,base_thin_noCO2cap_noTxlimit,MW,5920.07,5921.52
TEMOA,3,BASN_to_NWPP,2040,base_thin_noCO2cap_noTxlimit,MW,3350.05,3350.05
TEMOA,4,BASN_to_RMRG,2040,base_thin_noCO2cap_noTxlimit,MW,3751.17,3750.13
TEMOA,5,BASN_to_SRSG,2040,base_thin_noCO2cap_noTxlimit,MW,5385.06,5385.07
TEMOA,6,CANO_to_CASO,2040,base_thin_noCO2cap_noTxlimit,MW,3675.09,3675.15
TEMOA,7,CANO_to_NWPP,2040,base_thin_noCO2cap_noTxlimit,MW,3675.08,5460.92
TEMOA,8,CASO_to_NWPP,2040,base_thin_noCO2cap_noTxlimit,MW,2858.06,2860.86
TEMOA,9,CASO_to_SRSG,2040,base_thin_noCO2cap_noTxlimit,MW,7681.7,17430.2
TEMOA,10,FRCC_to_SRSE,2040,base_thin_noCO2cap_noTxlimit,MW,4521.74,12786.7
TEMOA,11,ISNE_to_NYCW,2040,base_thin_noCO2cap_noTxlimit,MW,760.096,760.064
TEMOA,12,ISNE_to_NYUP,2040,base_thin_noCO2cap_noTxlimit,MW,4545.55,10064.4
TEMOA,13,MISC_to_MISE,2040,base_thin_noCO2cap_noTxlimit,MW,2825.68,5941.2
TEMOA,14,MISC_to_MISS,2040,base_thin_noCO2cap_noTxlimit,MW,1039.08,1039.14
TEMOA,15,MISC_to_MISW,2040,base_thin_noCO2cap_noTxlimit,MW,1655.1,1655.1
TEMOA,16,MISC_to_PJMC,2040,base_thin_noCO2cap_noTxlimit,MW,5245.38,5244.47
TEMOA,17,MISC_to_PJMW,2040,base_thin_noCO2cap_noTxlimit,MW,17408.2,31622.6
TEMOA,18,MISC_to_SPPC,2040,base_thin_noCO2cap_noTxlimit,MW,15730,30030
TEMOA,19,MISC_to_SPPN,2040,base_thin_noCO2cap_noTxlimit,MW,2064.92,2068.46
TEMOA,20,MISC_to_SPPS,2040,base_thin_noCO2cap_noTxlimit,MW,12892,21253
TEMOA,21,MISC_to_SRCE,2040,base_thin_noCO2cap_noTxlimit,MW,3745.13,3745.2
TEMOA,23,MISE_to_PJMW,2040,base_thin_noCO2cap_noTxlimit,MW,2662.1,2662.11
TEMOA,24,MISS_to_SPPC,2040,base_thin_noCO2cap_noTxlimit,MW,10000,10000.2
TEMOA,25,MISS_to_SPPS,2040,base_thin_noCO2cap_noTxlimit,MW,18667,34514.9
TEMOA,26,MISS_to_SRCE,2040,base_thin_noCO2cap_noTxlimit,MW,4092.12,5381.14
TEMOA,27,MISS_to_SRSE,2040,base_thin_noCO2cap_noTxlimit,MW,10891,20891
TEMOA,28,MISW_to_NWPP,2040,base_thin_noCO2cap_noTxlimit,MW,990.76,2222.97
TEMOA,29,MISW_to_PJMC,2040,base_thin_noCO2cap_noTxlimit,MW,9029.86,9034.48
TEMOA,30,MISW_to_SPPC,2040,base_thin_noCO2cap_noTxlimit,MW,0,2943.97
TEMOA,31,MISW_to_SPPN,2040,base_thin_noCO2cap_noTxlimit,MW,5512.56,5512.36
TEMOA,32,NWPP_to_RMRG,2040,base_thin_noCO2cap_noTxlimit,MW,1895.89,3177.76
TEMOA,33,NYCW_to_NYUP,2040,base_thin_noCO2cap_noTxlimit,MW,2489.12,2489.15
TEMOA,34,NYCW_to_PJME,2040,base_thin_noCO2cap_noTxlimit,MW,7700.37,11782.4
TEMOA,35,NYUP_to_PJME,2040,base_thin_noCO2cap_noTxlimit,MW,3119.06,12258.8
TEMOA,36,PJMC_to_PJMW,2040,base_thin_noCO2cap_noTxlimit,MW,7857.16,12315.7
TEMOA,37,PJMD_to_PJME,2040,base_thin_noCO2cap_noTxlimit,MW,4802.07,6372.13
TEMOA,38,PJMD_to_PJMW,2040,base_thin_noCO2cap_noTxlimit,MW,6930.14,6930.15
TEMOA,39,PJMD_to_SRCA,2040,base_thin_noCO2cap_noTxlimit,MW,1026.72,3574.89
TEMOA,40,PJME_to_PJMW,2040,base_thin_noCO2cap_noTxlimit,MW,14357.8,35892.6
TEMOA,41,PJMW_to_SRCA,2040,base_thin_noCO2cap_noTxlimit,MW,1219.26,1219.21
TEMOA,42,PJMW_to_SRCE,2040,base_thin_noCO2cap_noTxlimit,MW,3333.22,3432.24
TEMOA,43,RMRG_to_SPPC,2040,base_thin_noCO2cap_noTxlimit,MW,9379.2,19379.2
TEMOA,44,RMRG_to_SPPN,2040,base_thin_noCO2cap_noTxlimit,MW,3428.21,3432.53
TEMOA,45,RMRG_to_SRSG,2040,base_thin_noCO2cap_noTxlimit,MW,3490.1,13490.1
TEMOA,46,SPPC_to_SPPN,2040,base_thin_noCO2cap_noTxlimit,MW,1433.99,1554.87
TEMOA,47,SPPC_to_SPPS,2040,base_thin_noCO2cap_noTxlimit,MW,13491.2,13491.6
TEMOA,48,SPPN_to_SPPS,2040,base_thin_noCO2cap_noTxlimit,MW,4913.56,6191.73
TEMOA,49,SPPS_to_SRSG,2040,base_thin_noCO2cap_noTxlimit,MW,7965.67,12335.9
TEMOA,50,SPPS_to_TRE,2040,base_thin_noCO2cap_noTxlimit,MW,10600,20365.9
TEMOA,51,SPPS_to_TRE_WEST,2040,base_thin_noCO2cap_noTxlimit,MW,10220,10220.4
TEMOA,52,SRCA_to_SRCE,2040,base_thin_noCO2cap_noTxlimit,MW,1254.18,2641.98
