model,line,line_name,planning_year,case,unit,value
TEMOA,34,NYCW_to_PJME,2030,base_thin_no_cap,MW,3692.2
TEMOA,37,PJMD_to_PJME,2030,base_thin_no_cap,MW,2752.45
TEMOA,43,RMRG_to_SPPC,2030,base_thin_no_cap,MW,5281.71
TEMOA,44,RMRG_to_SPPN,2030,base_thin_no_cap,MW,1143.32
TEMOA,46,SPPC_to_SPPN,2030,base_thin_no_cap,MW,1514.61
TEMOA,49,SPPS_to_SRSG,2030,base_thin_no_cap,MW,912.186
TEMOA,51,SPPS_to_TRE_WEST,2030,base_thin_no_cap,MW,3171.89
TEMOA,57,SRSG_to_TRE,2030,base_thin_no_cap,MW,9999.98
TEMOA,9,CASO_to_SRSG,2040,base_thin_no_cap,MW,4016.21
TEMOA,12,ISNE_to_NYUP,2040,base_thin_no_cap,MW,1341.65
TEMOA,18,MISC_to_SPPC,2040,base_thin_no_cap,MW,82.0737
TEMOA,20,MISC_to_SPPS,2040,base_thin_no_cap,MW,11720
TEMOA,24,MISS_to_SPPC,2040,base_thin_no_cap,MW,1015.16
TEMOA,25,MISS_to_SPPS,2040,base_thin_no_cap,MW,12911.7
TEMOA,27,MISS_to_SRSE,2040,base_thin_no_cap,MW,4447.05
TEMOA,28,MISW_to_NWPP,2040,base_thin_no_cap,MW,1282.04
TEMOA,30,MISW_to_SPPC,2040,base_thin_no_cap,MW,3680.32
TEMOA,31,MISW_to_SPPN,2040,base_thin_no_cap,MW,45.8663
TEMOA,35,NYUP_to_PJME,2040,base_thin_no_cap,MW,1359.98
TEMOA,36,PJMC_to_PJMW,2040,base_thin_no_cap,MW,2621.27
TEMOA,37,PJMD_to_PJME,2040,base_thin_no_cap,MW,473.957
TEMOA,39,PJMD_to_SRCA,2040,base_thin_no_cap,MW,1490.07
TEMOA,44,RMRG_to_SPPN,2040,base_thin_no_cap,MW,5177.16
TEMOA,45,RMRG_to_SRSG,2040,base_thin_no_cap,MW,3155.22
TEMOA,47,SPPC_to_SPPS,2040,base_thin_no_cap,MW,3205.99
TEMOA,48,SPPN_to_SPPS,2040,base_thin_no_cap,MW,3649
TEMOA,49,SPPS_to_SRSG,2040,base_thin_no_cap,MW,10100
TEMOA,50,SPPS_to_TRE,2040,base_thin_no_cap,MW,389.194
TEMOA,51,SPPS_to_TRE_WEST,2040,base_thin_no_cap,MW,8784.4
TEMOA,54,SRCE_to_SRSE,2040,base_thin_no_cap,MW,501.66
TEMOA,56,NWPP_to_SPPN,2040,base_thin_no_cap,MW,3843.25
TEMOA,4,BASN_to_RMRG,2050,base_thin_no_cap,MW,929.819
TEMOA,9,CASO_to_SRSG,2050,base_thin_no_cap,MW,6156.27
TEMOA,10,FRCC_to_SRSE,2050,base_thin_no_cap,MW,3719.26
TEMOA,12,ISNE_to_NYUP,2050,base_thin_no_cap,MW,90.0262
TEMOA,13,MISC_to_MISE,2050,base_thin_no_cap,MW,2477.94
TEMOA,16,MISC_to_PJMC,2050,base_thin_no_cap,MW,1125.09
TEMOA,17,MISC_to_PJMW,2050,base_thin_no_cap,MW,211.18
TEMOA,18,MISC_to_SPPC,2050,base_thin_no_cap,MW,6577.93
TEMOA,20,MISC_to_SPPS,2050,base_thin_no_cap,MW,2592.12
TEMOA,25,MISS_to_SPPS,2050,base_thin_no_cap,MW,5160.59
TEMOA,27,MISS_to_SRSE,2050,base_thin_no_cap,MW,4687.84
TEMOA,30,MISW_to_SPPC,2050,base_thin_no_cap,MW,679.143
TEMOA,31,MISW_to_SPPN,2050,base_thin_no_cap,MW,3615.93
TEMOA,35,NYUP_to_PJME,2050,base_thin_no_cap,MW,424.456
TEMOA,36,PJMC_to_PJMW,2050,base_thin_no_cap,MW,2046.54
TEMOA,37,PJMD_to_PJME,2050,base_thin_no_cap,MW,2880.79
TEMOA,39,PJMD_to_SRCA,2050,base_thin_no_cap,MW,1196.91
TEMOA,41,PJMW_to_SRCA,2050,base_thin_no_cap,MW,1292.94
TEMOA,42,PJMW_to_SRCE,2050,base_thin_no_cap,MW,2845.72
TEMOA,43,RMRG_to_SPPC,2050,base_thin_no_cap,MW,3504.04
TEMOA,45,RMRG_to_SRSG,2050,base_thin_no_cap,MW,1010.94
TEMOA,49,SPPS_to_SRSG,2050,base_thin_no_cap,MW,10100
TEMOA,50,SPPS_to_TRE,2050,base_thin_no_cap,MW,1029.46
TEMOA,54,SRCE_to_SRSE,2050,base_thin_no_cap,MW,911.724
TEMOA,56,NWPP_to_SPPN,2050,base_thin_no_cap,MW,2319.87
TEMOA,57,SRSG_to_TRE,2050,base_thin_no_cap,MW,2228.43
