Resource,Zone,AnnualSum,Capacity,CapacityFactor
BASN_biomass_1,1,0.0,0.0,0.0
BASN_conventional_hydroelectric_1,1,5.071789068087018e6,1478.3,0.3927226783802485
BASN_conventional_steam_coal_1,1,2.360465239578612e6,270.2,0.9999991694773865
BASN_geothermal_1,1,0.0,0.0,0.0
BASN_natural_gas_fired_combined_cycle_1,1,1.3552620861507528e7,7827.9,0.1981825420091992
BASN_natural_gas_fired_combustion_turbine_1,1,0.0,0.0,0.0
BASN_natural_gas_internal_combustion_engine_1,1,116119.76818905934,203.51,0.06531422537953611
BASN_onshore_wind_turbine_1,1,0.0,0.0,0.0
BASN_small_hydroelectric_1,1,1.3478774399999795e6,154.29,0.9999999999999848
BASN_solar_photovoltaic_1,1,0.0,0.0,0.0
CANO_biomass_1,2,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,2,1.509278222293676e7,5619.52,0.30743793824658244
CANO_hydroelectric_pumped_storage_1,2,1.6871407874524947e6,2276.9,0.0
CANO_natural_gas_fired_combined_cycle_1,2,3.2884973660324797e7,10931.6,0.34435083546652795
CANO_natural_gas_fired_combustion_turbine_1,2,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,2,314446.68251479353,433.91,0.08295350345341189
CANO_natural_gas_steam_turbine_1,2,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,2,0.0,0.0,0.0
CANO_petroleum_liquids_1,2,0.0,0.0,0.0
CANO_small_hydroelectric_1,2,1.784065919999967e6,204.22,0.9999999999999815
CANO_solar_photovoltaic_1,2,0.0,0.0,0.0
CASO_biomass_1,3,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,3,2.2211615905908723e6,919.01,0.27666058593137616
CASO_geothermal_1,3,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,3,3.0186441111578858e6,1665.0,0.0
CASO_natural_gas_fired_combined_cycle_1,3,2.1231054383947305e7,8797.79,0.2762392244878719
CASO_natural_gas_fired_combustion_turbine_1,3,0.0,0.0,0.0
CASO_natural_gas_internal_combustion_engine_1,3,50175.462241070956,48.59,0.11820391411680957
CASO_onshore_wind_turbine_1,3,0.0,0.0,0.0
CASO_petroleum_liquids_1,3,0.0,0.0,0.0
CASO_small_hydroelectric_1,3,574042.5600000008,65.71,1.0000000000000016
CASO_solar_photovoltaic_1,3,0.0,0.0,0.0
FRCC_biomass_1,4,0.0,0.0,0.0
FRCC_conventional_hydroelectric_1,4,118665.33002238524,43.5,0.3122640363100113
FRCC_conventional_steam_coal_1,4,6.420643736754768e6,898.0,0.8184452090261081
FRCC_natural_gas_fired_combined_cycle_1,4,7.225126645831452e7,35447.7,0.2333161369544602
FRCC_natural_gas_fired_combustion_turbine_1,4,0.0,0.0,0.0
FRCC_natural_gas_internal_combustion_engine_1,4,44665.288653618125,250.9,0.020377779487260755
FRCC_natural_gas_steam_turbine_1,4,0.0,0.0,0.0
FRCC_nuclear_1,4,3.2646430382358294e7,3737.0,0.9999999504496629
FRCC_petroleum_liquids_1,4,0.0,0.0,0.0
FRCC_solar_photovoltaic_1,4,0.0,0.0,0.0
ISNE_biomass_1,5,0.0,0.0,0.0
ISNE_conventional_hydroelectric_1,5,1.766682396942357e6,464.82,0.43507191569881526
ISNE_hydroelectric_pumped_storage_1,5,438832.84490140935,1768.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,5,1.3487444431575483e7,13362.0,0.11554351509275218
ISNE_natural_gas_fired_combustion_turbine_1,5,0.0,0.0,0.0
ISNE_natural_gas_internal_combustion_engine_1,5,21118.710238849948,52.39,0.04614305745539483
ISNE_natural_gas_steam_turbine_1,5,0.0,0.0,0.0
ISNE_nuclear_1,5,2.924899946453376e7,3348.1,0.9999999269901152
ISNE_onshore_wind_turbine_1,5,0.0,0.0,0.0
ISNE_petroleum_liquids_1,5,0.0,0.0,0.0
ISNE_small_hydroelectric_1,5,1.7789116799999974e6,203.63,0.9999999999999986
ISNE_solar_photovoltaic_1,5,0.0,0.0,0.0
MISC_biomass_1,6,0.0,0.0,0.0
MISC_conventional_hydroelectric_1,6,920313.4485443957,276.6,0.3808649147154798
MISC_conventional_steam_coal_1,6,2.147850652204354e7,2698.4,0.9111400281890838
MISC_hydroelectric_pumped_storage_1,6,394462.022706854,471.0,0.0
MISC_natural_gas_fired_combined_cycle_1,6,1.474264591185305e7,5037.1,0.3350288731207174
MISC_natural_gas_fired_combustion_turbine_1,6,0.0,0.0,0.0
MISC_natural_gas_internal_combustion_engine_1,6,15282.03277490391,34.79,0.05028217701981088
MISC_natural_gas_steam_turbine_1,6,0.0,0.0,0.0
MISC_nuclear_1,6,2.0691615371778395e7,2373.0,0.9981229311563311
MISC_onshore_wind_turbine_1,6,0.0,0.0,0.0
MISC_petroleum_liquids_1,6,0.0,0.0,0.0
