Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,Total
AnnualSum,7.076142138834971e7,2.9438367710899606e9,2.380590353740367e9,2.7448214714085526e9,2.552037234508473e9,1.1019304017068596e9,2.860365718070732e9,1.9187566576975875e9,6.826191626352829e9,4.584419975647032e9,5.406058106753896e8,4.0941026496456895e9,2.4879529002685585e9,4.3454260851579034e8,7.729384782938032e8,1.1293394627159874e9,1.3655279407615658e10,5.774257072209543e9,5.58655052764628e7,8.796131518354013e9,1.575914049357011e9,78723.26733696557,5.652382178106341e8,2.4522304879277315e9,1.937305545416572e10,1.227966915168606e9,8.99559573871611e9,2.3291578042953107e8,2.5431930451897073e9,9.546505209738714e8,1.901193841295911e9,3.117813715128015e9,1.2907548596672416e9,2.4148405478808312e9,2.990884650763871e9,2.6732224633021092e9,1.3017012399157588e9,2.6468816816397896e9,1.0766145441032097e9,1.2688198386065634e10,7.508695537377006e8,2.916850618972977e9,3.2063073071507564e9,7.772228190155987e8,7.713961687839553e9,2.0907698765134758e8,1.5185414598780816e9,1.2261803863530228e9,1.1730263029605633e10,3.12942479262599e9,3.853342612035455e9,2.0730036073557627e9,9.477629773534161e8,2.2746803380398498e9,4.97519019408808e9,8.541005759043664e8,8.381825332637083e9,1.9228627618819495e11
t1,12339.983423342186,529247.4066562935,0.22850483342501235,444341.9516977315,0.22310893942990723,258352.48913636856,522359.86239814834,0.38838469200712306,191285.64407140092,48716.83074217923,83621.56743801908,11134.606732755827,0.43326673875216126,91535.55012614974,0.259671204449658,0.31440487194198,0.3134856389540268,0.28770046879376304,0.5483675149614278,7612.591691974703,0.24980491248661751,0.12642395431968867,0.23121200047250365,389628.09643827676,138915.42769277046,232834.65699675266,158173.98707825653,0.5869271668017891,242313.47656043462,0.24466983041520185,0.24593315344458297,480962.7597593014,207582.58484611753,150321.52926238716,776291.9839563775,8.181031141187047,88972.62911502265,0.2759508822702794,1.1854725210906523,611983.6198005154,3.7454516942394394,0.30432972531911057,1513.708642544545,0.6915252392952087,1.3829996753320775e6,0.6293997813924823,326843.15242422186,13462.135587607965,696063.903714603,111372.03977121798,26742.047435141685,411399.1318718127,0.20366409271004207,428280.659296974,935540.7770456577,26514.91679256996,0.37553708349467935,1.0039281657763086e7
t2,12339.898303233898,529247.8676758562,0.28440834438403934,444344.42262765125,6821.039177172656,223152.0211191781,522359.8058817143,345532.0452803387,358252.16935058916,146217.39656719216,83621.5675074185,275670.7932384329,220761.52421413775,91535.54205412048,0.35624623784087545,0.2518771791898324,0.4606535971431743,263729.03584461653,0.5578500110104582,186458.4047099583,0.2750111835754179,0.12466611814579458,0.23203240776586306,389628.2714542477,1.3836832946278218e6,232834.5645842917,742023.4928629604,0.30949141975879846,97922.31822259734,197168.2944807019,0.2931433701303706,345404.00238563836,207582.58496623562,132642.2371026242,776291.9841033467,9.757469273729741,124661.28528901874,0.2734710524487124,1.1802311791844304,351980.2988768732,3.783085488803865,0.3125757014401273,118532.23048694406,144157.6521305319,1.3830037310954868e6,44101.14412735086,326843.38355555333,196422.57516446454,870065.5448826705,85701.17143284691,47663.91355789114,411399.1333592957,0.22285382925912514,428280.6300345993,935540.7867137506,0.23675649460529874,0.44566878399967225,1.3683597416541029e7
t3,12339.898723123566,529247.8718702281,215449.97271435664,444344.49868751265,502018.26066907705,22344.640075027943,522359.82493009104,345532.10338222625,1.0578165004100236e6,662381.174690745,83621.56759429435,603599.6017400291,193341.88718965556,91535.48041133565,0.2641898756731349,5.10087946304886,1.2512419751292155e6,899710.1260297071,0.5113159093800045,1.7588959192300895,0.49531419420174744,0.17382190266921044,0.31493112533878087,389628.26145022694,1.8012376863573398e6,163362.5200885468,1.1223283891324447e6,0.3412636453616862,0.3116641305895656,616.6572420537351,0.2629902743554119,0.4594507430725836,207582.58508442392,127671.62415516686,776291.9842159684,142667.6006691808,103573.34337165605,0.2733155918344023,1.1880798677448774,591968.8309851831,3.7245905187750115,0.3016460728568394,514494.52763352054,144157.64723323254,1.3830037579260587e6,44101.13739459126,326843.3768551564,221489.54126801138,1.9417906515303631e6,0.4910989086487874,12834.116790533884,411399.13023239485,0.43267263064929107,428280.5079531387,935538.9144587462,0.28791510316782737,11094.46018432937,1.9238859330494795e7
t4,12339.982422462443,529247.9836363195,294764.4502017406,366991.2206883677,684433.4734080081,0.554458528862961,522359.86221172503,345532.17905639973,1.2654426644587424e6,946093.793624423,83621.5675698567,599266.8900720055,190909.70815911732,1.338787003277751,0.2657498345058493,5.147517606125192,1.3929532291144014e6,997251.7905184681,0.4322638652298543,0.3042124936220052,0.4993093194068756,0.1736844760869848,0.3152849919678442,389628.14373188146,2.504670338109537e6,0.24750000822549148,1.5226097683542839e6,44819.93732975938,0.2990867972100572,13052.747849013263,0.46037122292341875,60800.98087762652,207582.58504815365,124767.24982999118,776291.9841509312,77104.12455320517,99257.54391842808,0.27491148131453186,1.210447829991981,578895.3214763181,3.8421792231085217,0.30346973515323833,612935.8664872061,144157.7397907961,1.3830038523785912e6,44100.891550732515,326843.2628578548,132966.0843487987,1.8657881702125e6,193124.8492320806,11671.882552119048,411399.13375835965,221865.2751224635,373045.29312949587,935540.7280118489,163242.76023700638,0.38761865733308143,2.1450391366894092e7
t5,12339.9824562523,529247.9838781398,221582.5270178865,396340.96670229646,684433.4721467522,0.5585881365400992,522359.86242211686,345532.17919506755,1.2654427324245195e6,946093.8035210122,83621.56756225963,469390.2946462217,198925.766351764,0.25902808464859867,0.2571711338347658,5.11316642693934,1.7080726677130687e6,1.1519951677931093e6,11295.83733040983,0.39030624975034073,0.5007898913724441,0.6957044614917027,0.3151875732842705,389627.7208726135,2.5179167329789065e6,0.8644511840949852,1.5970645051229196e6,44819.93506636576,38778.76308902799,0.7343300134758987,11389.48004190386,108034.12543188452,207582.58504990372,121550.31913175367,776291.9841313824,145758.67054810538,77336.65252199664,0.275256263137972,1.2095575285633637,619989.9362879056,3.7950366134453777,0.3019944208840704,612935.8665703688,144157.7393225463,1.3830038512590295e6,0.2592122596456134,315120.86315115856,14982.075096376382,1.7853583378453946e6,230759.1504603078,7557.894252091313,411399.1339656641,221865.2807453319,264308.202465453,935540.6880532338,163242.75831995608,0.4049506100775276,2.1693063997673314e7
t6,12339.982479530565,529247.9841958577,152096.2052471036,397329.2759584998,684433.4719027592,0.5592507056932747,522359.86253542535,345532.1794248031,1.265442747186938e6,946093.806614648,83621.56757128295,532903.55550417,230108.4151251777,0.2462517061304117,0.25710926789380234,5.126526875364415,1.5046445629137591e6,1.1519954104849217e6,11295.835212405753,0.6662066002278381,0.5017202266774362,0.6957948032707335,0.31537351336725794,389627.7289307209,2.80059974416298e6,232833.1663666416,1.5970645443156757e6,44819.935060647535,126479.52483983013,119949.69678629078,27856.620316057637,160169.9819874721,207582.5850538456,122907.20103010676,776291.9841272462,155485.27414561316,127574.56709511061,0.274842291784055,1.218961940963118,422600.08073507174,3.807952641874146,0.30147624674301204,612935.866630387,144157.73939943616,1.3830038512038805e6,0.41570822014784403,289713.56426311005,0.42473617019186943,1.765604739468724e6,253307.82746008434,112899.06674789132,411399.1343046008,221865.28317372332,295706.5207375511,935540.6833625782,163242.7583942467,0.4096861968088324,2.227067975405421e7
t7,12339.981344714266,529247.9845284695,124621.56202049468,399378.96314002876,684433.4714774821,0.5627306580233997,522359.8626588689,345532.17968299775,1.2654427632911243e6,946093.807551699,83621.56758518447,656811.6287186797,288646.5405898535,0.25024238429113416,0.2569663234021626,5.207122369094918,1.5625483785095254e6,1.1519955123799604e6,11295.835867626176,359404.4544457227,0.5026331682644607,0.6954744034424684,0.3154371784088504,389627.6752101567,2.883306504280786e6,232834.34969029026,1.5970645772814685e6,44819.93499094093,292104.83572136145,197167.8493313311,127419.84260931361,245000.23302235297,207582.58507652205,128865.19284109618,776291.984123678,272113.69324348733,139724.29172196082,0.2742423854198292,1.2202639063165077,360509.05487116455,3.811493975014634,0.3006393662024246,612935.8666348094,144157.73944689726,1.3830038509205824e6,44100.789380533635,49279.13178696744,0.28350468838299947,1.7427396096666022e6,261257.22770923743,141964.99712127412,411399.1339096043,221865.28336496666,374979.2648151003,935540.6707194467,163242.7583646047,0.4180859052914863,2.3324687520485684e7
t8,12339.981342090347,529247.9847095793,322947.62326473877,414782.292456092,684433.4729956184,0.5649296475176213,522359.8626909688,345532.17979219684,1.265442728188316e6,946093.574676884,83621.56759857821,925313.111616853,323477.5849157927,0.3096186885837897,0.25421529303122026,1052.1043148141105,3791.808269528725,718629.9918045133,3.928872466520864,0.3060785394592073,1.6946272767042698,0.2320315185782714,0.3147320669370414,389627.6926605946,2.5232967256475985e6,0.9685702115809057,1.5970645098529535e6,44819.93618618215,0.43961939066325856,0.6818803820476109,33209.22638992141,211904.22481182797,207582.58508666322,127053.36161114548,776291.9841373166,9.503061664388584,167665.89566455435,0.27302217350128105,1.2149887008522051,74820.45675841045,3.7984816911398522,0.25911254853771326,612935.8669571745,144157.73962688196,1.383003852518293e6,0.25980360729621127,199274.2548275171,36463.613783974535,1.5528868821414465e6,391978.91426964686,24894.33060522329,411398.9954071367,29019.099476411855,206670.3664852303,935540.7121446995,163242.75931917026,0.38354774672925723,1.934389524220015e7
t9,12339.98248587661,529247.9848096882,431100.5675919009,422614.66929364443,684433.4040008894,0.5634523168187296,522359.86267796817,345532.1798140705,1.2654428399703673e6,814409.9011908737,83621.53228574275,855430.5796861743,220054.64117925364,1.1646758479377706,0.964409919300825,20.00631470417709,331790.45358504506,752849.2898577392,12.428742383985446,1.1819525785950626,376318.27680428856,2.8210682706663834,1.1777498848437737,389625.8499980418,2.9670595358485607e6,32497.19126030335,1.5970641036402823e6,44819.771730503926,232936.67813888265,1.3609889604844492,1.9111477765216152,90282.16307114103,207582.54239394274,150331.69852704174,776291.9383707403,170307.20073987226,2.9738535460612514,1.0202283545165105,195366.95287366977,4.093106019166771,173072.01397836304,0.9480100622707578,612935.8295681474,144157.71046862163,1.3830037841465555e6,0.9695326109774367,74487.79492930583,49363.55809308862,1.9417899941674836e6,618317.1413156276,273468.20811785874,411397.866571816,114085.15736889362,336184.1640912483,935540.2671972465,163242.64689592845,396391.6653502729,2.21292031793202e7
