load_zone,fuel,period,fuel_cost
BASN,Coal,2030,1.5905648971841897
BASN,Naturalgas,2030,4.012253416429862
BASN,Distillate,2030,20.482908282097647
BASN,Uranium,2030,0.6985365911134072
BASN,Hydrogen,2030,16.0
BASN,Waste_biomass,2030,1.0
RMRG,Coal,2030,1.5905648971841897
RMRG,Naturalgas,2030,4.012253416429862
RMRG,Distillate,2030,20.482908282097647
RMRG,Uranium,2030,0.6985365911134072
RMRG,Hydrogen,2030,16.0
RMRG,Waste_biomass,2030,1.0
SRSG,Coal,2030,1.5905648971841897
SRSG,Naturalgas,2030,4.012253416429862
SRSG,Distillate,2030,20.482908282097647
SRSG,Uranium,2030,0.6985365911134072
SRSG,Hydrogen,2030,16.0
SRSG,Waste_biomass,2030,1.0
CANO,Coal,2030,1.8740372988891756
CANO,Naturalgas,2030,4.153879777576853
CANO,Distillate,2030,19.43226762076982
CANO,Uranium,2030,0.6985365911134072
CANO,Hydrogen,2030,16.0
CANO,Waste_biomass,2030,1.0
CASO,Coal,2030,1.8740372988891756
CASO,Naturalgas,2030,4.153879777576853
CASO,Distillate,2030,19.43226762076982
CASO,Uranium,2030,0.6985365911134072
CASO,Hydrogen,2030,16.0
CASO,Waste_biomass,2030,1.0
NWPP,Coal,2030,1.8740372988891756
NWPP,Naturalgas,2030,4.153879777576853
NWPP,Distillate,2030,19.43226762076982
NWPP,Uranium,2030,0.6985365911134072
NWPP,Hydrogen,2030,16.0
NWPP,Waste_biomass,2030,1.0
TRE,Coal,2030,1.8146092425729783
TRE,Naturalgas,2030,3.3970746553862043
TRE,Distillate,2030,17.10634022216481
TRE,Uranium,2030,0.6985365911134072
TRE,Hydrogen,2030,16.0
TRE,Waste_biomass,2030,1.0
TRE_WEST,Coal,2030,1.8146092425729783
TRE_WEST,Naturalgas,2030,3.3970746553862043
TRE_WEST,Distillate,2030,17.10634022216481
TRE_WEST,Uranium,2030,0.6985365911134072
TRE_WEST,Hydrogen,2030,16.0
TRE_WEST,Waste_biomass,2030,1.0
SPPS,Coal,2030,1.8146092425729783
SPPS,Naturalgas,2030,3.3970746553862043
SPPS,Distillate,2030,17.10634022216481
SPPS,Uranium,2030,0.6985365911134072
SPPS,Hydrogen,2030,16.0
SPPS,Waste_biomass,2030,1.0
MISS,Coal,2030,1.8146092425729783
MISS,Naturalgas,2030,3.3970746553862043
MISS,Distillate,2030,17.10634022216481
MISS,Uranium,2030,0.6985365911134072
MISS,Hydrogen,2030,16.0
MISS,Waste_biomass,2030,1.0
SRCE,Coal,2030,1.775410794626711
SRCE,Naturalgas,2030,3.59815772668561
SRCE,Distillate,2030,17.06880369671919
SRCE,Uranium,2030,0.6985365911134072
SRCE,Hydrogen,2030,16.0
SRCE,Waste_biomass,2030,1.0
FRCC,Coal,2030,2.2253524334797206
FRCC,Naturalgas,2030,3.9094434520795653
FRCC,Distillate,2030,19.77859698785843
FRCC,Uranium,2030,0.6985365911134072
FRCC,Hydrogen,2030,16.0
FRCC,Waste_biomass,2030,1.0
SRSE,Coal,2030,2.2253524334797206
SRSE,Naturalgas,2030,3.9094434520795653
SRSE,Distillate,2030,19.77859698785843
SRSE,Uranium,2030,0.6985365911134072
SRSE,Hydrogen,2030,16.0
SRSE,Waste_biomass,2030,1.0
PJMD,Coal,2030,2.2253524334797206
PJMD,Naturalgas,2030,3.9094434520795653
PJMD,Distillate,2030,19.77859698785843
PJMD,Uranium,2030,0.6985365911134072
PJMD,Hydrogen,2030,16.0
PJMD,Waste_biomass,2030,1.0
SRCA,Coal,2030,2.2253524334797206
SRCA,Naturalgas,2030,3.9094434520795653
SRCA,Distillate,2030,19.77859698785843
SRCA,Uranium,2030,0.6985365911134072
SRCA,Hydrogen,2030,16.0
SRCA,Waste_biomass,2030,1.0
SPPC,Coal,2030,1.5513377954017047
SPPC,Naturalgas,2030,3.6502217470937737
SPPC,Distillate,2030,15.6537817514854
SPPC,Uranium,2030,0.6985365911134072
SPPC,Hydrogen,2030,16.0
SPPC,Waste_biomass,2030,1.0
SPPN,Coal,2030,1.5513377954017047
SPPN,Naturalgas,2030,3.6502217470937737
SPPN,Distillate,2030,15.6537817514854
SPPN,Uranium,2030,0.6985365911134072
SPPN,Hydrogen,2030,16.0
SPPN,Waste_biomass,2030,1.0
MISW,Coal,2030,1.857026471454404
MISW,Naturalgas,2030,3.30180064996125
MISW,Distillate,2030,15.599817026608108
MISW,Uranium,2030,0.6985365911134072
MISW,Hydrogen,2030,16.0
MISW,Waste_biomass,2030,1.0
MISE,Coal,2030,1.857026471454404
MISE,Naturalgas,2030,3.30180064996125
MISE,Distillate,2030,15.599817026608108
MISE,Uranium,2030,0.6985365911134072
MISE,Hydrogen,2030,16.0
MISE,Waste_biomass,2030,1.0
MISC,Coal,2030,1.857026471454404
MISC,Naturalgas,2030,3.30180064996125
MISC,Distillate,2030,15.599817026608108
MISC,Uranium,2030,0.6985365911134072
MISC,Hydrogen,2030,16.0
MISC,Waste_biomass,2030,1.0
PJMC,Coal,2030,1.857026471454404
PJMC,Naturalgas,2030,3.30180064996125
PJMC,Distillate,2030,15.599817026608108
PJMC,Uranium,2030,0.6985365911134072
PJMC,Hydrogen,2030,16.0
PJMC,Waste_biomass,2030,1.0
PJMW,Coal,2030,1.857026471454404
PJMW,Naturalgas,2030,3.30180064996125
PJMW,Distillate,2030,15.599817026608108
PJMW,Uranium,2030,0.6985365911134072
PJMW,Hydrogen,2030,16.0
PJMW,Waste_biomass,2030,1.0
PJME,Coal,2030,1.9455763766468608
PJME,Naturalgas,2030,2.975911019374838
PJME,Distillate,2030,21.507569465254452
PJME,Uranium,2030,0.6985365911134072
PJME,Hydrogen,2030,16.0
PJME,Waste_biomass,2030,1.0
NYCW,Coal,2030,1.9455763766468608
NYCW,Naturalgas,2030,2.975911019374838
NYCW,Distillate,2030,21.507569465254452
NYCW,Uranium,2030,0.6985365911134072
NYCW,Hydrogen,2030,16.0
NYCW,Waste_biomass,2030,1.0
NYUP,Coal,2030,1.9455763766468608
NYUP,Naturalgas,2030,2.975911019374838
NYUP,Distillate,2030,21.507569465254452
NYUP,Uranium,2030,0.6985365911134072
NYUP,Hydrogen,2030,16.0
NYUP,Waste_biomass,2030,1.0
ISNE,Coal,2030,0.0
ISNE,Naturalgas,2030,3.366510563420304
ISNE,Distillate,2030,17.661747080857655
ISNE,Uranium,2030,0.6985365911134072
ISNE,Hydrogen,2030,16.0
ISNE,Waste_biomass,2030,1.0
