timepoint_id,timestamp,timeseries
1,2030_p7_0,2030_p7
2,2030_p7_1,2030_p7
3,2030_p7_2,2030_p7
4,2030_p7_3,2030_p7
5,2030_p7_4,2030_p7
6,2030_p7_5,2030_p7
7,2030_p7_6,2030_p7
8,2030_p7_7,2030_p7
9,2030_p7_8,2030_p7
10,2030_p7_9,2030_p7
11,2030_p7_10,2030_p7
12,2030_p7_11,2030_p7
13,2030_p7_12,2030_p7
14,2030_p7_13,2030_p7
15,2030_p7_14,2030_p7
16,2030_p7_15,2030_p7
17,2030_p7_16,2030_p7
18,2030_p7_17,2030_p7
19,2030_p7_18,2030_p7
20,2030_p7_19,2030_p7
21,2030_p7_20,2030_p7
22,2030_p7_21,2030_p7
23,2030_p7_22,2030_p7
24,2030_p7_23,2030_p7
25,2030_p7_24,2030_p7
26,2030_p7_25,2030_p7
27,2030_p7_26,2030_p7
28,2030_p7_27,2030_p7
29,2030_p7_28,2030_p7
30,2030_p7_29,2030_p7
31,2030_p7_30,2030_p7
32,2030_p7_31,2030_p7
33,2030_p7_32,2030_p7
34,2030_p7_33,2030_p7
35,2030_p7_34,2030_p7
36,2030_p7_35,2030_p7
37,2030_p7_36,2030_p7
38,2030_p7_37,2030_p7
39,2030_p7_38,2030_p7
40,2030_p7_39,2030_p7
41,2030_p7_40,2030_p7
42,2030_p7_41,2030_p7
43,2030_p7_42,2030_p7
44,2030_p7_43,2030_p7
45,2030_p7_44,2030_p7
46,2030_p7_45,2030_p7
47,2030_p7_46,2030_p7
48,2030_p7_47,2030_p7
49,2030_p7_48,2030_p7
50,2030_p7_49,2030_p7
51,2030_p7_50,2030_p7
52,2030_p7_51,2030_p7
53,2030_p7_52,2030_p7
54,2030_p7_53,2030_p7
55,2030_p7_54,2030_p7
56,2030_p7_55,2030_p7
57,2030_p7_56,2030_p7
58,2030_p7_57,2030_p7
59,2030_p7_58,2030_p7
60,2030_p7_59,2030_p7
61,2030_p7_60,2030_p7
62,2030_p7_61,2030_p7
63,2030_p7_62,2030_p7
64,2030_p7_63,2030_p7
65,2030_p7_64,2030_p7
66,2030_p7_65,2030_p7
67,2030_p7_66,2030_p7
68,2030_p7_67,2030_p7
69,2030_p7_68,2030_p7
70,2030_p7_69,2030_p7
71,2030_p7_70,2030_p7
72,2030_p7_71,2030_p7
73,2030_p7_72,2030_p7
74,2030_p7_73,2030_p7
75,2030_p7_74,2030_p7
76,2030_p7_75,2030_p7
77,2030_p7_76,2030_p7
78,2030_p7_77,2030_p7
79,2030_p7_78,2030_p7
80,2030_p7_79,2030_p7
81,2030_p7_80,2030_p7
82,2030_p7_81,2030_p7
83,2030_p7_82,2030_p7
84,2030_p7_83,2030_p7
85,2030_p7_84,2030_p7
86,2030_p7_85,2030_p7
87,2030_p7_86,2030_p7
88,2030_p7_87,2030_p7
89,2030_p7_88,2030_p7
90,2030_p7_89,2030_p7
91,2030_p7_90,2030_p7
92,2030_p7_91,2030_p7
93,2030_p7_92,2030_p7
94,2030_p7_93,2030_p7
95,2030_p7_94,2030_p7
96,2030_p7_95,2030_p7
97,2030_p7_96,2030_p7
98,2030_p7_97,2030_p7
99,2030_p7_98,2030_p7
100,2030_p7_99,2030_p7
101,2030_p7_100,2030_p7
102,2030_p7_101,2030_p7
103,2030_p7_102,2030_p7
104,2030_p7_103,2030_p7
105,2030_p7_104,2030_p7
106,2030_p7_105,2030_p7
107,2030_p7_106,2030_p7
108,2030_p7_107,2030_p7
109,2030_p7_108,2030_p7
110,2030_p7_109,2030_p7
111,2030_p7_110,2030_p7
112,2030_p7_111,2030_p7
113,2030_p7_112,2030_p7
114,2030_p7_113,2030_p7
115,2030_p7_114,2030_p7
116,2030_p7_115,2030_p7
117,2030_p7_116,2030_p7
118,2030_p7_117,2030_p7
119,2030_p7_118,2030_p7
120,2030_p7_119,2030_p7
121,2030_p7_120,2030_p7
122,2030_p7_121,2030_p7
123,2030_p7_122,2030_p7
124,2030_p7_123,2030_p7
125,2030_p7_124,2030_p7
126,2030_p7_125,2030_p7
127,2030_p7_126,2030_p7
128,2030_p7_127,2030_p7
129,2030_p7_128,2030_p7
130,2030_p7_129,2030_p7
131,2030_p7_130,2030_p7
132,2030_p7_131,2030_p7
133,2030_p7_132,2030_p7
134,2030_p7_133,2030_p7
135,2030_p7_134,2030_p7
136,2030_p7_135,2030_p7
137,2030_p7_136,2030_p7
138,2030_p7_137,2030_p7
139,2030_p7_138,2030_p7
140,2030_p7_139,2030_p7
141,2030_p7_140,2030_p7
142,2030_p7_141,2030_p7
143,2030_p7_142,2030_p7
144,2030_p7_143,2030_p7
145,2030_p7_144,2030_p7
146,2030_p7_145,2030_p7
147,2030_p7_146,2030_p7
148,2030_p7_147,2030_p7
149,2030_p7_148,2030_p7
150,2030_p7_149,2030_p7
151,2030_p7_150,2030_p7
152,2030_p7_151,2030_p7
153,2030_p7_152,2030_p7
154,2030_p7_153,2030_p7
155,2030_p7_154,2030_p7
156,2030_p7_155,2030_p7
157,2030_p7_156,2030_p7
158,2030_p7_157,2030_p7
159,2030_p7_158,2030_p7
160,2030_p7_159,2030_p7
161,2030_p7_160,2030_p7
162,2030_p7_161,2030_p7
163,2030_p7_162,2030_p7
164,2030_p7_163,2030_p7
165,2030_p7_164,2030_p7
166,2030_p7_165,2030_p7
167,2030_p7_166,2030_p7
168,2030_p7_167,2030_p7
169,2030_p35_0,2030_p35
170,2030_p35_1,2030_p35
171,2030_p35_2,2030_p35
172,2030_p35_3,2030_p35
173,2030_p35_4,2030_p35
174,2030_p35_5,2030_p35
175,2030_p35_6,2030_p35
176,2030_p35_7,2030_p35
177,2030_p35_8,2030_p35
178,2030_p35_9,2030_p35
179,2030_p35_10,2030_p35
180,2030_p35_11,2030_p35
181,2030_p35_12,2030_p35
182,2030_p35_13,2030_p35
183,2030_p35_14,2030_p35
184,2030_p35_15,2030_p35
185,2030_p35_16,2030_p35
186,2030_p35_17,2030_p35
187,2030_p35_18,2030_p35
188,2030_p35_19,2030_p35
189,2030_p35_20,2030_p35
190,2030_p35_21,2030_p35
191,2030_p35_22,2030_p35
192,2030_p35_23,2030_p35
193,2030_p35_24,2030_p35
194,2030_p35_25,2030_p35
195,2030_p35_26,2030_p35
196,2030_p35_27,2030_p35
197,2030_p35_28,2030_p35
198,2030_p35_29,2030_p35
199,2030_p35_30,2030_p35
200,2030_p35_31,2030_p35
201,2030_p35_32,2030_p35
202,2030_p35_33,2030_p35
203,2030_p35_34,2030_p35
204,2030_p35_35,2030_p35
205,2030_p35_36,2030_p35
206,2030_p35_37,2030_p35
207,2030_p35_38,2030_p35
208,2030_p35_39,2030_p35
209,2030_p35_40,2030_p35
210,2030_p35_41,2030_p35
211,2030_p35_42,2030_p35
212,2030_p35_43,2030_p35
213,2030_p35_44,2030_p35
214,2030_p35_45,2030_p35
215,2030_p35_46,2030_p35
216,2030_p35_47,2030_p35
217,2030_p35_48,2030_p35
218,2030_p35_49,2030_p35
219,2030_p35_50,2030_p35
220,2030_p35_51,2030_p35
221,2030_p35_52,2030_p35
222,2030_p35_53,2030_p35
223,2030_p35_54,2030_p35
224,2030_p35_55,2030_p35
225,2030_p35_56,2030_p35
226,2030_p35_57,2030_p35
227,2030_p35_58,2030_p35
228,2030_p35_59,2030_p35
229,2030_p35_60,2030_p35
230,2030_p35_61,2030_p35
231,2030_p35_62,2030_p35
232,2030_p35_63,2030_p35
233,2030_p35_64,2030_p35
234,2030_p35_65,2030_p35
235,2030_p35_66,2030_p35
236,2030_p35_67,2030_p35
237,2030_p35_68,2030_p35
238,2030_p35_69,2030_p35
239,2030_p35_70,2030_p35
240,2030_p35_71,2030_p35
241,2030_p35_72,2030_p35
242,2030_p35_73,2030_p35
243,2030_p35_74,2030_p35
244,2030_p35_75,2030_p35
245,2030_p35_76,2030_p35
246,2030_p35_77,2030_p35
247,2030_p35_78,2030_p35
248,2030_p35_79,2030_p35
249,2030_p35_80,2030_p35
250,2030_p35_81,2030_p35
251,2030_p35_82,2030_p35
252,2030_p35_83,2030_p35
253,2030_p35_84,2030_p35
254,2030_p35_85,2030_p35
