WATER_CONNECTIONS,water_node_from,water_node_to,wc_capacity
BASN_conventional_hydroelectric_1,BASN_conventional_hydroelectric_1_inlet,BASN_conventional_hydroelectric_1_outlet,1773.8020000000001
CANO_conventional_hydroelectric_1,CANO_conventional_hydroelectric_1_inlet,CANO_conventional_hydroelectric_1_outlet,6904.485000000001
CASO_conventional_hydroelectric_1,CASO_conventional_hydroelectric_1_inlet,CASO_conventional_hydroelectric_1_outlet,955.008
FRCC_conventional_hydroelectric_1,FRCC_conventional_hydroelectric_1_inlet,FRCC_conventional_hydroelectric_1_outlet,43.5
ISNE_conventional_hydroelectric_1,ISNE_conventional_hydroelectric_1_inlet,ISNE_conventional_hydroelectric_1_outlet,516.107
MISC_conventional_hydroelectric_1,MISC_conventional_hydroelectric_1_inlet,MISC_conventional_hydroelectric_1_outlet,276.59499999999997
MISS_conventional_hydroelectric_1,MISS_conventional_hydroelectric_1_inlet,MISS_conventional_hydroelectric_1_outlet,521.4000000000001
MISW_conventional_hydroelectric_1,MISW_conventional_hydroelectric_1_inlet,MISW_conventional_hydroelectric_1_outlet,82.0
NWPP_conventional_hydroelectric_1,NWPP_conventional_hydroelectric_1_inlet,NWPP_conventional_hydroelectric_1_outlet,31006.784
NYUP_conventional_hydroelectric_1,NYUP_conventional_hydroelectric_1_inlet,NYUP_conventional_hydroelectric_1_outlet,3442.806
PJMC_conventional_hydroelectric_1,PJMC_conventional_hydroelectric_1_inlet,PJMC_conventional_hydroelectric_1_outlet,10.4
PJMD_conventional_hydroelectric_1,PJMD_conventional_hydroelectric_1_inlet,PJMD_conventional_hydroelectric_1_outlet,613.1
PJME_conventional_hydroelectric_1,PJME_conventional_hydroelectric_1_inlet,PJME_conventional_hydroelectric_1_outlet,579.098
PJMW_conventional_hydroelectric_1,PJMW_conventional_hydroelectric_1_inlet,PJMW_conventional_hydroelectric_1_outlet,626.0
RMRG_conventional_hydroelectric_1,RMRG_conventional_hydroelectric_1_inlet,RMRG_conventional_hydroelectric_1_outlet,655.704
SPPC_conventional_hydroelectric_1,SPPC_conventional_hydroelectric_1_inlet,SPPC_conventional_hydroelectric_1_outlet,52.0
SPPN_conventional_hydroelectric_1,SPPN_conventional_hydroelectric_1_inlet,SPPN_conventional_hydroelectric_1_outlet,2465.014
SPPS_conventional_hydroelectric_1,SPPS_conventional_hydroelectric_1_inlet,SPPS_conventional_hydroelectric_1_outlet,1931.796
SRCA_conventional_hydroelectric_1,SRCA_conventional_hydroelectric_1_inlet,SRCA_conventional_hydroelectric_1_outlet,1222.386
SRCE_conventional_hydroelectric_1,SRCE_conventional_hydroelectric_1_inlet,SRCE_conventional_hydroelectric_1_outlet,3887.2459999999996
SRSE_conventional_hydroelectric_1,SRSE_conventional_hydroelectric_1_inlet,SRSE_conventional_hydroelectric_1_outlet,3352.3650000000002
SRSG_conventional_hydroelectric_1,SRSG_conventional_hydroelectric_1_inlet,SRSG_conventional_hydroelectric_1_outlet,2438.304
TRE_conventional_hydroelectric_1,TRE_conventional_hydroelectric_1_inlet,TRE_conventional_hydroelectric_1_outlet,440.402
