timepoint_id,tp_to_hts
1,2050_p42
2,2050_p42
3,2050_p42
4,2050_p42
5,2050_p42
6,2050_p42
7,2050_p42
8,2050_p42
9,2050_p42
10,2050_p42
11,2050_p42
12,2050_p42
13,2050_p42
14,2050_p42
15,2050_p42
16,2050_p42
17,2050_p42
18,2050_p42
19,2050_p42
20,2050_p42
21,2050_p42
22,2050_p42
23,2050_p42
24,2050_p42
25,2050_p42
26,2050_p42
27,2050_p42
28,2050_p42
29,2050_p42
30,2050_p42
31,2050_p42
32,2050_p42
33,2050_p42
34,2050_p42
35,2050_p42
36,2050_p42
37,2050_p42
38,2050_p42
39,2050_p42
40,2050_p42
41,2050_p42
42,2050_p42
43,2050_p42
44,2050_p42
45,2050_p42
46,2050_p42
47,2050_p42
48,2050_p42
49,2050_p42
50,2050_p42
51,2050_p42
52,2050_p42
53,2050_p42
54,2050_p42
55,2050_p42
56,2050_p42
57,2050_p42
58,2050_p42
59,2050_p42
60,2050_p42
61,2050_p42
62,2050_p42
63,2050_p42
64,2050_p42
65,2050_p42
66,2050_p42
67,2050_p42
68,2050_p42
69,2050_p42
70,2050_p42
71,2050_p42
72,2050_p42
73,2050_p42
74,2050_p42
75,2050_p42
76,2050_p42
77,2050_p42
78,2050_p42
79,2050_p42
80,2050_p42
81,2050_p42
82,2050_p42
83,2050_p42
84,2050_p42
85,2050_p42
86,2050_p42
87,2050_p42
88,2050_p42
89,2050_p42
90,2050_p42
91,2050_p42
92,2050_p42
93,2050_p42
94,2050_p42
95,2050_p42
96,2050_p42
97,2050_p42
98,2050_p42
99,2050_p42
100,2050_p42
101,2050_p42
102,2050_p42
103,2050_p42
104,2050_p42
105,2050_p42
106,2050_p42
107,2050_p42
108,2050_p42
109,2050_p42
110,2050_p42
111,2050_p42
112,2050_p42
113,2050_p42
114,2050_p42
115,2050_p42
116,2050_p42
117,2050_p42
118,2050_p42
119,2050_p42
120,2050_p42
121,2050_p42
122,2050_p42
123,2050_p42
124,2050_p42
125,2050_p42
126,2050_p42
127,2050_p42
128,2050_p42
129,2050_p42
130,2050_p42
131,2050_p42
132,2050_p42
133,2050_p42
134,2050_p42
135,2050_p42
136,2050_p42
137,2050_p42
138,2050_p42
139,2050_p42
140,2050_p42
141,2050_p42
142,2050_p42
143,2050_p42
144,2050_p42
145,2050_p42
146,2050_p42
