LOAD_ZONE,TIMEPOINT,zone_demand_mw
BASN,1,25879
BASN,2,23552
BASN,3,20967
BASN,4,18823
BASN,5,17517
BASN,6,17409
BASN,7,17218
BASN,8,17186
BASN,9,17789
BASN,10,18456
BASN,11,18995
BASN,12,20309
BASN,13,22061
BASN,14,23642
BASN,15,25197
BASN,16,26868
BASN,17,27408
BASN,18,27948
BASN,19,28612
BASN,20,29442
BASN,21,29639
BASN,22,31407
BASN,23,30866
BASN,24,28330
BASN,25,25957
BASN,26,23502
BASN,27,20385
BASN,28,16606
BASN,29,16098
BASN,30,15709
BASN,31,16009
BASN,32,16923
BASN,33,18972
BASN,34,20840
BASN,35,21959
BASN,36,22372
BASN,37,22470
BASN,38,23348
BASN,39,24524
BASN,40,25234
BASN,41,25632
BASN,42,26882
BASN,43,29711
BASN,44,32488
BASN,45,33515
BASN,46,30068
BASN,47,25311
BASN,48,23032
BASN,49,20911
BASN,50,19094
BASN,51,17938
BASN,52,17357
BASN,53,16626
BASN,54,16136
BASN,55,16396
BASN,56,17311
BASN,57,19371
BASN,58,21385
BASN,59,22501
BASN,60,22871
BASN,61,23018
BASN,62,24255
BASN,63,25225
BASN,64,26001
BASN,65,26178
BASN,66,27549
BASN,67,30455
BASN,68,33515
BASN,69,34674
BASN,70,30865
BASN,71,25849
BASN,72,23667
BASN,73,21372
BASN,74,19580
BASN,75,18406
BASN,76,17082
BASN,77,16419
BASN,78,16154
BASN,79,16567
BASN,80,17671
BASN,81,19953
BASN,82,21998
BASN,83,22740
BASN,84,22661
BASN,85,22726
BASN,86,23444
BASN,87,24417
BASN,88,25058
BASN,89,25456
BASN,90,26692
BASN,91,29325
BASN,92,32139
BASN,93,33379
BASN,94,30020
BASN,95,25554
BASN,96,23222
BASN,97,21055
BASN,98,19279
BASN,99,18129
BASN,100,17249
BASN,101,16768
BASN,102,16499
BASN,103,16881
BASN,104,17858
BASN,105,20202
BASN,106,22031
BASN,107,22893
BASN,108,22848
BASN,109,22658
BASN,110,23161
BASN,111,24057
BASN,112,24726
BASN,113,25007
BASN,114,26203
BASN,115,28754
BASN,116,31488
BASN,117,32744
BASN,118,29371
BASN,119,24988
BASN,120,22934
BASN,121,20805
BASN,122,19028
BASN,123,17949
BASN,124,17029
BASN,125,16546
BASN,126,16219
BASN,127,16546
BASN,128,17420
BASN,129,19330
BASN,130,21241
BASN,131,22212
BASN,132,22413
BASN,133,22420
BASN,134,23106
BASN,135,23972
BASN,136,24731
BASN,137,25005
BASN,138,26150
BASN,139,28764
BASN,140,31490
BASN,141,32490
BASN,142,28702
BASN,143,24360
BASN,144,22312
BASN,145,20487
BASN,146,18897
BASN,147,18269
BASN,148,18928
BASN,149,17602
BASN,150,17343
BASN,151,17160
BASN,152,17280
BASN,153,18218
BASN,154,19010
BASN,155,19541
BASN,156,20844
BASN,157,22766
BASN,158,24148
BASN,159,25716
BASN,160,27143
BASN,161,27438
BASN,162,27741
BASN,163,28163
BASN,164,29145
BASN,165,29201
BASN,166,30927
BASN,167,30322
BASN,168,28121
BASN,169,32651
BASN,170,29254
BASN,171,25898
BASN,172,22646
BASN,173,20891
BASN,174,20387
BASN,175,19854
BASN,176,19293
BASN,177,19388
BASN,178,19711
BASN,179,21198
BASN,180,23788
BASN,181,27194
BASN,182,30314
BASN,183,33522
BASN,184,36444
BASN,185,37956
BASN,186,38810
BASN,187,39611
BASN,188,39836
BASN,189,38369
BASN,190,39080
BASN,191,38272
BASN,192,35692
BASN,193,32457
BASN,194,29077
BASN,195,25463
BASN,196,20735
BASN,197,19808
BASN,198,19212
BASN,199,19384
BASN,200,19863
BASN,201,21223
BASN,202,23359
BASN,203,26240
BASN,204,27704
BASN,205,28976
BASN,206,30973
BASN,207,33642
BASN,208,35558
BASN,209,36984
BASN,210,39242
BASN,211,42436
BASN,212,44903
BASN,213,44758
BASN,214,39737
BASN,215,33666
BASN,216,30946
BASN,217,27712
BASN,218,24892
BASN,219,23085
BASN,220,21545
BASN,221,20477
BASN,222,19689
BASN,223,19545
BASN,224,19904
BASN,225,21314
BASN,226,23259
BASN,227,26128
BASN,228,27643
BASN,229,28749
BASN,230,30821
BASN,231,33287
BASN,232,35162
BASN,233,36632
BASN,234,38925
BASN,235,42291
BASN,236,44830
BASN,237,44690
BASN,238,39175
BASN,239,33199
BASN,240,30517
BASN,241,27148
BASN,242,24413
BASN,243,22448
BASN,244,20830
BASN,245,19869
BASN,246,19150
BASN,247,19276
BASN,248,19770
BASN,249,21097
BASN,250,22921
BASN,251,25591
BASN,252,27099
BASN,253,28311
BASN,254,30526
BASN,255,33266
BASN,256,35527
BASN,257,37001
BASN,258,39095
BASN,259,42700
BASN,260,44427
BASN,261,46637
BASN,262,39775
BASN,263,33572
BASN,264,30712
BASN,265,27437
BASN,266,24538
BASN,267,22484
BASN,268,20898
BASN,269,19936
BASN,270,19276
BASN,271,19299
BASN,272,19701
BASN,273,21107
BASN,274,23067
BASN,275,25412
BASN,276,26746
BASN,277,28129
BASN,278,30417
BASN,279,33165
BASN,280,35336
BASN,281,36811
BASN,282,38276
BASN,283,40799
BASN,284,43645
BASN,285,44132
BASN,286,38853
BASN,287,32968
BASN,288,30348
BASN,289,27371
BASN,290,24605
BASN,291,22634
BASN,292,20997
BASN,293,19981
BASN,294,19215
BASN,295,19286
BASN,296,19671
BASN,297,21052
BASN,298,22771
BASN,299,25502
BASN,300,27046
BASN,301,27968
BASN,302,30199
BASN,303,32612
BASN,304,34592
BASN,305,35931
BASN,306,38048
BASN,307,41445
BASN,308,43980
BASN,309,43836
BASN,310,38174
BASN,311,32291
BASN,312,29628
BASN,313,26768
BASN,314,24189
BASN,315,22616
BASN,316,22767
BASN,317,20781
BASN,318,20323
BASN,319,19876
BASN,320,19480
BASN,321,19844
BASN,322,20353
BASN,323,21952
BASN,324,24587
BASN,325,27825
BASN,326,30656
BASN,327,33569
BASN,328,36215
BASN,329,37606
BASN,330,38660
BASN,331,39212
BASN,332,38853
BASN,333,37163
BASN,334,38063
BASN,335,37438
BASN,336,34964
BASN,337,29615
BASN,338,27116
BASN,339,24397
BASN,340,21930
BASN,341,21006
BASN,342,21028
BASN,343,21158
BASN,344,21237
BASN,345,21958
BASN,346,22961
BASN,347,23559
BASN,348,24424
BASN,349,25613
BASN,350,26665
BASN,351,27889
BASN,352,28800
BASN,353,28895
BASN,354,29237
BASN,355,29946
BASN,356,31094
BASN,357,32272
BASN,358,33812
BASN,359,33006
BASN,360,31052
BASN,361,28866
BASN,362,26167
BASN,363,22809
BASN,364,19181
BASN,365,18869
BASN,366,18641
BASN,367,19074
BASN,368,20030
BASN,369,22751
BASN,370,25794
BASN,371,26600
BASN,372,25875
BASN,373,25313
BASN,374,25360
BASN,375,25670
BASN,376,25991
BASN,377,25978
BASN,378,27076
BASN,379,29818
BASN,380,33071
BASN,381,35773
BASN,382,32012
BASN,383,27503
BASN,384,25489
BASN,385,23189
BASN,386,21252
BASN,387,20184
BASN,388,19344
BASN,389,19000
BASN,390,18866
BASN,391,19190
BASN,392,20072
BASN,393,22631
BASN,394,25579
BASN,395,26545
BASN,396,25925
BASN,397,25309
BASN,398,25141
BASN,399,25531
BASN,400,25805
BASN,401,25780
BASN,402,26842
BASN,403,29495
BASN,404,32743
BASN,405,35384
BASN,406,31673
BASN,407,27343
BASN,408,25265
BASN,409,23155
BASN,410,21179
BASN,411,20244
BASN,412,19286
BASN,413,18956
BASN,414,18677
BASN,415,18980
BASN,416,19740
BASN,417,22137
BASN,418,24777
BASN,419,25557
BASN,420,25081
BASN,421,24575
BASN,422,24599
BASN,423,25208
BASN,424,25649
BASN,425,25723
BASN,426,27034
BASN,427,29706
BASN,428,32860
BASN,429,35169
BASN,430,31390
BASN,431,27085
BASN,432,25103
BASN,433,23073
BASN,434,21292
BASN,435,20217
BASN,436,19379
BASN,437,19089
BASN,438,18901
BASN,439,19285
BASN,440,20212
BASN,441,22659
BASN,442,25468
BASN,443,26437
BASN,444,25828
BASN,445,25153
BASN,446,25429
BASN,447,25782
BASN,448,26231
BASN,449,26268
BASN,450,27360
BASN,451,29968
BASN,452,33322
BASN,453,36011
BASN,454,32264
BASN,455,27839
BASN,456,25854
BASN,457,23833
BASN,458,21997
BASN,459,20886
BASN,460,20107
BASN,461,19817
BASN,462,19644
BASN,463,19957
BASN,464,20918
BASN,465,23353
BASN,466,26310
BASN,467,27095
BASN,468,26571
BASN,469,25809
BASN,470,25591
BASN,471,25857
BASN,472,26026
BASN,473,25926
BASN,474,26982
BASN,475,29511
BASN,476,32564
BASN,477,35127
