model,zone,planning_year,case,unit,value
SWITCH,BASN,2030,base_thin,kg,3750880871.1160903
SWITCH,CANO,2030,base_thin,kg,2252786301.934254
SWITCH,CASO,2030,base_thin,kg,6746578719.42825
SWITCH,FRCC,2030,base_thin,kg,12235300000.62036
SWITCH,ISNE,2030,base_thin,kg,14114877678.924934
SWITCH,MISC,2030,base_thin,kg,5066782380.40442
SWITCH,MISE,2030,base_thin,kg,3668613372.808924
SWITCH,MISS,2030,base_thin,kg,14960087285.666733
SWITCH,MISW,2030,base_thin,kg,9196134817.815155
SWITCH,NWPP,2030,base_thin,kg,1483145752.2236273
SWITCH,NYCW,2030,base_thin,kg,2763838423.9746885
SWITCH,NYUP,2030,base_thin,kg,817102671.7066978
SWITCH,PJMC,2030,base_thin,kg,5609411713.825667
SWITCH,PJMD,2030,base_thin,kg,5893944406.428062
SWITCH,PJME,2030,base_thin,kg,35875056582.422935
SWITCH,PJMW,2030,base_thin,kg,15740156374.264397
SWITCH,RMRG,2030,base_thin,kg,660842162.5385579
SWITCH,SPPC,2030,base_thin,kg,649101082.3009552
SWITCH,SPPN,2030,base_thin,kg,272893689.3964928
SWITCH,SPPS,2030,base_thin,kg,4238500213.975207
SWITCH,SRCA,2030,base_thin,kg,5649167130.947978
SWITCH,SRCE,2030,base_thin,kg,5867126207.469284
SWITCH,SRSE,2030,base_thin,kg,11874557063.454023
SWITCH,SRSG,2030,base_thin,kg,5404668659.845252
SWITCH,TRE,2030,base_thin,kg,8585679179.226739
SWITCH,TRE_WEST,2030,base_thin,kg,2622767257.2800603
SWITCH,BASN,2040,base_thin,kg,4177406001.308034
SWITCH,CANO,2040,base_thin,kg,3551678641.013942
SWITCH,CASO,2040,base_thin,kg,5136742371.56172
SWITCH,FRCC,2040,base_thin,kg,10924680127.683401
SWITCH,ISNE,2040,base_thin,kg,16960310295.407225
SWITCH,MISC,2040,base_thin,kg,5074927015.257406
SWITCH,MISE,2040,base_thin,kg,3986161963.7976675
SWITCH,MISS,2040,base_thin,kg,8986685913.103302
SWITCH,MISW,2040,base_thin,kg,7543034741.378142
SWITCH,NWPP,2040,base_thin,kg,1630995356.4540179
SWITCH,NYCW,2040,base_thin,kg,2815266576.477215
SWITCH,NYUP,2040,base_thin,kg,1867096150.8002245
SWITCH,PJMC,2040,base_thin,kg,4172428180.8015842
SWITCH,PJMD,2040,base_thin,kg,3024688187.477441
SWITCH,PJME,2040,base_thin,kg,26224432339.35845
SWITCH,PJMW,2040,base_thin,kg,13600867321.384432
SWITCH,RMRG,2040,base_thin,kg,1358594616.8911278
SWITCH,SPPC,2040,base_thin,kg,619022139.5374765
SWITCH,SPPN,2040,base_thin,kg,326445357.84023136
SWITCH,SPPS,2040,base_thin,kg,3086880189.642832
SWITCH,SRCA,2040,base_thin,kg,5686082954.826006
SWITCH,SRCE,2040,base_thin,kg,5197824777.848722
SWITCH,SRSE,2040,base_thin,kg,11601729500.182564
SWITCH,SRSG,2040,base_thin,kg,5831031081.886779
SWITCH,TRE,2040,base_thin,kg,9139627225.60593
SWITCH,TRE_WEST,2040,base_thin,kg,1902388873.2294905
SWITCH,BASN,2050,base_thin,kg,3656350997.8148346
SWITCH,CANO,2050,base_thin,kg,4652893059.490191
SWITCH,CASO,2050,base_thin,kg,6776139960.063697
SWITCH,FRCC,2050,base_thin,kg,10075381219.798569
SWITCH,ISNE,2050,base_thin,kg,15794712330.984272
SWITCH,MISC,2050,base_thin,kg,5013016050.2232065
SWITCH,MISE,2050,base_thin,kg,4685738926.47941
SWITCH,MISS,2050,base_thin,kg,8797351038.950056
SWITCH,MISW,2050,base_thin,kg,6925405739.784656
SWITCH,NWPP,2050,base_thin,kg,1531765079.9883156
SWITCH,NYCW,2050,base_thin,kg,2761026996.510689
SWITCH,NYUP,2050,base_thin,kg,2295238435.312087
SWITCH,PJMC,2050,base_thin,kg,3545546352.7484126
SWITCH,PJMD,2050,base_thin,kg,2492688483.0661945
SWITCH,PJME,2050,base_thin,kg,22646142327.3279
SWITCH,PJMW,2050,base_thin,kg,13378637131.206932
SWITCH,RMRG,2050,base_thin,kg,1567535881.2305968
SWITCH,SPPC,2050,base_thin,kg,557407994.6021118
SWITCH,SPPN,2050,base_thin,kg,360653395.9892362
SWITCH,SPPS,2050,base_thin,kg,2863832621.9607887
SWITCH,SRCA,2050,base_thin,kg,5335789934.849242
SWITCH,SRCE,2050,base_thin,kg,4537689713.7160635
SWITCH,SRSE,2050,base_thin,kg,11510059513.190142
SWITCH,SRSG,2050,base_thin,kg,4876191279.631538
SWITCH,TRE,2050,base_thin,kg,9732423320.670835
SWITCH,TRE_WEST,2050,base_thin,kg,1708287359.5816746
