value,model,zone,resource_name,tech_type,planning_year,case,timestep,unit
826503.8345833729,SWITCH,BASN,BASN_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_battery_moderate_0,Battery,2030,base_thin,all,MWh
196010.8898,SWITCH,BASN,BASN_biomass_1,Other,2030,base_thin,all,MWh
12938524.118098767,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,2030,base_thin,all,MWh
3866778.64,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
4366627.5744,SWITCH,BASN,BASN_geothermal_1,Geothermal,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
47545648.315078855,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh
9383483.519900158,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_nuclear_nuclear_moderate_0,Nuclear,2030,base_thin,all,MWh
4099284.7112953207,SWITCH,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_petroleum_liquids_1,Other,2030,base_thin,all,MWh
1651104.0000000007,SWITCH,BASN,BASN_small_hydroelectric_1,Hydro,2030,base_thin,all,MWh
15852402.887730246,SWITCH,BASN,BASN_solar_photovoltaic_1,Solar,2030,base_thin,all,MWh
5010585.792966746,SWITCH,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,BASN,BASN_utilitypv_class1_moderate_2,Solar,2030,base_thin,all,MWh
3839853.8566425224,SWITCH,CANO,CANO_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_battery_moderate_0,Battery,2030,base_thin,all,MWh
1633219.90453866,SWITCH,CANO,CANO_biomass_1,Other,2030,base_thin,all,MWh
28615870.05218376,SWITCH,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
12231813.180664076,SWITCH,CANO,CANO_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
4479874.742371508,SWITCH,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh
6068337.926884396,SWITCH,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
3002647.7396643115,SWITCH,CANO,CANO_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_nuclear_nuclear_moderate_0,Nuclear,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_0_2,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_offshorewind_class12_moderate_floating_1_2,Wind,2030,base_thin,all,MWh
2938185.7456,SWITCH,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_petroleum_liquids_1,Other,2030,base_thin,all,MWh
1969767.0720000002,SWITCH,CANO,CANO_small_hydroelectric_1,Hydro,2030,base_thin,all,MWh
12741866.52794,SWITCH,CANO,CANO_solar_photovoltaic_1,Solar,2030,base_thin,all,MWh
37085706.577390164,SWITCH,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,base_thin,all,MWh
0.0,SWITCH,CANO,CANO_utilitypv_class1_moderate_2,Solar,2030,base_thin,all,MWh
11949790.550054453,SWITCH,CASO,CASO_batteries_1,Battery,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_battery_moderate_0,Battery,2030,base_thin,all,MWh
822632.1336392856,SWITCH,CASO,CASO_biomass_1,Other,2030,base_thin,all,MWh
3819643.9749169694,SWITCH,CASO,CASO_conventional_hydroelectric_1,Hydro,2030,base_thin,all,MWh
17993422.901466545,SWITCH,CASO,CASO_distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh
3528615.1181685654,SWITCH,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_hydrogen_ccavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_hydrogen_ctavgcf_moderate_0,Hydro,2030,base_thin,all,MWh
8801736.199057443,SWITCH,CASO,CASO_landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh
15978698.339253426,SWITCH,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh
0.0,SWITCH,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh
