resource_name,zone,tech_type,model,planning_year,case,unit,start_value,end_value
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_thin,MW,125.0,125.0
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_thin,MW,75.0,75.0
BASN_batteries_1,BASN,Battery,SWITCH,2030,base_thin,MW,734.8,734.8
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,6.2,6.2
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,1.3,1.3
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,3.1,3.1
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,3.0,3.0
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,1.0,1.0
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,8.1,8.1
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,1.8,1.8
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,13.4,13.4
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,1.4,1.4
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,2.6,2.6
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,1.4,1.4
BASN_biomass_1,BASN,Other,SWITCH,2030,base_thin,MW,1.3,1.3
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,10.1,10.1
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,392.4,392.4
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,130.0,130.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,260.0,260.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,127.0,127.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,97.1,97.1
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,71.4,71.4
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,20.0,20.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,92.0,92.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,132.3,132.3
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,409.2,409.2
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,120.1,120.1
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,130.0,130.0
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,101.2,101.2
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,50.6,50.6
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,60.9,60.9
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,241.7,241.7
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,48.7,48.7
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,36.9,36.9
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,34.5,34.5
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.1,0.1
BASN_conventional_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.1,0.1
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,450.0,450.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,459.0,459.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,446.0,446.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,446.0,446.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,471.0,471.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,458.0,458.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,51.0,51.0
BASN_conventional_steam_coal_1,BASN,Coal,SWITCH,2030,base_thin,MW,219.2,219.2
BASN_distributed_generation_1,BASN,Distributed Solar,SWITCH,2030,base_thin,MW,1642.0,1642.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,6.5,6.5
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,30.0,30.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,26.0,26.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,24.3,24.3
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,42.2,42.2
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,128.7,128.7
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,23.5,23.5
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,2.0,2.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,98.1,98.1
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,69.0,69.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,22.5,22.5
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,70.5,70.5
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,37.0,37.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,95.4,95.4
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,20.0,20.0
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,24.8,24.8
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,47.4,47.4
BASN_geothermal_1,BASN,Geothermal,SWITCH,2030,base_thin,MW,37.0,37.0
BASN_landbasedwind_class3_moderate_1,BASN,Wind,SWITCH,2030,base_thin,MW,16261.837206374345,16261.837206374345
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,162.0,162.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,81.0,81.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,81.0,81.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,105.0,105.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,88.0,88.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,209.0,209.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,40.0,40.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,816.6,816.6
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,1340.0,1340.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,286.0,286.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,1471.0,1471.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,563.0,563.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,578.0,578.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,524.0,524.0
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,319.9,319.9
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,647.4,647.4
BASN_natural_gas_fired_combined_cycle_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,840.0,840.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,222.0,222.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,144.0,144.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,76.0,76.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,207.1,207.1
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,273.7,273.7
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,30.2,30.2
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,196.9,196.9
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,115.0,115.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,895.6,895.6
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,8.0,8.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,45.4,45.4
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,27.0,27.0
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,5.3,5.3
BASN_natural_gas_fired_combustion_turbine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,15.0,15.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,12.5,12.5
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,5.2,5.2
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,0.2,0.2
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,4.0,4.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,0.1,0.1
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,6.0,6.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,6.2,6.2
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,3.8,3.8
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,6.6,6.6
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,117.6,117.6
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,1.9,1.9
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,5.8,5.8
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,4.0,4.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,4.2,4.2
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,5.0,5.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,12.0,12.0
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,23.9,23.9
BASN_natural_gas_internal_combustion_engine_1,BASN,Natural Gas,SWITCH,2030,base_thin,MW,2.4,2.4
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,10.5,10.5
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,64.5,64.5
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,60.9,60.9
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,232.9,232.9
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,207.3,207.3
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,368.9,368.9
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,501.3,501.3
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,63.8,63.8
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,160.0,160.0
BASN_onshore_wind_turbine_1,BASN,Wind,SWITCH,2030,base_thin,MW,360.0,360.0
BASN_petroleum_liquids_1,BASN,Other,SWITCH,2030,base_thin,MW,12.2,12.2
BASN_petroleum_liquids_1,BASN,Other,SWITCH,2030,base_thin,MW,1.6,1.6
BASN_petroleum_liquids_1,BASN,Other,SWITCH,2030,base_thin,MW,12.0,12.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,21.4,21.4
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.1,0.1
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,3.6,3.6
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,5.0,5.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.5,0.5
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,19.4,19.4
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,22.4,22.4
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,14.1,14.1
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,1.4,1.4
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.5,0.5
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,1.0,1.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,24.0,24.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,15.0,15.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,19.8,19.8
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,6.1,6.1
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,14.0,14.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,15.7,15.7
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,26.5,26.5
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,12.3,12.3
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,21.6,21.6
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,1.8,1.8
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,1.3,1.3
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,26.8,26.8
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,30.8,30.8
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,9.4,9.4
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,20.0,20.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,2.1,2.1
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,3.3,3.3
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.8,0.8
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,13.0,13.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,16.0,16.0
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,1.1,1.1
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,3.6,3.6
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,1.2,1.2
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,0.1,0.1
BASN_small_hydroelectric_1,BASN,Hydro,SWITCH,2030,base_thin,MW,2.3,2.3
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,15.0,15.0
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,10.0,10.0
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,48.0,48.0
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,187.1,187.1
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,33.3,33.3
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,247.5,247.5
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,387.9,387.9
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,1425.6,1425.6
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,425.4,425.4
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,25.1,25.1
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,477.6,477.6
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,847.4,847.4
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,508.9,508.9
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,1688.9,1688.9
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,566.0,566.0
BASN_solar_photovoltaic_1,BASN,Solar,SWITCH,2030,base_thin,MW,663.0,663.0
BASN_utilitypv_class1_moderate_1,BASN,Solar,SWITCH,2030,base_thin,MW,2413.528336800652,2413.528336800652
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_thin,MW,0.5,0.5
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_thin,MW,0.5,0.5
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_thin,MW,1.0,1.0
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_thin,MW,619.9,619.9
CANO_batteries_1,CANO,Battery,SWITCH,2030,base_thin,MW,603.8,603.8
