model,zone,planning_year,case,unit,value
TEMOA,BASN,2030,base_thin_cap,tons,5.90845e+06
TEMOA,BASN,2040,base_thin_cap,tons,2.61239e+06
TEMOA,BASN,2050,base_thin_cap,tons,3.77328e+06
TEMOA,CANO,2030,base_thin_cap,tons,4.31452e+06
TEMOA,CANO,2040,base_thin_cap,tons,6.41646e+06
TEMOA,CANO,2050,base_thin_cap,tons,2.51177e+06
TEMOA,CASO,2030,base_thin_cap,tons,563510
TEMOA,CASO,2040,base_thin_cap,tons,1.40454e+06
TEMOA,CASO,2050,base_thin_cap,tons,1.01664e+06
TEMOA,FRCC,2030,base_thin_cap,tons,1.05421e+07
TEMOA,FRCC,2040,base_thin_cap,tons,1.24755e+07
TEMOA,FRCC,2050,base_thin_cap,tons,9.56421e+06
TEMOA,ISNE,2030,base_thin_cap,tons,5.71049e+06
TEMOA,ISNE,2040,base_thin_cap,tons,2.01282e+07
TEMOA,ISNE,2050,base_thin_cap,tons,1.36994e+07
TEMOA,MISC,2030,base_thin_cap,tons,5.17532e+06
TEMOA,MISC,2040,base_thin_cap,tons,5.72255e+06
TEMOA,MISC,2050,base_thin_cap,tons,4.34267e+06
TEMOA,MISE,2030,base_thin_cap,tons,3.52302e+06
TEMOA,MISE,2040,base_thin_cap,tons,3.6804e+06
TEMOA,MISE,2050,base_thin_cap,tons,3.30665e+06
TEMOA,MISS,2030,base_thin_cap,tons,8.4651e+06
TEMOA,MISS,2040,base_thin_cap,tons,5.72857e+06
TEMOA,MISS,2050,base_thin_cap,tons,2.77284e+06
TEMOA,MISW,2030,base_thin_cap,tons,9.59392e+06
TEMOA,MISW,2040,base_thin_cap,tons,6.73345e+06
TEMOA,MISW,2050,base_thin_cap,tons,1.29454e+07
TEMOA,NWPP,2030,base_thin_cap,tons,702934
TEMOA,NWPP,2040,base_thin_cap,tons,2.10058e+06
TEMOA,NWPP,2050,base_thin_cap,tons,7.14587e+06
TEMOA,NYCW,2030,base_thin_cap,tons,1.71334e+06
TEMOA,NYCW,2040,base_thin_cap,tons,1.18927e+06
TEMOA,NYCW,2050,base_thin_cap,tons,3.24291e+06
TEMOA,NYUP,2030,base_thin_cap,tons,4.73724e+06
TEMOA,NYUP,2040,base_thin_cap,tons,2.68672e+06
TEMOA,NYUP,2050,base_thin_cap,tons,3.71783e+06
TEMOA,PJMC,2030,base_thin_cap,tons,6.28565e+06
TEMOA,PJMC,2040,base_thin_cap,tons,4.58391e+06
TEMOA,PJMC,2050,base_thin_cap,tons,1.11795e+06
TEMOA,PJMD,2030,base_thin_cap,tons,3.40105e+06
TEMOA,PJMD,2040,base_thin_cap,tons,3.30196e+06
TEMOA,PJMD,2050,base_thin_cap,tons,1.12314e+06
TEMOA,PJME,2030,base_thin_cap,tons,3.1717e+07
TEMOA,PJME,2040,base_thin_cap,tons,1.7688e+07
TEMOA,PJME,2050,base_thin_cap,tons,1.22786e+07
TEMOA,PJMW,2030,base_thin_cap,tons,2.9642e+07
TEMOA,PJMW,2040,base_thin_cap,tons,2.52798e+07
TEMOA,PJMW,2050,base_thin_cap,tons,2.8673e+07
TEMOA,RMRG,2030,base_thin_cap,tons,157225
TEMOA,RMRG,2040,base_thin_cap,tons,458672
TEMOA,RMRG,2050,base_thin_cap,tons,826031
TEMOA,SPPC,2030,base_thin_cap,tons,365519
TEMOA,SPPC,2040,base_thin_cap,tons,316631
TEMOA,SPPC,2050,base_thin_cap,tons,156209
TEMOA,SPPN,2030,base_thin_cap,tons,81168.9
TEMOA,SPPN,2040,base_thin_cap,tons,302346
TEMOA,SPPN,2050,base_thin_cap,tons,2.6407e+06
TEMOA,SPPS,2030,base_thin_cap,tons,5.56195e+06
TEMOA,SPPS,2040,base_thin_cap,tons,3.64222e+06
TEMOA,SPPS,2050,base_thin_cap,tons,976237
TEMOA,SRCA,2030,base_thin_cap,tons,5.28599e+06
TEMOA,SRCA,2040,base_thin_cap,tons,5.13314e+06
TEMOA,SRCA,2050,base_thin_cap,tons,5.28329e+06
TEMOA,SRCE,2030,base_thin_cap,tons,1.09671e+07
TEMOA,SRCE,2040,base_thin_cap,tons,7.75673e+06
TEMOA,SRCE,2050,base_thin_cap,tons,7.07262e+06
TEMOA,SRSE,2030,base_thin_cap,tons,1.82153e+07
TEMOA,SRSE,2040,base_thin_cap,tons,1.38454e+07
TEMOA,SRSE,2050,base_thin_cap,tons,7.65784e+06
TEMOA,SRSG,2030,base_thin_cap,tons,1.88859e+06
TEMOA,SRSG,2040,base_thin_cap,tons,3.08127e+06
TEMOA,SRSG,2050,base_thin_cap,tons,1.92589e+06
TEMOA,TRE,2030,base_thin_cap,tons,7.82459e+06
TEMOA,TRE,2040,base_thin_cap,tons,5.60254e+06
TEMOA,TRE,2050,base_thin_cap,tons,1.07941e+07
TEMOA,TRE_WEST,2030,base_thin_cap,tons,3.65687e+06
TEMOA,TRE_WEST,2040,base_thin_cap,tons,2.16005e+06
TEMOA,TRE_WEST,2050,base_thin_cap,tons,761483
