model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
TEMOA,TRE_WEST,batteries_1,Battery,2030,base_thin,all,MWh,1.1908e+06
TEMOA,TRE_WEST,battery_moderate_0_10hour,Battery,2030,base_thin,all,MWh,113.799
TEMOA,TRE_WEST,battery_moderate_0_2hour,Battery,2030,base_thin,all,MWh,294.276
TEMOA,TRE_WEST,battery_moderate_0_4hour,Battery,2030,base_thin,all,MWh,250.949
TEMOA,TRE_WEST,battery_moderate_0_6hour,Battery,2030,base_thin,all,MWh,192.292
TEMOA,TRE_WEST,battery_moderate_0_8hour,Battery,2030,base_thin,all,MWh,146.199
TEMOA,TRE_WEST,distributed_generation_1,Distributed Solar,2030,base_thin,all,MWh,546213
TEMOA,TRE_WEST,hydrogen_ccavgcf_moderate_0,Hydrogen,2030,base_thin,all,MWh,23.4529
TEMOA,TRE_WEST,hydrogen_ctavgcf_moderate_0,Hydrogen,2030,base_thin,all,MWh,1.94959
TEMOA,TRE_WEST,landbasedwind_class3_moderate_1,Wind,2030,base_thin,all,MWh,502.959
TEMOA,TRE_WEST,landbasedwind_class3_moderate_2,Wind,2030,base_thin,all,MWh,119.034
TEMOA,TRE_WEST,natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin,all,MWh,8.82714e+06
TEMOA,TRE_WEST,natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin,all,MWh,0.220821
TEMOA,TRE_WEST,natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin,all,MWh,1398.97
TEMOA,TRE_WEST,naturalgas_ccavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh,124.832
TEMOA,TRE_WEST,naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin,all,MWh,152.239
TEMOA,TRE_WEST,naturalgas_ctavgcf_moderate_0,Natural Gas,2030,base_thin,all,MWh,9.80474
TEMOA,TRE_WEST,nuclear_nuclear_moderate_0,Nuclear,2030,base_thin,all,MWh,35.5072
TEMOA,TRE_WEST,onshore_wind_turbine_1,Wind,2030,base_thin,all,MWh,5.85702e+07
TEMOA,TRE_WEST,solar_photovoltaic_1,Solar,2030,base_thin,all,MWh,1.83557e+07
TEMOA,TRE_WEST,utilitypv_class1_moderate_1,Solar,2030,base_thin,all,MWh,576.954
TEMOA,TRE_WEST,utilitypv_class1_moderate_2,Solar,2030,base_thin,all,MWh,132.145
TEMOA,BASN,batteries_1,Battery,2030,base_thin,all,MWh,594503
TEMOA,CANO,batteries_1,Battery,2030,base_thin,all,MWh,2.32409e+06
TEMOA,CASO,batteries_1,Battery,2030,base_thin,all,MWh,8.20942e+06
TEMOA,FRCC,batteries_1,Battery,2030,base_thin,all,MWh,484583
TEMOA,ISNE,batteries_1,Battery,2030,base_thin,all,MWh,276393
TEMOA,MISC,batteries_1,Battery,2030,base_thin,all,MWh,23134.8
TEMOA,MISE,batteries_1,Battery,2030,base_thin,all,MWh,951.285
