model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,CANO,CANO_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,1442.01,1442.01
TEMOA,PJMC,PJMC_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,4456.11,4456.11
TEMOA,MISC,MISC_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,12.888,12.888
TEMOA,NYCW,NYCW_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,4244.99,4244.99
TEMOA,SPPN,SPPN_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,125.601,125.601
TEMOA,SRSG,SRSG_hydroelectric_pumped_storage_1,Hydro,2030,base_thin_cap,MW,216.3,216.3
TEMOA,SRSE,SRSE_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin_cap,MW,0,5813.63
TEMOA,PJME,PJME_batteries_1,Battery,2030,base_thin_cap,MW,88,88
TEMOA,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,72.711,72.711
TEMOA,NWPP,NWPP_geothermal_1,Geothermal,2030,base_thin_cap,MW,20.528,20.528
TEMOA,PJMW,PJMW_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,11592.2,11592.2
TEMOA,PJMW,PJMW_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,129.255,129.255
TEMOA,SPPN,SPPN_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,5016,5016
TEMOA,SRCA,SRCA_biomass_1,Other,2030,base_thin_cap,MW,113.74,113.74
TEMOA,CASO,CASO_biomass_1,Other,2030,base_thin_cap,MW,112.575,112.575
TEMOA,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,5037.1,5037.1
TEMOA,NWPP,NWPP_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,378.2,378.2
TEMOA,MISW,MISW_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,3131.63,3131.63
TEMOA,MISC,MISC_batteries_1,Battery,2030,base_thin_cap,MW,36.3,36.3
TEMOA,SRCA,SRCA_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,9667.21,9667.21
TEMOA,PJMW,PJMW_biomass_1,Other,2030,base_thin_cap,MW,30.222,30.222
TEMOA,NWPP,NWPP_nuclear_1,Nuclear,2030,base_thin_cap,MW,1172,1172
TEMOA,MISE,MISE_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,32.4,32.4
TEMOA,MISE,MISE_petroleum_liquids_1,Other,2030,base_thin_cap,MW,44.8,44.8
TEMOA,NYCW,NYCW_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,158.2,158.2
TEMOA,MISW,MISW_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,733.91,733.91
TEMOA,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,592.805,592.805
TEMOA,CASO,CASO_geothermal_1,Geothermal,2030,base_thin_cap,MW,23.729,23.729
TEMOA,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,base_thin_cap,MW,0,15678.5
TEMOA,PJMW,PJMW_hydroelectric_pumped_storage_1,Hydro,2030,base_thin_cap,MW,237.999,237.999
TEMOA,SRCE,SRCE_distributed_generation_1,Distributed Solar,2030,base_thin_cap,MW,823,823
TEMOA,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,279.909,279.909
TEMOA,PJME,PJME_landbasedwind_class3_moderate_2,Wind,2030,base_thin_cap,MW,0,2916.34
TEMOA,SRCE,SRCE_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,7684.8,7684.8
TEMOA,PJMC,PJMC_biomass_1,Other,2030,base_thin_cap,MW,27.024,27.024
TEMOA,MISC,MISC_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,3922.07,3922.07
TEMOA,PJME,PJME_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,2216.54,2216.54
TEMOA,SPPS,SPPS_biomass_1,Other,2030,base_thin_cap,MW,14.84,14.84
TEMOA,SPPS,SPPS_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,39.842,39.842
TEMOA,NYCW,NYCW_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,2076.9,2076.9
TEMOA,BASN,BASN_batteries_1,Battery,2030,base_thin_cap,MW,935.808,935.808
TEMOA,MISW,MISW_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,23333.1,23333.1
TEMOA,MISW,MISW_batteries_1,Battery,2030,base_thin_cap,MW,31.2,31.2
TEMOA,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,1833.42,1833.42
TEMOA,MISE,MISE_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin_cap,MW,0,3833.07
TEMOA,PJMD,PJMD_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,913.5,913.5
TEMOA,CANO,CANO_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,6973.45,6973.45
TEMOA,FRCC,FRCC_nuclear_1,Nuclear,2030,base_thin_cap,MW,3737,3737
TEMOA,PJME,PJME_utilitypv_class1_moderate_1,Solar,2030,base_thin_cap,MW,0,21742.4
TEMOA,BASN,BASN_biomass_1,Other,2030,base_thin_cap,MW,26.738,26.738
TEMOA,PJME,PJME_hydroelectric_pumped_storage_1,Hydro,2030,base_thin_cap,MW,1972,1972
TEMOA,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2030,base_thin_cap,MW,1768,1768
TEMOA,RMRG,RMRG_batteries_1,Battery,2030,base_thin_cap,MW,240.198,240.198
TEMOA,SPPC,SPPC_utilitypv_class1_moderate_1,Solar,2030,base_thin_cap,MW,0,14084
TEMOA,FRCC,FRCC_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,4867,4867
TEMOA,MISC,MISC_landbasedwind_class3_moderate_1,Wind,2030,base_thin_cap,MW,0,24166.2
TEMOA,SPPS,SPPS_batteries_1,Battery,2030,base_thin_cap,MW,222,222
TEMOA,NWPP,NWPP_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,1629,1629
TEMOA,PJMD,PJMD_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,613.1,613.1
TEMOA,SRSG,SRSG_biomass_1,Other,2030,base_thin_cap,MW,31.82,31.82
TEMOA,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,57.39,57.39
TEMOA,MISW,MISW_natural_gas_steam_turbine_1,Natural Gas,2030,base_thin_cap,MW,225.004,225.004
TEMOA,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2030,base_thin_cap,MW,335,335
TEMOA,MISS,MISS_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,109.312,109.312
TEMOA,FRCC,FRCC_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,9462.55,9462.55
TEMOA,SPPS,SPPS_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,460.81,460.81
TEMOA,PJMC,PJMC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,5038.4,5038.4
TEMOA,RMRG,RMRG_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,11455,11455
TEMOA,RMRG,RMRG_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin_cap,MW,0,1879.2
TEMOA,SRCE,SRCE_landbasedwind_class3_moderate_1,Wind,2030,base_thin_cap,MW,0,27783
TEMOA,PJMC,PJMC_utilitypv_class1_moderate_1,Solar,2030,base_thin_cap,MW,0,4343.79
TEMOA,MISS,MISS_batteries_1,Battery,2030,base_thin_cap,MW,10.5,10.5
TEMOA,MISW,MISW_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,6499.2,6499.2
TEMOA,TRE,TRE_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,15.948,15.948
TEMOA,MISS,MISS_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,6111.1,6111.1
TEMOA,TRE,TRE_biomass_1,Other,2030,base_thin_cap,MW,38.256,38.256
TEMOA,SPPC,SPPC_distributed_generation_1,Distributed Solar,2030,base_thin_cap,MW,382,382
TEMOA,PJMC,PJMC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,8664.99,8664.99
TEMOA,PJME,PJME_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,811.512,811.512
TEMOA,SPPS,SPPS_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,9508.8,9508.8
TEMOA,SRCA,SRCA_distributed_generation_1,Distributed Solar,2030,base_thin_cap,MW,3265,3265
TEMOA,PJMD,PJMD_biomass_1,Other,2030,base_thin_cap,MW,63.474,63.474
TEMOA,MISC,MISC_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,14602.8,14602.8
TEMOA,RMRG,RMRG_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,243.39,243.39
TEMOA,PJMW,PJMW_utilitypv_class1_moderate_1,Solar,2030,base_thin_cap,MW,0,63737.2
TEMOA,MISE,MISE_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,4396.7,4396.7
TEMOA,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,8830.27,8830.27
TEMOA,MISW,MISW_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,8365.2,8365.2
TEMOA,CASO,CASO_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,50,50
TEMOA,TRE,TRE_petroleum_liquids_1,Other,2030,base_thin_cap,MW,131.908,131.908
TEMOA,SRSE,SRSE_distributed_generation_1,Distributed Solar,2030,base_thin_cap,MW,866,866
TEMOA,SPPN,SPPN_petroleum_liquids_1,Other,2030,base_thin_cap,MW,60.288,60.288
TEMOA,SPPN,SPPN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,2417.01,2417.01
TEMOA,SRCA,SRCA_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,10246.4,10246.4
TEMOA,MISW,MISW_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,239.136,239.136
TEMOA,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap,MW,221.381,221.381
TEMOA,RMRG,RMRG_solar_photovoltaic_1,Solar,2030,base_thin_cap,MW,2310.43,2310.43
TEMOA,ISNE,ISNE_nuclear_1,Nuclear,2030,base_thin_cap,MW,3348.1,3348.1
TEMOA,RMRG,RMRG_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,707.304,707.304
TEMOA,SPPS,SPPS_landbasedwind_class3_moderate_1,Wind,2030,base_thin_cap,MW,0,54911.5
TEMOA,MISW,MISW_conventional_steam_coal_1,Coal,2030,base_thin_cap,MW,11041.6,11041.6
TEMOA,SRSE,SRSE_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,21456.6,21456.6
TEMOA,MISW,MISW_utilitypv_class1_moderate_1,Solar,2030,base_thin_cap,MW,0,11815.9
TEMOA,SRCA,SRCA_landbasedwind_class3_moderate_1,Wind,2030,base_thin_cap,MW,0,5594.94
TEMOA,RMRG,RMRG_biomass_1,Other,2030,base_thin_cap,MW,15.048,15.048
TEMOA,SRSE,SRSE_nuclear_1,Nuclear,2030,base_thin_cap,MW,8059,8059
TEMOA,SPPC,SPPC_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,1782,1782
TEMOA,PJMD,PJMD_nuclear_1,Nuclear,2030,base_thin_cap,MW,3708,3708
TEMOA,MISW,MISW_landbasedwind_class3_moderate_1,Wind,2030,base_thin_cap,MW,0,12287
TEMOA,CASO,CASO_small_hydroelectric_1,Hydro,2030,base_thin_cap,MW,66.912,66.912
TEMOA,MISC,MISC_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,6436.98,6436.98
TEMOA,MISW,MISW_biomass_1,Other,2030,base_thin_cap,MW,91.16,91.16
TEMOA,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_thin_cap,MW,2566.29,2566.29
TEMOA,PJMW,PJMW_batteries_1,Battery,2030,base_thin_cap,MW,41.802,41.802
TEMOA,PJMW,PJMW_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,4450.2,4450.2
TEMOA,FRCC,FRCC_naturalgas_ccccsavgcf_conservative_0,CCS,2030,base_thin_cap,MW,0,17507.4
TEMOA,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap,MW,9528.95,9528.95
TEMOA,SRCE,SRCE_natural_gas_steam_turbine_1,Natural Gas,2030,base_thin_cap,MW,63.8,63.8
TEMOA,MISW,MISW_petroleum_liquids_1,Other,2030,base_thin_cap,MW,1117.06,1117.06
TEMOA,PJMD,PJMD_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap,MW,7914.4,7914.4
TEMOA,SPPN,SPPN_onshore_wind_turbine_1,Wind,2030,base_thin_cap,MW,7510.32,7510.32
