model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,BASN_to_CANO,2030,base_thin,MW,100,100.071
TEMOA,2,BASN_to_CASO,2030,base_thin,MW,5920,5920.09
TEMOA,3,BASN_to_NWPP,2030,base_thin,MW,3350,3350.05
TEMOA,4,BASN_to_RMRG,2030,base_thin,MW,3750,3750.27
TEMOA,5,BASN_to_SRSG,2030,base_thin,MW,5385,5385.06
TEMOA,6,CANO_to_CASO,2030,base_thin,MW,3675,3675.09
TEMOA,7,CANO_to_NWPP,2030,base_thin,MW,3675,3675.08
TEMOA,8,CASO_to_NWPP,2030,base_thin,MW,2858,2858.07
TEMOA,9,CASO_to_SRSG,2030,base_thin,MW,4354,4356.25
TEMOA,10,FRCC_to_SRSE,2030,base_thin,MW,3600,4540.28
TEMOA,11,ISNE_to_NYCW,2030,base_thin,MW,760,760.099
TEMOA,12,ISNE_to_NYUP,2030,base_thin,MW,1400,3039.89
TEMOA,13,MISC_to_MISE,2030,base_thin,MW,0,3421.73
TEMOA,14,MISC_to_MISS,2030,base_thin,MW,1039,1039.09
TEMOA,15,MISC_to_MISW,2030,base_thin,MW,1655,1655.1
TEMOA,16,MISC_to_PJMC,2030,base_thin,MW,5244,5244.6
TEMOA,17,MISC_to_PJMW,2030,base_thin,MW,5441,14922.1
TEMOA,18,MISC_to_SPPC,2030,base_thin,MW,1430,15730
TEMOA,19,MISC_to_SPPN,2030,base_thin,MW,0,384.016
TEMOA,20,MISC_to_SPPS,2030,base_thin,MW,1172,12892
TEMOA,21,MISC_to_SRCE,2030,base_thin,MW,3745,3745.15
TEMOA,23,MISE_to_PJMW,2030,base_thin,MW,2662,2662.12
TEMOA,24,MISS_to_SPPC,2030,base_thin,MW,0,10000
TEMOA,25,MISS_to_SPPS,2030,base_thin,MW,1697,18667
TEMOA,26,MISS_to_SRCE,2030,base_thin,MW,4092,4092.12
TEMOA,27,MISS_to_SRSE,2030,base_thin,MW,891,10891
TEMOA,28,MISW_to_NWPP,2030,base_thin,MW,200,200.312
TEMOA,29,MISW_to_PJMC,2030,base_thin,MW,3200,7626.28
TEMOA,31,MISW_to_SPPN,2030,base_thin,MW,5512,5512.26
TEMOA,32,NWPP_to_RMRG,2030,base_thin,MW,400,1484.5
TEMOA,33,NYCW_to_NYUP,2030,base_thin,MW,2489,2489.18
TEMOA,34,NYCW_to_PJME,2030,base_thin,MW,660,7251.94
TEMOA,35,NYUP_to_PJME,2030,base_thin,MW,1255,1664.64
TEMOA,36,PJMC_to_PJMW,2030,base_thin,MW,980,6774.44
TEMOA,37,PJMD_to_PJME,2030,base_thin,MW,1200,8415.95
TEMOA,38,PJMD_to_PJMW,2030,base_thin,MW,6930,6930.15
TEMOA,39,PJMD_to_SRCA,2030,base_thin,MW,1000,1000.3
TEMOA,40,PJME_to_PJMW,2030,base_thin,MW,3885,3886.72
