model,line,line_name,planning_year,case,unit,value
TEMOA,9,CASO_to_SRSG,2030,base_thin,MW,3327.7
TEMOA,10,FRCC_to_SRSE,2030,base_thin,MW,921.744
TEMOA,12,ISNE_to_NYUP,2030,base_thin,MW,3145.55
TEMOA,13,MISC_to_MISE,2030,base_thin,MW,2825.68
TEMOA,17,MISC_to_PJMW,2030,base_thin,MW,11967.2
TEMOA,18,MISC_to_SPPC,2030,base_thin,MW,14300
TEMOA,19,MISC_to_SPPN,2030,base_thin,MW,2064.92
TEMOA,20,MISC_to_SPPS,2030,base_thin,MW,11720
TEMOA,24,MISS_to_SPPC,2030,base_thin,MW,10000
TEMOA,25,MISS_to_SPPS,2030,base_thin,MW,16970
TEMOA,27,MISS_to_SRSE,2030,base_thin,MW,10000
TEMOA,28,MISW_to_NWPP,2030,base_thin,MW,790.76
TEMOA,29,MISW_to_PJMC,2030,base_thin,MW,5829.86
TEMOA,32,NWPP_to_RMRG,2030,base_thin,MW,1495.89
TEMOA,34,NYCW_to_PJME,2030,base_thin,MW,7040.37
TEMOA,35,NYUP_to_PJME,2030,base_thin,MW,1864.06
TEMOA,36,PJMC_to_PJMW,2030,base_thin,MW,6877.16
TEMOA,37,PJMD_to_PJME,2030,base_thin,MW,3602.07
TEMOA,39,PJMD_to_SRCA,2030,base_thin,MW,26.7181
TEMOA,40,PJME_to_PJMW,2030,base_thin,MW,10472.8
TEMOA,43,RMRG_to_SPPC,2030,base_thin,MW,9169.2
TEMOA,44,RMRG_to_SPPN,2030,base_thin,MW,3018.21
TEMOA,45,RMRG_to_SRSG,2030,base_thin,MW,2876.1
TEMOA,47,SPPC_to_SPPS,2030,base_thin,MW,10119.2
TEMOA,48,SPPN_to_SPPS,2030,base_thin,MW,4913.56
TEMOA,49,SPPS_to_SRSG,2030,base_thin,MW,6955.67
TEMOA,50,SPPS_to_TRE,2030,base_thin,MW,10000
TEMOA,51,SPPS_to_TRE_WEST,2030,base_thin,MW,10000
TEMOA,52,SRCA_to_SRCE,2030,base_thin,MW,1038.18
TEMOA,54,SRCE_to_SRSE,2030,base_thin,MW,1330.24
TEMOA,56,NWPP_to_SPPN,2030,base_thin,MW,231.053
TEMOA,57,SRSG_to_TRE,2030,base_thin,MW,8974.07
TEMOA,1,BASN_to_CANO,2040,base_thin,MW,2096.82
TEMOA,7,CANO_to_NWPP,2040,base_thin,MW,1785.92
TEMOA,9,CASO_to_SRSG,2040,base_thin,MW,9748.5
TEMOA,10,FRCC_to_SRSE,2040,base_thin,MW,8264.93
TEMOA,12,ISNE_to_NYUP,2040,base_thin,MW,5518.88
TEMOA,13,MISC_to_MISE,2040,base_thin,MW,3115.52
TEMOA,17,MISC_to_PJMW,2040,base_thin,MW,14214.4
TEMOA,18,MISC_to_SPPC,2040,base_thin,MW,14300
TEMOA,20,MISC_to_SPPS,2040,base_thin,MW,8360.97
TEMOA,25,MISS_to_SPPS,2040,base_thin,MW,15847.9
TEMOA,26,MISS_to_SRCE,2040,base_thin,MW,1289.14
TEMOA,27,MISS_to_SRSE,2040,base_thin,MW,10000
TEMOA,28,MISW_to_NWPP,2040,base_thin,MW,1232.21
TEMOA,30,MISW_to_SPPC,2040,base_thin,MW,2943.97
TEMOA,32,NWPP_to_RMRG,2040,base_thin,MW,1281.86
TEMOA,34,NYCW_to_PJME,2040,base_thin,MW,4082
TEMOA,35,NYUP_to_PJME,2040,base_thin,MW,9139.71
TEMOA,36,PJMC_to_PJMW,2040,base_thin,MW,4458.5
TEMOA,37,PJMD_to_PJME,2040,base_thin,MW,1570.05
TEMOA,39,PJMD_to_SRCA,2040,base_thin,MW,2548.17
TEMOA,40,PJME_to_PJMW,2040,base_thin,MW,21534.8
TEMOA,42,PJMW_to_SRCE,2040,base_thin,MW,99.2386
TEMOA,43,RMRG_to_SPPC,2040,base_thin,MW,9999.96
TEMOA,45,RMRG_to_SRSG,2040,base_thin,MW,9999.98
TEMOA,46,SPPC_to_SPPN,2040,base_thin,MW,121.874
TEMOA,48,SPPN_to_SPPS,2040,base_thin,MW,1278.16
TEMOA,49,SPPS_to_SRSG,2040,base_thin,MW,4370.25
TEMOA,50,SPPS_to_TRE,2040,base_thin,MW,9765.86
TEMOA,52,SRCA_to_SRCE,2040,base_thin,MW,1387.81
TEMOA,53,SRCA_to_SRSE,2040,base_thin,MW,1256.66
TEMOA,54,SRCE_to_SRSE,2040,base_thin,MW,2556.65
TEMOA,56,NWPP_to_SPPN,2040,base_thin,MW,565.558
TEMOA,57,SRSG_to_TRE,2040,base_thin,MW,939.088
TEMOA,1,BASN_to_CANO,2050,base_thin,MW,2946.58
TEMOA,2,BASN_to_CASO,2050,base_thin,MW,1338.3
