region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
BASN,BASN_biomass_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_conventional_hydroelectric_1,1,1,2,0.0,0.0,6.955105839999999e7,0.0,0.0,0.0,0.0,0.0,0.0,4.5527638557132554e8,0.0,0.0,0.0,0.0,0.0,4.5527638557132554e8,6.955105839999999e7,3.8572532717132556e8
BASN,BASN_conventional_steam_coal_1,1,1,3,0.0,0.0,2.05603286e7,0.0,78230.42739657153,586545.1129846368,0.0,0.0,0.0,6.577374739768779e7,0.0,0.0,0.0,8.553708273632422e6,0.0,6.577374739768779e7,2.977881241401363e7,3.599493498367416e7
BASN,BASN_geothermal_1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,5,0.0,0.0,8.850223739999998e7,0.0,6.5305782537153125e7,5.878932445263525e8,0.0,0.0,0.0,4.0369893298627534e9,0.0,0.0,0.0,1.417891616116739e9,0.0,4.0369893298627534e9,2.1595928805802445e9,1.8773964492825089e9
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,7,0.0,0.0,4.27371e6,0.0,309974.25343222765,2.6528029130944223e6,0.0,0.0,0.0,5.522900874663895e7,0.0,0.0,0.0,6.398078298581343e6,0.0,5.522900874663895e7,1.3634565465107992e7,4.159444328153096e7
BASN,BASN_onshore_wind_turbine_1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BASN,BASN_small_hydroelectric_1,1,1,9,0.0,0.0,7.25903592e6,0.0,0.0,0.0,0.0,0.0,0.0,1.2456400825667177e8,0.0,0.0,0.0,0.0,0.0,1.2456400825667177e8,7.25903592e6,1.1730497233667177e8
BASN,BASN_solar_photovoltaic_1,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_biomass_1,2,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_conventional_hydroelectric_1,2,1,12,0.0,0.0,2.6438717696e8,0.0,0.0,0.0,0.0,0.0,0.0,1.587575495500812e9,0.0,0.0,0.0,0.0,0.0,1.587575495500812e9,2.6438717696e8,1.323188318540812e9
CANO,CANO_hydroelectric_pumped_storage_1,2,1,13,0.0,0.0,1.071235912e8,0.0,0.0,0.0,0.0,0.0,1.3031734637455235e8,7.577471585093588e8,0.0,0.0,0.0,0.0,0.0,7.577471585093588e8,2.3744093757455236e8,5.203062209348064e8
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,14,0.0,0.0,1.2995486080000001e8,0.0,9.47789504699863e7,7.880263443253889e8,0.0,0.0,0.0,5.29135560836518e9,0.0,0.0,0.0,1.9958318773224382e9,0.0,5.29135560836518e9,3.0085920329178133e9,2.2827635754473667e9
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,16,0.0,0.0,9.11211e6,0.0,622552.9767389208,5.07267136667363e6,0.0,0.0,0.0,1.052268674602444e8,0.0,0.0,0.0,1.284753903177578e7,0.0,1.052268674602444e8,2.765487337518833e7,7.757199408505607e7
CANO,CANO_natural_gas_steam_turbine_1,2,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_onshore_wind_turbine_1,2,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_petroleum_liquids_1,2,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO,CANO_small_hydroelectric_1,2,1,20,0.0,0.0,9.60814256e6,0.0,0.0,0.0,0.0,0.0,0.0,1.6826300208638343e8,0.0,0.0,0.0,0.0,0.0,1.6826300208638343e8,9.60814256e6,1.5865485952638343e8
CANO,CANO_solar_photovoltaic_1,2,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO,CASO_biomass_1,3,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO,CASO_conventional_hydroelectric_1,3,1,23,0.0,0.0,4.3237582480000004e7,0.0,0.0,0.0,0.0,0.0,0.0,2.3471871079703414e8,0.0,0.0,0.0,0.0,0.0,2.3471871079703414e8,4.3237582480000004e7,1.9148112831703413e8
CASO,CASO_geothermal_1,3,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO,CASO_hydroelectric_pumped_storage_1,3,1,25,0.0,0.0,7.833492e7,0.0,0.0,0.0,0.0,0.0,8.618232012905839e7,5.718911052016397e8,0.0,0.0,0.0,0.0,0.0,5.718911052016397e8,1.645172401290584e8,4.073738650725813e8
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,26,0.0,0.0,9.791060491000001e7,0.0,6.726103041566882e7,5.907025117577028e8,0.0,0.0,0.0,4.277158058963967e9,0.0,0.0,0.0,1.496070418800181e9,0.0,4.277158058963967e9,2.2519445658835526e9,2.0252134930804143e9
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,28,0.0,0.0,1.0203900000000001e6,0.0,116100.76611597718,945126.5794789784,0.0,0.0,0.0,1.4029664676908996e7,0.0,0.0,0.0,2.3937191554727717e6,0.0,1.4029664676908996e7,4.475336501067728e6,9.554328175841268e6
