model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,base_thin_cap_10weeks_myopic,MWh,651966
USENSYS,BASN,BASN_batteries_1,Battery,2040,base_thin_cap_10weeks_myopic,MWh,1924450
USENSYS,BASN,BASN_batteries_1,Battery,2050,base_thin_cap_10weeks_myopic,MWh,1990271
USENSYS,BASN,BASN_batteries_1_charger,Battery,2030,base_thin_cap_10weeks_myopic,MWh,183776
USENSYS,BASN,BASN_batteries_1_charger,Battery,2040,base_thin_cap_10weeks_myopic,MWh,111675
USENSYS,BASN,BASN_batteries_1_charger,Battery,2050,base_thin_cap_10weeks_myopic,MWh,97667
USENSYS,BASN,BASN_batteries_1_discharger,Battery,2030,base_thin_cap_10weeks_myopic,MWh,169064
USENSYS,BASN,BASN_batteries_1_discharger,Battery,2040,base_thin_cap_10weeks_myopic,MWh,102754
USENSYS,BASN,BASN_batteries_1_discharger,Battery,2050,base_thin_cap_10weeks_myopic,MWh,89841
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,base_thin_cap_10weeks_myopic,MWh,2488003
USENSYS,BASN,BASN_battery_moderate_0_charger,Battery,2050,base_thin_cap_10weeks_myopic,MWh,342367
USENSYS,BASN,BASN_battery_moderate_0_discharger,Battery,2050,base_thin_cap_10weeks_myopic,MWh,314982
USENSYS,BASN,BASN_biomass_1,Biomass,2030,base_thin_cap_10weeks_myopic,MWh,29418
USENSYS,BASN,BASN_biomass_1,Biomass,2040,base_thin_cap_10weeks_myopic,MWh,20150
USENSYS,BASN,BASN_biomass_1,Biomass,2050,base_thin_cap_10weeks_myopic,MWh,12576
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base_thin_cap_10weeks_myopic,MWh,1734278
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,base_thin_cap_10weeks_myopic,MWh,755279
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,base_thin_cap_10weeks_myopic,MWh,629180
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,base_thin_cap_10weeks_myopic,MWh,7803
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,base_thin_cap_10weeks_myopic,MWh,810
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base_thin_cap_10weeks_myopic,MWh,744458
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,base_thin_cap_10weeks_myopic,MWh,503795
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,base_thin_cap_10weeks_myopic,MWh,500767
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,base_thin_cap_10weeks_myopic,MWh,727440
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,base_thin_cap_10weeks_myopic,MWh,482160
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,base_thin_cap_10weeks_myopic,MWh,94080
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base_thin_cap_10weeks_myopic,MWh,16052358
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,base_thin_cap_10weeks_myopic,MWh,9621168
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,base_thin_cap_10weeks_myopic,MWh,13136644
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base_thin_cap_10weeks_myopic,MWh,1741631
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,base_thin_cap_10weeks_myopic,MWh,934019
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,base_thin_cap_10weeks_myopic,MWh,377348
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2030,base_thin_cap_10weeks_myopic,MWh,5370
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,base_thin_cap_10weeks_myopic,MWh,33239
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,base_thin_cap_10weeks_myopic,MWh,14135
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base_thin_cap_10weeks_myopic,MWh,2431
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2040,base_thin_cap_10weeks_myopic,MWh,6784
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2050,base_thin_cap_10weeks_myopic,MWh,2642
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base_thin_cap_10weeks_myopic,MWh,145
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2040,base_thin_cap_10weeks_myopic,MWh,175
USENSYS,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,base_thin_cap_10weeks_myopic,MWh,3786257
USENSYS,BASN,BASN_naturalgas_ccavgcf_moderate_0,Natural Gas,2050,base_thin_cap_10weeks_myopic,MWh,5392064
USENSYS,BASN,BASN_naturalgas_ctavgcf_moderate_0,Natural Gas,2050,base_thin_cap_10weeks_myopic,MWh,3166
