model,line_name,planning_year,case,unit,start_value,end_value
USENSYS,CANO_to_NWPP,2030,base_thin_cap_10weeks_myopic,MW,3675,7595
USENSYS,CASO_to_NWPP,2030,base_thin_cap_10weeks_myopic,MW,2858,4480
USENSYS,ISNE_to_NYUP,2030,base_thin_cap_10weeks_myopic,MW,1400,1836
USENSYS,MISC_to_MISE,2030,base_thin_cap_10weeks_myopic,MW,0,907
USENSYS,MISC_to_SPPC,2030,base_thin_cap_10weeks_myopic,MW,1430,4168
USENSYS,MISC_to_SPPS,2030,base_thin_cap_10weeks_myopic,MW,1172,3678
USENSYS,MISS_to_SPPC,2030,base_thin_cap_10weeks_myopic,MW,0,1418
USENSYS,MISS_to_SPPS,2030,base_thin_cap_10weeks_myopic,MW,1697,7447
USENSYS,MISW_to_PJMC,2030,base_thin_cap_10weeks_myopic,MW,3200,3655
USENSYS,NWPP_to_RMRG,2030,base_thin_cap_10weeks_myopic,MW,400,2161
USENSYS,NYCW_to_PJME,2030,base_thin_cap_10weeks_myopic,MW,660,2091
USENSYS,NYUP_to_PJME,2030,base_thin_cap_10weeks_myopic,MW,1255,9341
USENSYS,PJMC_to_PJMW,2030,base_thin_cap_10weeks_myopic,MW,980,5051
USENSYS,PJMD_to_PJME,2030,base_thin_cap_10weeks_myopic,MW,1200,5614
USENSYS,RMRG_to_SPPC,2030,base_thin_cap_10weeks_myopic,MW,210,4373
USENSYS,RMRG_to_SPPN,2030,base_thin_cap_10weeks_myopic,MW,410,2811
USENSYS,SPPC_to_SPPN,2030,base_thin_cap_10weeks_myopic,MW,1433,5611
USENSYS,SPPC_to_SPPS,2030,base_thin_cap_10weeks_myopic,MW,3372,8232
USENSYS,SPPN_to_SPPS,2030,base_thin_cap_10weeks_myopic,MW,0,3218
USENSYS,SPPS_to_SRSG,2030,base_thin_cap_10weeks_myopic,MW,1010,1372
USENSYS,SPPS_to_TRE,2030,base_thin_cap_10weeks_myopic,MW,600,7115
USENSYS,SPPS_to_TRE_WEST,2030,base_thin_cap_10weeks_myopic,MW,220,7951
USENSYS,SRSG_to_TRE,2030,base_thin_cap_10weeks_myopic,MW,0,1223
USENSYS,CASO_to_SRSG,2040,base_thin_cap_10weeks_myopic,MW,4354,4723
USENSYS,ISNE_to_NYUP,2040,base_thin_cap_10weeks_myopic,MW,1836,5167
USENSYS,MISC_to_MISE,2040,base_thin_cap_10weeks_myopic,MW,907,1486
USENSYS,MISC_to_SPPC,2040,base_thin_cap_10weeks_myopic,MW,4169,5491
USENSYS,MISC_to_SPPS,2040,base_thin_cap_10weeks_myopic,MW,3678,4880
USENSYS,MISS_to_SPPC,2040,base_thin_cap_10weeks_myopic,MW,1418,1505
USENSYS,MISS_to_SPPS,2040,base_thin_cap_10weeks_myopic,MW,7447,12068
USENSYS,MISW_to_PJMC,2040,base_thin_cap_10weeks_myopic,MW,3655,7093
USENSYS,NYCW_to_PJME,2040,base_thin_cap_10weeks_myopic,MW,2090,4441
USENSYS,NYUP_to_PJME,2040,base_thin_cap_10weeks_myopic,MW,9341,12550
USENSYS,PJMC_to_PJMW,2040,base_thin_cap_10weeks_myopic,MW,5051,6834
USENSYS,PJMW_to_SRCE,2040,base_thin_cap_10weeks_myopic,MW,3333,5189
USENSYS,RMRG_to_SPPC,2040,base_thin_cap_10weeks_myopic,MW,4373,6633
USENSYS,RMRG_to_SPPN,2040,base_thin_cap_10weeks_myopic,MW,2811,3509
USENSYS,RMRG_to_SRSG,2040,base_thin_cap_10weeks_myopic,MW,614,1819
USENSYS,SPPC_to_SPPN,2040,base_thin_cap_10weeks_myopic,MW,5611,6183
USENSYS,SPPC_to_SPPS,2040,base_thin_cap_10weeks_myopic,MW,8232,9218
USENSYS,SPPN_to_SPPS,2040,base_thin_cap_10weeks_myopic,MW,3218,4756
USENSYS,SPPS_to_TRE,2040,base_thin_cap_10weeks_myopic,MW,7115,10000
USENSYS,SPPS_to_TRE_WEST,2040,base_thin_cap_10weeks_myopic,MW,7951,10000
USENSYS,SRSG_to_TRE,2040,base_thin_cap_10weeks_myopic,MW,1222,1688
USENSYS,CASO_to_SRSG,2050,base_thin_cap_10weeks_myopic,MW,4723,6390
USENSYS,MISC_to_SPPC,2050,base_thin_cap_10weeks_myopic,MW,5491,7256
USENSYS,MISS_to_SPPC,2050,base_thin_cap_10weeks_myopic,MW,1506,2345
USENSYS,MISS_to_SPPS,2050,base_thin_cap_10weeks_myopic,MW,12068,16970
USENSYS,NYCW_to_PJME,2050,base_thin_cap_10weeks_myopic,MW,4442,4974
USENSYS,PJMC_to_PJMW,2050,base_thin_cap_10weeks_myopic,MW,6834,9656
USENSYS,PJMD_to_PJME,2050,base_thin_cap_10weeks_myopic,MW,5614,6326
USENSYS,PJME_to_PJMW,2050,base_thin_cap_10weeks_myopic,MW,3885,4581
USENSYS,RMRG_to_SRSG,2050,base_thin_cap_10weeks_myopic,MW,1819,3022
USENSYS,SRSG_to_TRE,2050,base_thin_cap_10weeks_myopic,MW,1688,1764
