model,zone,resource_name,tech_type,planning_year,case,unit,value
USENSYS,BASN,BASN_batteries_1,Battery,2030,base-8760-perfect foresight-cheap transmission,MWh,367493
USENSYS,BASN,BASN_batteries_1,Battery,2040,base-8760-perfect foresight-cheap transmission,MWh,399552
USENSYS,BASN,BASN_batteries_1,Battery,2050,base-8760-perfect foresight-cheap transmission,MWh,308975
USENSYS,BASN,BASN_battery_moderate_0,Battery,2040,base-8760-perfect foresight-cheap transmission,MWh,3561601
USENSYS,BASN,BASN_battery_moderate_0,Battery,2050,base-8760-perfect foresight-cheap transmission,MWh,19899738
USENSYS,BASN,BASN_biomass_1,Biomass,2030,base-8760-perfect foresight-cheap transmission,MWh,165257
USENSYS,BASN,BASN_biomass_1,Biomass,2040,base-8760-perfect foresight-cheap transmission,MWh,118219
USENSYS,BASN,BASN_biomass_1,Biomass,2050,base-8760-perfect foresight-cheap transmission,MWh,70100
USENSYS,BASN,BASN_biomass_2,Biomass,2030,base-8760-perfect foresight-cheap transmission,MWh,63233
USENSYS,BASN,BASN_biomass_2,Biomass,2040,base-8760-perfect foresight-cheap transmission,MWh,54127
USENSYS,BASN,BASN_biomass_2,Biomass,2050,base-8760-perfect foresight-cheap transmission,MWh,29334
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2030,base-8760-perfect foresight-cheap transmission,MWh,22478160
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2040,base-8760-perfect foresight-cheap transmission,MWh,15540240
USENSYS,BASN,BASN_conventional_hydroelectric_1,Hydro,2050,base-8760-perfect foresight-cheap transmission,MWh,12947280
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2030,base-8760-perfect foresight-cheap transmission,MWh,24907808
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2040,base-8760-perfect foresight-cheap transmission,MWh,15604666
USENSYS,BASN,BASN_conventional_steam_coal_1,Coal,2050,base-8760-perfect foresight-cheap transmission,MWh,327571
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2030,base-8760-perfect foresight-cheap transmission,MWh,387147
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2040,base-8760-perfect foresight-cheap transmission,MWh,359189
USENSYS,BASN,BASN_conventional_steam_coal_2,Coal,2050,base-8760-perfect foresight-cheap transmission,MWh,1509044
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2030,base-8760-perfect foresight-cheap transmission,MWh,3882200
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2040,base-8760-perfect foresight-cheap transmission,MWh,4555160
USENSYS,BASN,BASN_distributed_generation_1,Distributed Solar,2050,base-8760-perfect foresight-cheap transmission,MWh,4564013
USENSYS,BASN,BASN_geothermal_1,Geothermal,2030,base-8760-perfect foresight-cheap transmission,MWh,3793080
USENSYS,BASN,BASN_geothermal_1,Geothermal,2040,base-8760-perfect foresight-cheap transmission,MWh,2514120
USENSYS,BASN,BASN_geothermal_1,Geothermal,2050,base-8760-perfect foresight-cheap transmission,MWh,490560
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2040,base-8760-perfect foresight-cheap transmission,MWh,21103462
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2050,base-8760-perfect foresight-cheap transmission,MWh,21103462
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2030,base-8760-perfect foresight-cheap transmission,MWh,12080836
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2040,base-8760-perfect foresight-cheap transmission,MWh,12080836
USENSYS,BASN,BASN_landbasedwind_class3_moderate_1,Wind,2050,base-8760-perfect foresight-cheap transmission,MWh,12080843
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2030,base-8760-perfect foresight-cheap transmission,MWh,11309877
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2040,base-8760-perfect foresight-cheap transmission,MWh,10949964
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2050,base-8760-perfect foresight-cheap transmission,MWh,9709170
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2030,base-8760-perfect foresight-cheap transmission,MWh,42082
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2040,base-8760-perfect foresight-cheap transmission,MWh,281256
USENSYS,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2050,base-8760-perfect foresight-cheap transmission,MWh,251025
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,base-8760-perfect foresight-cheap transmission,MWh,80722
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2050,base-8760-perfect foresight-cheap transmission,MWh,118957
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2040,base-8760-perfect foresight-cheap transmission,MWh,11922
USENSYS,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2050,base-8760-perfect foresight-cheap transmission,MWh,16989
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2030,base-8760-perfect foresight-cheap transmission,MWh,709
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2040,base-8760-perfect foresight-cheap transmission,MWh,58830
USENSYS,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2050,base-8760-perfect foresight-cheap transmission,MWh,54374
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2030,base-8760-perfect foresight-cheap transmission,MWh,463
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2040,base-8760-perfect foresight-cheap transmission,MWh,2584
USENSYS,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2050,base-8760-perfect foresight-cheap transmission,MWh,2550
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2030,base-8760-perfect foresight-cheap transmission,MWh,4602536
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2040,base-8760-perfect foresight-cheap transmission,MWh,3296464
USENSYS,BASN,BASN_onshore_wind_turbine_1,Wind,2050,base-8760-perfect foresight-cheap transmission,MWh,1178896
USENSYS,BASN,BASN_petroleum_liquids_1,Other,2040,base-8760-perfect foresight-cheap transmission,MWh,84
USENSYS,BASN,BASN_petroleum_liquids_1,Other,2050,base-8760-perfect foresight-cheap transmission,MWh,167
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2030,base-8760-perfect foresight-cheap transmission,MWh,1550520
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2040,base-8760-perfect foresight-cheap transmission,MWh,1445400
USENSYS,BASN,BASN_small_hydroelectric_1,Hydro,2050,base-8760-perfect foresight-cheap transmission,MWh,1252680
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2030,base-8760-perfect foresight-cheap transmission,MWh,17113434
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2040,base-8760-perfect foresight-cheap transmission,MWh,16957245
USENSYS,BASN,BASN_solar_photovoltaic_1,Solar,2050,base-8760-perfect foresight-cheap transmission,MWh,9148243
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2040,base-8760-perfect foresight-cheap transmission,MWh,49132581
USENSYS,BASN,BASN_utilitypv_class1_moderate_0,Solar,2050,base-8760-perfect foresight-cheap transmission,MWh,113726681
