Region,Resource,Zone,Cluster,AnnualSum
BASN,BASN_biomass_1,1,1,1.3760558656075712e7
BASN,BASN_conventional_hydroelectric_1,1,1,5.141985464421266e8
BASN,BASN_conventional_steam_coal_1,1,1,9.4561866465801e7
BASN,BASN_geothermal_1,1,1,4.816195312071187e7
BASN,BASN_natural_gas_fired_combined_cycle_1,1,1,3.099626101556594e9
BASN,BASN_natural_gas_fired_combustion_turbine_1,1,1,6.408931086656473e8
BASN,BASN_natural_gas_internal_combustion_engine_1,1,1,7.196550328979075e7
BASN,BASN_onshore_wind_turbine_1,1,1,5.255810483551213e7
BASN,BASN_small_hydroelectric_1,1,1,1.2298499298867677e8
BASN,BASN_solar_photovoltaic_1,1,1,4.8116291974734676e8
CANO,CANO_biomass_1,2,1,4.3146404253999196e7
CANO,CANO_conventional_hydroelectric_1,2,1,1.7554399292402413e9
CANO,CANO_hydroelectric_pumped_storage_1,2,1,8.125931982601197e8
CANO,CANO_natural_gas_fired_combined_cycle_1,2,1,3.447407501349167e9
CANO,CANO_natural_gas_fired_combustion_turbine_1,2,1,4.2530489660297084e8
CANO,CANO_natural_gas_internal_combustion_engine_1,2,1,7.09760023292137e7
CANO,CANO_natural_gas_steam_turbine_1,2,1,499018.8259833335
CANO,CANO_onshore_wind_turbine_1,2,1,1.362034053633349e7
CANO,CANO_petroleum_liquids_1,2,1,2.114000256394264e7
CANO,CANO_small_hydroelectric_1,2,1,1.4760611981631318e8
CANO,CANO_solar_photovoltaic_1,2,1,2.2962640303727195e8
CASO,CASO_biomass_1,3,1,4.26400397411702e7
CASO,CASO_conventional_hydroelectric_1,3,1,1.8785119008942097e8
CASO,CASO_geothermal_1,3,1,1.5505465646907587e7
CASO,CASO_hydroelectric_pumped_storage_1,3,1,4.191286773654734e8
CASO,CASO_natural_gas_fired_combined_cycle_1,3,1,2.025241399668075e9
CASO,CASO_natural_gas_fired_combustion_turbine_1,3,1,4.503236965696167e7
CASO,CASO_natural_gas_internal_combustion_engine_1,3,1,1.726819826303134e6
CASO,CASO_onshore_wind_turbine_1,3,1,1.1535727308303249e8
CASO,CASO_petroleum_liquids_1,3,1,2.3846335104145977
CASO,CASO_small_hydroelectric_1,3,1,4.651640699036753e7
CASO,CASO_solar_photovoltaic_1,3,1,5.871320295942796e8
FRCC,FRCC_biomass_1,4,1,5.509513679339075e7
FRCC,FRCC_conventional_hydroelectric_1,4,1,8.98086616375701e6
FRCC,FRCC_conventional_steam_coal_1,4,1,5.743647228010332
FRCC,FRCC_natural_gas_fired_combined_cycle_1,4,1,3.8147395146046796e9
FRCC,FRCC_natural_gas_fired_combustion_turbine_1,4,1,12.59076044401171
FRCC,FRCC_natural_gas_internal_combustion_engine_1,4,1,33.314154274590365
FRCC,FRCC_natural_gas_steam_turbine_1,4,1,12.445348332215266
FRCC,FRCC_nuclear_1,4,1,2.2083931029459076e9
FRCC,FRCC_petroleum_liquids_1,4,1,1.9843085141325025
FRCC,FRCC_solar_photovoltaic_1,4,1,3.299012183170046e8
ISNE,ISNE_biomass_1,5,1,1.8161939328919027e7
ISNE,ISNE_conventional_hydroelectric_1,5,1,1.2266649177181691e8
ISNE,ISNE_hydroelectric_pumped_storage_1,5,1,3.788641309012844e8
ISNE,ISNE_natural_gas_fired_combined_cycle_1,5,1,2.2634199043423944e9
ISNE,ISNE_natural_gas_fired_combustion_turbine_1,5,1,2.3260189116587746e8
ISNE,ISNE_natural_gas_internal_combustion_engine_1,5,1,7.719218427196245e6
ISNE,ISNE_natural_gas_steam_turbine_1,5,1,1.448702978061362e6
ISNE,ISNE_nuclear_1,5,1,1.9461517589944801e9
ISNE,ISNE_onshore_wind_turbine_1,5,1,1.5376616671141319e6
ISNE,ISNE_petroleum_liquids_1,5,1,4.871113913089447e7
ISNE,ISNE_small_hydroelectric_1,5,1,1.160020641008378e8
ISNE,ISNE_solar_photovoltaic_1,5,1,7.722752756990187e7
MISC,MISC_biomass_1,6,1,3.1831100991969656e7
MISC,MISC_conventional_hydroelectric_1,6,1,7.089029597991818e7
MISC,MISC_conventional_steam_coal_1,6,1,4.8673448654240465e8
MISC,MISC_hydroelectric_pumped_storage_1,6,1,1.6853845914667103e8
MISC,MISC_natural_gas_fired_combined_cycle_1,6,1,1.473829650898875e9
MISC,MISC_natural_gas_fired_combustion_turbine_1,6,1,1.1963388182721384e9
MISC,MISC_natural_gas_internal_combustion_engine_1,6,1,8.582508507972704e6
MISC,MISC_natural_gas_steam_turbine_1,6,1,1.1986172472029664e7
MISC,MISC_nuclear_1,6,1,1.3901062435309515e9
MISC,MISC_onshore_wind_turbine_1,6,1,6.646453960718393e7
