model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
GenX,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,greenfield,MW,0,0.395526
GenX,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,greenfield,MW,0,44592.1
GenX,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,greenfield,MW,0,27100.6
GenX,ERCOT,ERCOT_battery_moderate_0,Battery,2040,greenfield,MW,0,1185.12
GenX,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,greenfield,MW,0,0.138837
GenX,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,greenfield,MW,0,40003.3
GenX,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,greenfield,MW,0,39895.5
GenX,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,greenfield,MW,0,13.6625
GenX,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,greenfield,MW,0,15829
GenX,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,greenfield,MW,0,0.566066
GenX,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,greenfield,MW,0,0.58529
GenX,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,greenfield,MW,0,33361.1
GenX,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,greenfield,MW,0,6966.83
GenX,ERCOT,ERCOT_utilitypv_class1_moderate_3,Solar,2040,greenfield,MW,0,1.50273
GenX,ERCOT,ERCOT_utilitypv_class1_moderate_4,Solar,2040,greenfield,MW,0,1.51788
GenX,ERCOT,ERCOT_utilitypv_class1_moderate_5,Solar,2040,greenfield,MW,0,0.682823
GenX,ERCOT,ERCOT_utilitypv_class1_moderate_6,Solar,2040,greenfield,MW,0,0.841788
GenX,Eastern,Eastern_naturalgas_ccccsavgcf_conservative_0,CCS,2040,greenfield,MW,0,0.459664
GenX,Eastern,Eastern_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,greenfield,MW,0,351219
GenX,Eastern,Eastern_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,greenfield,MW,0,140318
GenX,Eastern,Eastern_battery_moderate_0,Battery,2040,greenfield,MW,0,32630.2
GenX,Eastern,Eastern_nuclear_nuclear_moderate_0,Nuclear,2040,greenfield,MW,0,0.125713
GenX,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,greenfield,MW,0,134340
GenX,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,greenfield,MW,0,134211
GenX,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,greenfield,MW,0,33853.4
GenX,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,greenfield,MW,0,134184
GenX,Eastern,Eastern_landbasedwind_class3_moderate_5,Wind,2040,greenfield,MW,0,0.664258
GenX,Eastern,Eastern_landbasedwind_class3_moderate_6,Wind,2040,greenfield,MW,0,0.380447
GenX,Eastern,Eastern_utilitypv_class1_moderate_1,Solar,2040,greenfield,MW,0,4.73839
GenX,Eastern,Eastern_utilitypv_class1_moderate_2,Solar,2040,greenfield,MW,0,238303
GenX,Eastern,Eastern_utilitypv_class1_moderate_3,Solar,2040,greenfield,MW,0,0.947849
GenX,Eastern,Eastern_utilitypv_class1_moderate_4,Solar,2040,greenfield,MW,0,0.717521
GenX,Eastern,Eastern_utilitypv_class1_moderate_5,Solar,2040,greenfield,MW,0,0.502797
GenX,Eastern,Eastern_utilitypv_class1_moderate_6,Solar,2040,greenfield,MW,0,0.514227
GenX,Eastern,Eastern_offshorewind_class3_moderate_fixed_1_1,Wind,2040,greenfield,MW,0,0.127671
GenX,Eastern,Eastern_offshorewind_class3_moderate_fixed_1_2,Wind,2040,greenfield,MW,0,0.0852852
GenX,Eastern,Eastern_offshorewind_class12_moderate_floating_1_1,Wind,2040,greenfield,MW,0,0.070108
GenX,Eastern,Eastern_offshorewind_class12_moderate_floating_1_2,Wind,2040,greenfield,MW,0,0.0659882
GenX,Western,Western_naturalgas_ccccsavgcf_conservative_0,CCS,2040,greenfield,MW,0,0.417061
GenX,Western,Western_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,greenfield,MW,0,55198.5
GenX,Western,Western_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,greenfield,MW,0,39507.3
GenX,Western,Western_battery_moderate_0,Battery,2040,greenfield,MW,0,45349.2
