case,value,model,zone,resource_name,tech_type,planning_year,timestep,unit
cap_only,2928537.252243283,SWITCH,ERCOT,ERCOT_batteries_1,Battery,2040,all,MWh
existing_only,1405080.7481406925,SWITCH,ERCOT,ERCOT_batteries_1,Battery,2040,all,MWh
no_tx,2788850.706541329,SWITCH,ERCOT,ERCOT_batteries_1,Battery,2040,all,MWh
single_zone,2699256.422472886,SWITCH,ERCOT,ERCOT_batteries_1,Battery,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_battery_moderate_0,Battery,2040,all,MWh
greenfield,8538212.228912747,SWITCH,ERCOT,ERCOT_battery_moderate_0,Battery,2040,all,MWh
no_tx,5.968558980384842e-13,SWITCH,ERCOT,ERCOT_battery_moderate_0,Battery,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_battery_moderate_0,Battery,2040,all,MWh
existing_only,423684260.49695045,SWITCH,ERCOT,ERCOT_coal_ccs90avgcf_moderate_1,CCS,2040,all,MWh
cap_only,445305.1140995972,SWITCH,ERCOT,ERCOT_conventional_hydroelectric_1,Hydro,2040,all,MWh
existing_only,445305.1140996182,SWITCH,ERCOT,ERCOT_conventional_hydroelectric_1,Hydro,2040,all,MWh
no_battery,445305.1140995951,SWITCH,ERCOT,ERCOT_conventional_hydroelectric_1,Hydro,2040,all,MWh
no_tx,445305.11409959197,SWITCH,ERCOT,ERCOT_conventional_hydroelectric_1,Hydro,2040,all,MWh
no_tx_battery,445305.11409959005,SWITCH,ERCOT,ERCOT_conventional_hydroelectric_1,Hydro,2040,all,MWh
single_zone,445305.1140995983,SWITCH,ERCOT,ERCOT_conventional_hydroelectric_1,Hydro,2040,all,MWh
cap_only,6980928.6442146115,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
existing_only,0.0,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
no_battery,6371471.26274054,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
no_tx,5097615.11518483,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
no_tx_battery,3435112.3263131324,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
no_tx_battery_hydro,3206970.4670931846,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
single_zone,3087520.9170101085,SWITCH,ERCOT,ERCOT_conventional_steam_coal_1,Coal,2040,all,MWh
cap_only,127022226.60195628,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
greenfield,154111456.3108887,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_battery,104655592.77939644,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
single_zone,155293671.28982764,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
cap_only,158595811.4086408,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
greenfield,152698113.68769643,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_battery,169887434.29175,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_tx,163535510.3944979,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_tx_battery,162549411.9719051,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_tx_battery_hydro,162369239.3005551,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
single_zone,170910617.63131446,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
single_zone,134814561.29676354,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
greenfield,21547629.461600848,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_tx,10522424.796095597,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_tx_battery,11329130.79758758,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_tx_battery_hydro,19012519.922543917,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
single_zone,149922579.15307698,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_5,Wind,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
single_zone,134083193.70350501,SWITCH,ERCOT,ERCOT_landbasedwind_class3_moderate_6,Wind,2040,all,MWh
cap_only,97127620.17902863,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
existing_only,45684842.02174629,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
no_battery,95034991.52778971,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
no_tx,112609897.94768947,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
no_tx_battery,96769839.96030664,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
no_tx_battery_hydro,90481082.04500058,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
single_zone,33485630.475956813,SWITCH,ERCOT,ERCOT_natural_gas_fired_combined_cycle_1,Natural Gas,2040,all,MWh
cap_only,124751.74068352075,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
existing_only,21260.08971138895,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
no_battery,163111.28459552463,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
no_tx,718620.792260981,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
no_tx_battery,560137.7034030244,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
no_tx_battery_hydro,529828.5617958874,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
single_zone,33337.95681489251,SWITCH,ERCOT,ERCOT_natural_gas_fired_combustion_turbine_1,Natural Gas,2040,all,MWh
cap_only,38585.24556858384,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
existing_only,0.0,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
no_battery,46534.125896705766,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
no_tx,107954.8494412278,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
no_tx_battery,91219.69115642452,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
no_tx_battery_hydro,79936.1542292445,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
single_zone,10598.702210992731,SWITCH,ERCOT,ERCOT_natural_gas_steam_turbine_1,Natural Gas,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
greenfield,105162251.28077188,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
no_tx,31162618.51155396,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
no_tx_battery,52238527.27700515,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
no_tx_battery_hydro,47281931.66373448,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccavgcf_moderate_0,Natural Gas,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ccccsavgcf_conservative_0,CCS,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
greenfield,1296760.2368240887,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_naturalgas_ctavgcf_moderate_0,Natural Gas,2040,all,MWh
cap_only,33203564.815217108,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
existing_only,43057152.0,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
no_battery,33784576.7446496,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
no_tx,31421346.235565215,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
no_tx_battery,31310555.217541937,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
no_tx_battery_hydro,29811616.042655382,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
single_zone,38770271.18610858,SWITCH,ERCOT,ERCOT_nuclear_1,Nuclear,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_nuclear_nuclear_moderate_0,Nuclear,2040,all,MWh
cap_only,100722798.49831271,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
existing_only,100722798.49831271,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
no_battery,100722798.49831271,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
no_tx,100722713.96956919,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
no_tx_battery,100722221.49618483,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
no_tx_battery_hydro,100722798.49831271,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
single_zone,100722798.49831271,SWITCH,ERCOT,ERCOT_onshore_wind_turbine_1,Wind,2040,all,MWh
cap_only,37100438.62614403,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
existing_only,37100438.62614403,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
no_battery,37100312.73057833,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
no_tx,37100365.30180451,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
no_tx_battery,37100094.684020825,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
no_tx_battery_hydro,37100438.62614403,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
single_zone,37100438.62614403,SWITCH,ERCOT,ERCOT_solar_photovoltaic_1,Solar,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
no_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
no_tx,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
no_tx_battery,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
single_zone,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_1,Solar,2040,all,MWh
cap_only,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
greenfield,0.0,SWITCH,ERCOT,ERCOT_utilitypv_class1_moderate_2,Solar,2040,all,MWh
