model,zone,planning_year,case,unit,value
SWITCH,ERCOT,2040,cap_only,tons,48395035.17
SWITCH,ERCOT,2040,existing_only,tons,58387539.56
SWITCH,ERCOT,2040,greenfield,tons,36157016.85
SWITCH,ERCOT,2040,no_battery,tons,46891179.86
SWITCH,ERCOT,2040,no_tx,tons,63807791.13
SWITCH,ERCOT,2040,no_tx_battery,tons,62373118.34
SWITCH,ERCOT,2040,no_tx_battery_hydro,tons,57787384.93
SWITCH,ERCOT,2040,single_zone,tons,17407254.93
SWITCH,Eastern,2040,cap_only,tons,511975668.7
SWITCH,Eastern,2040,existing_only,tons,549737696.7
SWITCH,Eastern,2040,greenfield,tons,595550389.9
SWITCH,Eastern,2040,no_battery,tons,516416975
SWITCH,Eastern,2040,no_tx,tons,465224650.2
SWITCH,Eastern,2040,no_tx_battery,tons,460741033.4
SWITCH,Eastern,2040,no_tx_battery_hydro,tons,458875588.5
SWITCH,Eastern,2040,single_zone,tons,605867401.4
SWITCH,Western,2040,cap_only,tons,139629296.1
SWITCH,Western,2040,existing_only,tons,91874763.73
SWITCH,Western,2040,greenfield,tons,68292593.3
SWITCH,Western,2040,no_battery,tons,136691845.2
SWITCH,Western,2040,no_tx,tons,170967558.6
SWITCH,Western,2040,no_tx_battery,tons,176885848.3
SWITCH,Western,2040,no_tx_battery_hydro,tons,183337026.6
SWITCH,Western,2040,single_zone,tons,76725343.63
SWITCH,ERCOT,2050,cap_only,tons,18029775.36
SWITCH,ERCOT,2050,greenfield,tons,22746906.03
SWITCH,ERCOT,2050,no_battery,tons,29522222.78
SWITCH,ERCOT,2050,no_tx,tons,38382552.86
SWITCH,ERCOT,2050,no_tx_battery,tons,40806252.46
SWITCH,ERCOT,2050,no_tx_battery_hydro,tons,33682594.65
SWITCH,ERCOT,2050,single_zone,tons,13893720.6
SWITCH,Eastern,2050,cap_only,tons,252313902.4
SWITCH,Eastern,2050,greenfield,tons,242425807.8
SWITCH,Eastern,2050,no_battery,tons,228718191.6
SWITCH,Eastern,2050,no_tx,tons,221137872.2
SWITCH,Eastern,2050,no_tx_battery,tons,205333832.6
SWITCH,Eastern,2050,no_tx_battery_hydro,tons,197737195.1
SWITCH,Eastern,2050,single_zone,tons,267807267.7
SWITCH,Western,2050,cap_only,tons,29656322.2
SWITCH,Western,2050,greenfield,tons,34827286.16
SWITCH,Western,2050,no_battery,tons,41759585.59
SWITCH,Western,2050,no_tx,tons,40479574.93
SWITCH,Western,2050,no_tx_battery,tons,53859914.9
SWITCH,Western,2050,no_tx_battery_hydro,tons,68580210.24
SWITCH,Western,2050,single_zone,tons,18299011.68
