model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
TEMOA,Eastern,utilitypv_class1_moderate_1,Solar,2040,cap_only,MW,0,15.9106
TEMOA,Eastern,landbasedwind_class3_moderate_4,Wind,2040,cap_only,MW,0,10659.2
TEMOA,Western,natural_gas_fired_combined_cycle_1,Natural Gas,2040,cap_only,MW,51845.4,51845.4
TEMOA,ERCOT,batteries_1,Battery,2040,cap_only,MW,4452.43,4452.43
TEMOA,Western,utilitypv_class1_moderate_2,Solar,2040,cap_only,MW,0,5.95672
TEMOA,Eastern,landbasedwind_class3_moderate_3,Wind,2040,cap_only,MW,0,3.12467
TEMOA,Eastern,utilitypv_class1_moderate_2,Solar,2040,cap_only,MW,0,211405
TEMOA,Eastern,hydroelectric_pumped_storage_1,Hydro,2040,cap_only,MW,17783.1,17783.1
TEMOA,ERCOT,natural_gas_fired_combustion_turbine_1,Natural Gas,2040,cap_only,MW,9466.45,9466.45
TEMOA,Western,landbasedwind_class3_moderate_2,Wind,2040,cap_only,MW,0,57612.7
TEMOA,Western,onshore_wind_turbine_1,Wind,2040,cap_only,MW,32293.5,32293.5
TEMOA,Western,battery_moderate_0_2hour,Battery,2040,cap_only,MW,0,1.10085
TEMOA,ERCOT,conventional_steam_coal_1,Coal,2040,cap_only,MW,11290.6,11290.6
TEMOA,ERCOT,landbasedwind_class3_moderate_1,Wind,2040,cap_only,MW,0,39167.6
TEMOA,ERCOT,nuclear_1,Nuclear,2040,cap_only,MW,5120,5120
TEMOA,Eastern,landbasedwind_class3_moderate_2,Wind,2040,cap_only,MW,0,134211
TEMOA,Eastern,onshore_wind_turbine_1,Wind,2040,cap_only,MW,76898.2,76898.2
TEMOA,Western,hydroelectric_pumped_storage_1,Hydro,2040,cap_only,MW,5052.98,5052.98
TEMOA,Eastern,battery_moderate_0_2hour,Battery,2040,cap_only,MW,0,1.09742
TEMOA,ERCOT,conventional_hydroelectric_1,Hydro,2040,cap_only,MW,539.106,539.106
TEMOA,ERCOT,landbasedwind_class3_moderate_4,Wind,2040,cap_only,MW,0,1.07867
TEMOA,Western,batteries_1,Battery,2040,cap_only,MW,13164.5,13164.5
TEMOA,Eastern,conventional_steam_coal_1,Coal,2040,cap_only,MW,122909,122909
TEMOA,ERCOT,solar_photovoltaic_1,Solar,2040,cap_only,MW,21379.4,21379.4
TEMOA,ERCOT,natural_gas_fired_combined_cycle_1,Natural Gas,2040,cap_only,MW,40479.4,40479.4
TEMOA,Eastern,nuclear_1,Nuclear,2040,cap_only,MW,82406.6,82406.6
TEMOA,Eastern,batteries_1,Battery,2040,cap_only,MW,1931.74,1931.75
TEMOA,ERCOT,landbasedwind_class3_moderate_3,Wind,2040,cap_only,MW,0,1.81275
TEMOA,ERCOT,utilitypv_class1_moderate_2,Solar,2040,cap_only,MW,0,16.1629
TEMOA,Western,natural_gas_fired_combustion_turbine_1,Natural Gas,2040,cap_only,MW,23175.9,23175.9
TEMOA,ERCOT,natural_gas_steam_turbine_1,Natural Gas,2040,cap_only,MW,8363.19,8363.19
TEMOA,Western,geothermal_1,Geothermal,2040,cap_only,MW,3135.08,3135.08
TEMOA,ERCOT,utilitypv_class1_moderate_1,Solar,2040,cap_only,MW,0,8748.3
TEMOA,Western,conventional_steam_coal_1,Coal,2040,cap_only,MW,13567.2,13567.2
TEMOA,Eastern,conventional_hydroelectric_1,Hydro,2040,cap_only,MW,28553.6,28553.6
TEMOA,Eastern,natural_gas_fired_combustion_turbine_1,Natural Gas,2040,cap_only,MW,113414,113414
TEMOA,Western,nuclear_1,Nuclear,2040,cap_only,MW,5175,5175
TEMOA,Western,solar_photovoltaic_1,Solar,2040,cap_only,MW,38111.5,38111.5
