model,line,line_name,planning_year,case,unit,start_value,end_value
TEMOA,1,ERCOT_to_Eastern,2040,cap_only,MW,820,25042.9
TEMOA,2,Eastern_to_Western,2040,cap_only,MW,820,11898.5
TEMOA,3,Western_to_ERCOT,2040,cap_only,MW,0,10000
TEMOA,1,ERCOT_to_Eastern,2050,cap_only,MW,820,30754
TEMOA,2,Eastern_to_Western,2050,cap_only,MW,820,56847.5
TEMOA,3,Western_to_ERCOT,2050,cap_only,MW,0,10000
TEMOA,1,ERCOT_to_Eastern,2040,single_zone,MW,820,1.00008e+07
TEMOA,2,Eastern_to_Western,2040,single_zone,MW,820,1.00008e+07
TEMOA,3,Western_to_ERCOT,2040,single_zone,MW,0,1e+07
TEMOA,1,ERCOT_to_Eastern,2050,single_zone,MW,820,1.00008e+07
TEMOA,2,Eastern_to_Western,2050,single_zone,MW,820,1.00008e+07
TEMOA,3,Western_to_ERCOT,2050,single_zone,MW,0,1e+07
TEMOA,1,ERCOT_to_Eastern,2040,greenfield,MW,820,26215.5
TEMOA,2,Eastern_to_Western,2040,greenfield,MW,820,43601.8
TEMOA,3,Western_to_ERCOT,2040,greenfield,MW,0,10000.1
TEMOA,1,ERCOT_to_Eastern,2050,greenfield,MW,820,31422.7
TEMOA,2,Eastern_to_Western,2050,greenfield,MW,820,66936.4
TEMOA,3,Western_to_ERCOT,2050,greenfield,MW,0,10000.1
TEMOA,1,ERCOT_to_Eastern,2040,existing_only,MW,820,820
TEMOA,2,Eastern_to_Western,2040,existing_only,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2050,existing_only,MW,820,820
TEMOA,2,Eastern_to_Western,2050,existing_only,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2040,no_tx_battery,MW,820,820
TEMOA,2,Eastern_to_Western,2040,no_tx_battery,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2050,no_tx_battery,MW,820,820
TEMOA,2,Eastern_to_Western,2050,no_tx_battery,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2040,no_battery,MW,820,23548.5
TEMOA,2,Eastern_to_Western,2040,no_battery,MW,820,18337.8
TEMOA,3,Western_to_ERCOT,2040,no_battery,MW,0,10000
TEMOA,1,ERCOT_to_Eastern,2050,no_battery,MW,820,30217.9
TEMOA,2,Eastern_to_Western,2050,no_battery,MW,820,71192.5
TEMOA,3,Western_to_ERCOT,2050,no_battery,MW,0,10000
TEMOA,1,ERCOT_to_Eastern,2040,no_tx,MW,820,820
TEMOA,2,Eastern_to_Western,2040,no_tx,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2050,no_tx,MW,820,820
TEMOA,2,Eastern_to_Western,2050,no_tx,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2040,no_tx_battery_hydro,MW,820,820
TEMOA,2,Eastern_to_Western,2040,no_tx_battery_hydro,MW,820,820
TEMOA,1,ERCOT_to_Eastern,2050,no_tx_battery_hydro,MW,820,820
TEMOA,2,Eastern_to_Western,2050,no_tx_battery_hydro,MW,820,820
