Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000.0,1.0,1.0,1.0,5000.0,1.0,8760.0,1.0,1,20169,16477,25449,25949,24618,27203,12474,22629,31414,36756,11510,9730,15349,13437,37074,39537,17450,11705,7694,18285,26280,26719,29550,19976,48564,2158
,,,,,,,,2,19492,15694,24240,24052,23653,25707,11891,21381,30207,34814,11070,9366,14474,12817,35069,37769,16843,10163,6650,15711,25209,25535,28184,19197,46585,2070
,,,,,,,,3,18701,14906,23022,23052,23221,24982,11440,20368,28564,33173,10870,9149,14116,12690,34391,37062,16237,9757,6373,14862,25470,24739,27377,18490,44650,1984
,,,,,,,,4,18048,14017,21648,22705,22715,24744,11245,19942,28256,31744,10596,8871,13756,12670,34203,36786,15381,9739,6327,14538,25851,24327,27111,18078,43653,1940
,,,,,,,,5,17347,12985,20048,22693,22493,24751,11107,19435,28056,29703,10372,8660,13461,12709,34357,36758,15830,9769,6330,14261,26409,24019,26935,17464,43006,1911
,,,,,,,,6,17323,12649,19528,23464,23017,24875,11170,19127,27966,29228,10409,8668,13480,13247,35379,37378,15735,9825,6358,14115,27795,24168,27263,17331,42647,1895
,,,,,,,,7,17221,12364,19088,24396,23708,25620,11559,19516,28767,29054,10686,8829,13691,13786,37088,38502,15515,10092,6552,14480,29032,24808,27941,17360,43601,1937
,,,,,,,,8,17292,12207,18847,27310,22846,26291,11953,19773,29860,29079,10625,8786,14125,14381,37456,39551,15703,10424,6816,14845,30271,25512,29097,17659,45544,2024
,,,,,,,,9,17778,12463,19244,29878,21482,27027,12260,20812,31446,30250,10483,8657,14638,14736,38317,40698,15979,10577,7093,15457,29672,26690,30209,18276,47078,2092
,,,,,,,,10,18422,12948,20002,32308,21681,27927,12803,21598,32854,32944,10587,8759,15076,14931,39461,42175,16490,10725,7299,15882,28965,27575,31057,18755,48859,2171
,,,,,,,,11,18594,13034,20128,34551,22355,28969,13511,22951,34827,34509,10975,9079,15658,14783,40532,43258,17169,11152,7641,16476,28439,28497,31818,19155,51225,2276
,,,,,,,,12,18922,13616,21028,36420,22727,29681,14058,23702,36426,36959,11203,9314,15902,15109,41353,44516,17862,11500,7915,16740,29030,29465,33185,19528,52725,2343
,,,,,,,,13,19562,14421,22273,38102,23367,30681,14839,24775,37951,38956,11642,9671,16405,15616,42841,46404,18403,11807,8171,17445,29629,30686,34670,20000,54268,2411
,,,,,,,,14,20055,15221,23513,38622,23346,31299,15179,25757,39990,40233,11748,9774,17033,15502,42716,46741,19004,12203,8518,18132,29081,31073,34927,20723,56034,2490
,,,,,,,,15,20696,15900,24565,38202,23486,31263,15299,25599,40005,40740,11865,9900,17204,15772,43036,46960,20316,12178,8601,18072,29401,31212,34888,21277,55837,2481
,,,,,,,,16,21258,16647,25725,38117,23441,31523,15592,25852,40416,42089,11903,9921,17332,15996,43858,47691,20354,12271,8703,18286,30263,31891,35340,21564,55682,2474
,,,,,,,,17,21137,16753,25889,39538,23786,32563,16109,26249,41407,41855,11981,9959,17926,17038,47131,49760,20797,12530,8850,18521,33101,33717,37006,21718,55839,2481
,,,,,,,,18,21275,16927,26158,41422,25004,34501,17367,27082,44726,41281,12342,10227,19042,17657,49383,51589,21139,13328,9278,19245,33195,35805,39210,21887,56905,2529
,,,,,,,,19,21784,17259,26676,40549,28108,36149,17956,27438,45974,41937,13511,11210,20642,18669,50840,54150,22319,13958,9674,19841,34416,36668,40089,22576,58867,2616
,,,,,,,,20,23286,18086,27961,39490,28491,36934,17773,29834,47176,45374,13547,11236,20661,18212,49911,53729,22900,14885,10106,22059,33668,37242,40492,24002,65786,2923
