model,zone,tech_type,planning_year,existing,unit,start_value,end_value,retired_value,new_build_value
GenX,BASN,Battery,2025,False,MW,0.0,1.4,0.0,1.4
GenX,BASN,Battery,2025,False,MWh,0.0,2.0,0.0,2.0
GenX,BASN,Battery,2025,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2025,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2030,False,MW,1.4,11.0,0.0,9.6
GenX,BASN,Battery,2030,False,MWh,2.0,15.5,0.0,13.5
GenX,BASN,Battery,2030,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2030,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2035,False,MW,11.0,65.3,0.0,54.3
GenX,BASN,Battery,2035,False,MWh,15.5,145.0,0.0,129.5
GenX,BASN,Battery,2035,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2035,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2040,False,MW,65.3,2875.4,0.0,2810.1
GenX,BASN,Battery,2040,False,MWh,145.0,12147.1,0.0,12002.1
GenX,BASN,Battery,2040,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2040,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2045,False,MW,2875.4,7127.4,0.0,4252.0
GenX,BASN,Battery,2045,False,MWh,12147.1,32392.1,0.0,20245.0
GenX,BASN,Battery,2045,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2045,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Battery,2050,False,MW,7127.4,10798.8,0.0,3671.4
GenX,BASN,Battery,2050,False,MWh,32392.1,49879.0,0.0,17486.9
GenX,BASN,Battery,2050,True,MW,935.8,935.8,0.0,0.0
GenX,BASN,Battery,2050,True,MWh,2195.6,2195.6,0.0,0.0
GenX,BASN,Coal,2025,True,MW,3000.2,2998.9,1.3,0.0
GenX,BASN,Coal,2030,True,MW,2998.9,6.3,2992.6,0.0
GenX,BASN,Coal,2035,True,MW,6.3,5.5,0.8,0.0
GenX,BASN,Coal,2040,True,MW,5.5,5.2,0.3,0.0
GenX,BASN,Coal,2045,True,MW,5.2,5.1,0.1,0.0
GenX,BASN,Coal,2050,True,MW,5.1,2.9,2.2,0.0
GenX,BASN,Distributed Solar,2025,True,MW,1193.0,1193.0,0.0,0.0
GenX,BASN,Distributed Solar,2030,True,MW,1193.0,1641.0,0.0,448.0
GenX,BASN,Distributed Solar,2035,True,MW,1641.0,2007.0,0.0,366.0
GenX,BASN,Distributed Solar,2040,True,MW,2007.0,2009.0,0.0,2.0
GenX,BASN,Distributed Solar,2045,True,MW,2009.0,2027.0,0.0,18.0
GenX,BASN,Distributed Solar,2050,True,MW,2027.0,2056.0,0.0,29.0
GenX,BASN,Geothermal,2025,True,MW,462.4,497.8,0.0,35.4
GenX,BASN,Geothermal,2030,True,MW,497.8,497.8,0.0,0.0
GenX,BASN,Geothermal,2035,True,MW,497.8,497.8,0.0,0.0
GenX,BASN,Geothermal,2040,True,MW,497.8,497.8,0.0,0.0
GenX,BASN,Geothermal,2045,True,MW,497.8,497.8,0.0,0.0
GenX,BASN,Geothermal,2050,True,MW,497.8,497.8,0.0,0.0
GenX,BASN,Hydro,2025,True,MW,2662.7,2752.3,0.0,89.6
GenX,BASN,Hydro,2030,True,MW,2752.3,2752.3,0.0,0.0
GenX,BASN,Hydro,2035,True,MW,2752.3,2752.3,0.0,0.0
GenX,BASN,Hydro,2040,True,MW,2752.3,2752.3,0.0,0.0
GenX,BASN,Hydro,2045,True,MW,2752.3,2752.3,0.0,0.0
GenX,BASN,Hydro,2050,True,MW,2752.3,2752.3,0.0,0.0
GenX,BASN,Hydrogen,2025,False,MW,0.0,1.0,0.0,1.0
GenX,BASN,Hydrogen,2030,False,MW,1.0,6.6,0.0,5.6
GenX,BASN,Hydrogen,2035,False,MW,6.6,39.1,0.0,32.5
GenX,BASN,Hydrogen,2040,False,MW,39.1,82.0,0.0,42.9
GenX,BASN,Hydrogen,2045,False,MW,82.0,127.4,0.0,45.4
GenX,BASN,Hydrogen,2050,False,MW,127.4,128.0,0.0,0.6
GenX,BASN,Natural Gas CC,2025,True,MW,8312.3,7331.6,980.7,0.0
GenX,BASN,Natural Gas CC,2030,True,MW,7331.6,7304.3,27.3,0.0
GenX,BASN,Natural Gas CC,2035,True,MW,7304.3,7301.8,2.5,0.0
GenX,BASN,Natural Gas CC,2040,True,MW,7301.8,7300.9,0.9,0.0
GenX,BASN,Natural Gas CC,2045,True,MW,7300.9,7300.2,0.7,0.0
GenX,BASN,Natural Gas CC,2050,True,MW,7300.2,7300.1,0.1,0.0
GenX,BASN,Natural Gas CT,2025,True,MW,2183.0,33.0,2150.0,0.0
GenX,BASN,Natural Gas CT,2030,True,MW,33.0,31.5,1.5,0.0
GenX,BASN,Natural Gas CT,2035,True,MW,31.5,31.3,0.2,0.0
GenX,BASN,Natural Gas CT,2040,True,MW,31.3,30.9,0.4,0.0
GenX,BASN,Natural Gas CT,2045,True,MW,30.9,30.5,0.4,0.0
GenX,BASN,Natural Gas CT,2050,True,MW,30.5,30.4,0.1,0.0
GenX,BASN,Natural Gas Other,2025,True,MW,689.9,4.5,685.4,0.0
GenX,BASN,Natural Gas Other,2030,True,MW,4.5,4.4,0.1,0.0
GenX,BASN,Natural Gas Other,2035,True,MW,4.4,4.3,0.1,0.0
GenX,BASN,Natural Gas Other,2040,True,MW,4.3,4.2,0.1,0.0
GenX,BASN,Natural Gas Other,2045,True,MW,4.2,4.0,0.2,0.0
GenX,BASN,Natural Gas Other,2050,True,MW,4.0,4.0,0.0,0.0
GenX,BASN,Nuclear,2025,False,MW,0.0,0.2,0.0,0.2
GenX,BASN,Nuclear,2030,False,MW,0.2,1.3,0.0,1.2
GenX,BASN,Nuclear,2035,False,MW,1.3,4.2,0.0,2.9
GenX,BASN,Nuclear,2040,False,MW,4.2,4.4,0.0,0.2
GenX,BASN,Nuclear,2045,False,MW,4.4,5.3,0.0,0.9
GenX,BASN,Nuclear,2050,False,MW,5.3,5.3,0.0,0.0
GenX,BASN,Other,2025,True,MW,54.5,30.6,23.9,0.0
GenX,BASN,Other,2030,True,MW,30.6,30.6,0.0,0.0
GenX,BASN,Other,2035,True,MW,30.6,30.4,0.2,0.0
GenX,BASN,Other,2040,True,MW,30.4,30.3,0.1,0.0
GenX,BASN,Other,2045,True,MW,30.3,30.3,0.1,0.0
GenX,BASN,Other,2050,True,MW,30.3,30.3,0.0,0.0
GenX,BASN,Solar,2025,False,MW,0.0,11.0,0.0,11.0
GenX,BASN,Solar,2025,True,MW,8006.2,8006.2,0.0,0.0
GenX,BASN,Solar,2030,False,MW,11.0,5229.1,0.0,5218.1
GenX,BASN,Solar,2030,True,MW,8006.2,8006.1,0.1,0.0
GenX,BASN,Solar,2035,False,MW,5229.1,11671.9,0.0,6442.9
GenX,BASN,Solar,2035,True,MW,8006.1,8005.9,0.2,0.0
GenX,BASN,Solar,2040,False,MW,11671.9,16645.3,0.0,4973.4
GenX,BASN,Solar,2040,True,MW,8005.9,8005.6,0.2,0.0
GenX,BASN,Solar,2045,False,MW,16645.3,25343.6,0.0,8698.3
GenX,BASN,Solar,2045,True,MW,8005.6,8005.3,0.3,0.0
GenX,BASN,Solar,2050,False,MW,25343.6,31454.8,0.0,6111.2
GenX,BASN,Solar,2050,True,MW,8005.3,8005.2,0.1,0.0
GenX,BASN,Wind,2025,False,MW,0.0,1478.0,0.0,1478.0
GenX,BASN,Wind,2025,True,MW,2030.1,2030.1,0.0,0.0
GenX,BASN,Wind,2030,False,MW,1478.0,18354.2,0.0,16876.2
GenX,BASN,Wind,2030,True,MW,2030.1,2030.1,0.0,0.0
GenX,BASN,Wind,2035,False,MW,18354.2,25625.0,0.0,7270.8
GenX,BASN,Wind,2035,True,MW,2030.1,2030.0,0.1,0.0
GenX,BASN,Wind,2040,False,MW,25625.0,30396.0,1.2,4772.2
GenX,BASN,Wind,2040,True,MW,2030.0,2029.8,0.2,0.0
GenX,BASN,Wind,2045,False,MW,30396.0,33574.0,0.1,3178.0
GenX,BASN,Wind,2045,True,MW,2029.8,2029.6,0.2,0.0
GenX,BASN,Wind,2050,False,MW,33574.0,33642.2,0.0,68.2
GenX,BASN,Wind,2050,True,MW,2029.6,2029.4,0.2,0.0
GenX,CANO,Battery,2025,False,MW,0.0,1.6,0.0,1.6
GenX,CANO,Battery,2025,False,MWh,0.0,1.9,0.0,1.9
GenX,CANO,Battery,2025,True,MW,2650.6,2652.6,0.0,2.0
GenX,CANO,Battery,2025,True,MWh,10570.7,10574.7,0.0,4.0
GenX,CANO,Battery,2030,False,MW,1.6,11.1,0.0,9.6
GenX,CANO,Battery,2030,False,MWh,1.9,14.3,0.0,12.4
GenX,CANO,Battery,2030,True,MW,2652.6,2652.6,0.0,0.0
GenX,CANO,Battery,2030,True,MWh,10574.7,10574.7,0.0,0.0
GenX,CANO,Battery,2035,False,MW,11.1,45.0,0.0,33.9
GenX,CANO,Battery,2035,False,MWh,14.3,98.2,0.0,83.9
GenX,CANO,Battery,2035,True,MW,2652.6,2652.6,0.0,0.0
GenX,CANO,Battery,2035,True,MWh,10574.7,10574.7,0.0,0.0
GenX,CANO,Battery,2040,False,MW,45.0,150.2,0.0,105.2
GenX,CANO,Battery,2040,False,MWh,98.2,594.2,0.0,496.0
GenX,CANO,Battery,2040,True,MW,2652.6,2652.6,0.0,0.0
GenX,CANO,Battery,2040,True,MWh,10574.7,10574.7,0.0,0.0
GenX,CANO,Battery,2045,False,MW,150.2,576.1,0.0,425.9
GenX,CANO,Battery,2045,False,MWh,594.2,2506.9,0.0,1912.7
GenX,CANO,Battery,2045,True,MW,2652.6,2652.6,0.0,0.0
GenX,CANO,Battery,2045,True,MWh,10574.7,10574.7,0.0,0.0
GenX,CANO,Battery,2050,False,MW,576.1,2183.6,0.0,1607.4
GenX,CANO,Battery,2050,False,MWh,2506.9,11717.2,0.0,9210.3
GenX,CANO,Battery,2050,True,MW,2652.6,2652.6,0.0,0.0
GenX,CANO,Battery,2050,True,MWh,10574.7,10574.7,0.0,0.0
GenX,CANO,CCS,2025,False,MW,0.0,0.4,0.0,0.4
GenX,CANO,CCS,2030,False,MW,0.4,2334.9,0.0,2334.5
GenX,CANO,CCS,2035,False,MW,2334.9,6440.9,0.0,4106.0
GenX,CANO,CCS,2040,False,MW,6440.9,8032.4,0.0,1591.5
GenX,CANO,CCS,2045,False,MW,8032.4,10816.8,0.0,2784.4
GenX,CANO,CCS,2050,False,MW,10816.8,11273.2,0.0,456.4
GenX,CANO,Distributed Solar,2025,True,MW,4470.0,4470.0,0.0,0.0
GenX,CANO,Distributed Solar,2030,True,MW,4470.0,5319.0,0.0,849.0
GenX,CANO,Distributed Solar,2035,True,MW,5319.0,6156.0,0.0,837.0
GenX,CANO,Distributed Solar,2040,True,MW,6156.0,6415.0,0.0,259.0
GenX,CANO,Distributed Solar,2045,True,MW,6415.0,6489.0,0.0,74.0
GenX,CANO,Distributed Solar,2050,True,MW,6489.0,6550.0,0.0,61.0
GenX,CANO,Geothermal,2025,True,MW,0.0,782.0,0.0,782.0
GenX,CANO,Geothermal,2030,True,MW,782.0,782.0,0.0,0.0
GenX,CANO,Geothermal,2035,True,MW,782.0,782.0,0.0,0.0
GenX,CANO,Geothermal,2040,True,MW,782.0,782.0,0.0,0.0
GenX,CANO,Geothermal,2045,True,MW,782.0,782.0,0.0,0.0
GenX,CANO,Geothermal,2050,True,MW,782.0,782.0,0.0,0.0
GenX,CANO,Hydro,2025,True,MW,9703.8,10065.2,0.0,361.4
GenX,CANO,Hydro,2025,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2030,True,MW,10065.2,10065.2,0.0,0.0
GenX,CANO,Hydro,2030,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2035,True,MW,10065.2,10065.2,0.0,0.0
GenX,CANO,Hydro,2035,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2040,True,MW,10065.2,10065.2,0.0,0.0
GenX,CANO,Hydro,2040,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2045,True,MW,10065.2,10065.2,0.0,0.0
GenX,CANO,Hydro,2045,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydro,2050,True,MW,10065.2,10065.2,0.0,0.0
GenX,CANO,Hydro,2050,True,MWh,35292.0,35292.0,0.0,0.0
GenX,CANO,Hydrogen,2025,False,MW,0.0,0.8,0.0,0.8
GenX,CANO,Hydrogen,2030,False,MW,0.8,5.2,0.0,4.4
GenX,CANO,Hydrogen,2035,False,MW,5.2,23.2,0.0,18.0
GenX,CANO,Hydrogen,2040,False,MW,23.2,32.2,0.0,9.0
GenX,CANO,Hydrogen,2045,False,MW,32.2,43.6,0.0,11.4
GenX,CANO,Hydrogen,2050,False,MW,43.6,44.2,0.0,0.5
GenX,CANO,Natural Gas CC,2025,True,MW,11409.7,8308.8,3100.9,0.0
GenX,CANO,Natural Gas CC,2030,True,MW,8308.8,7822.0,486.9,0.0
GenX,CANO,Natural Gas CC,2035,True,MW,7822.0,7819.6,2.3,0.0
GenX,CANO,Natural Gas CC,2040,True,MW,7819.6,7818.5,1.1,0.0
GenX,CANO,Natural Gas CC,2045,True,MW,7818.5,7817.7,0.8,0.0
GenX,CANO,Natural Gas CC,2050,True,MW,7817.7,7817.6,0.1,0.0
GenX,CANO,Natural Gas CT,2025,True,MW,4675.5,46.1,4629.4,0.0
GenX,CANO,Natural Gas CT,2030,True,MW,46.1,33.1,13.0,0.0
GenX,CANO,Natural Gas CT,2035,True,MW,33.1,31.7,1.4,0.0
GenX,CANO,Natural Gas CT,2040,True,MW,31.7,31.4,0.4,0.0
GenX,CANO,Natural Gas CT,2045,True,MW,31.4,31.0,0.4,0.0
GenX,CANO,Natural Gas CT,2050,True,MW,31.0,30.9,0.1,0.0
GenX,CANO,Natural Gas Other,2025,True,MW,447.3,4.4,442.9,0.0
GenX,CANO,Natural Gas Other,2030,True,MW,4.4,4.3,0.1,0.0
GenX,CANO,Natural Gas Other,2035,True,MW,4.3,4.0,0.4,0.0
GenX,CANO,Natural Gas Other,2040,True,MW,4.0,3.9,0.1,0.0
GenX,CANO,Natural Gas Other,2045,True,MW,3.9,3.8,0.1,0.0
GenX,CANO,Natural Gas Other,2050,True,MW,3.8,3.7,0.1,0.0
GenX,CANO,Nuclear,2025,False,MW,0.0,0.2,0.0,0.2
GenX,CANO,Nuclear,2025,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2030,False,MW,0.2,1.2,0.0,1.1
GenX,CANO,Nuclear,2030,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2035,False,MW,1.2,3.4,0.0,2.2
GenX,CANO,Nuclear,2035,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2040,False,MW,3.4,3.6,0.0,0.2
GenX,CANO,Nuclear,2040,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2045,False,MW,3.6,4.5,0.0,0.9
GenX,CANO,Nuclear,2045,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Nuclear,2050,False,MW,4.5,4.5,0.0,0.0
GenX,CANO,Nuclear,2050,True,MW,0.0,0.0,0.0,0.0
GenX,CANO,Other,2025,True,MW,405.0,234.9,174.8,4.7
GenX,CANO,Other,2030,True,MW,234.9,234.9,0.0,0.0
GenX,CANO,Other,2035,True,MW,234.9,234.7,0.1,0.0
GenX,CANO,Other,2040,True,MW,234.7,234.6,0.1,0.0
GenX,CANO,Other,2045,True,MW,234.6,234.6,0.1,0.0
GenX,CANO,Other,2050,True,MW,234.6,234.6,0.0,0.0
GenX,CANO,Solar,2025,False,MW,0.0,9.0,0.0,9.0
GenX,CANO,Solar,2025,True,MW,6328.2,6328.2,0.0,0.0
GenX,CANO,Solar,2030,False,MW,9.0,8480.6,0.0,8471.7
GenX,CANO,Solar,2030,True,MW,6328.2,6328.2,0.0,0.0
GenX,CANO,Solar,2035,False,MW,8480.6,12141.3,0.0,3660.7
GenX,CANO,Solar,2035,True,MW,6328.2,6328.1,0.1,0.0
GenX,CANO,Solar,2040,False,MW,12141.3,17173.5,0.0,5032.2
GenX,CANO,Solar,2040,True,MW,6328.1,6327.8,0.4,0.0
GenX,CANO,Solar,2045,False,MW,17173.5,22856.7,0.0,5683.1
GenX,CANO,Solar,2045,True,MW,6327.8,6327.2,0.5,0.0
GenX,CANO,Solar,2050,False,MW,22856.7,28735.9,0.0,5879.3
GenX,CANO,Solar,2050,True,MW,6327.2,6327.2,0.1,0.0
GenX,CANO,Wind,2025,False,MW,0.0,5.3,0.0,5.3
GenX,CANO,Wind,2025,True,MW,1442.0,1473.5,0.0,31.5
GenX,CANO,Wind,2030,False,MW,5.3,27.2,0.0,22.0
GenX,CANO,Wind,2030,True,MW,1473.5,1473.5,0.0,0.0
GenX,CANO,Wind,2035,False,MW,27.2,69.2,0.0,42.0
