model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
GenX,BASN,BASN_batteries_1,Battery,2025,Results_p1,MW,935.8,935.8
GenX,BASN,BASN_biomass_1,Other,2025,Results_p1,MW,8.1,8.1
GenX,BASN,BASN_biomass_2,Other,2025,Results_p1,MW,20.6,20.6
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2025,Results_p1,MW,2522.6,2522.6
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2025,Results_p1,MW,1178.2,1177.26
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2025,Results_p1,MW,1822,1821.65
GenX,BASN,BASN_geothermal_1,Geothermal,2025,Results_p1,MW,497.8,497.8
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2025,Results_p1,MW,1018.3,41.9312
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2025,Results_p1,MW,7294,7289.66
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2025,Results_p1,MW,2005.8,25.2254
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2025,Results_p1,MW,275.2,7.72516
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2025,Results_p1,MW,221.4,2.99241
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2025,Results_p1,MW,588.2,1.48579
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2025,Results_p1,MW,2030.1,2030.09
GenX,BASN,BASN_petroleum_liquids_1,Other,2025,Results_p1,MW,51.2,1.85781
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2025,Results_p1,MW,229.7,229.7
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2025,Results_p1,MW,8006.2,8006.18
GenX,CANO,CANO_batteries_1,Battery,2025,Results_p1,MW,2652.6,2652.6
GenX,CANO,CANO_biomass_1,Other,2025,Results_p1,MW,158.3,158.3
GenX,CANO,CANO_biomass_2,Other,2025,Results_p1,MW,74.1,74.1
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2025,Results_p1,MW,7519.1,7519.1
GenX,CANO,CANO_geothermal_1,Geothermal,2025,Results_p1,MW,782,782
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2025,Results_p1,MW,2276.9,2276.9
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2025,Results_p1,MW,3112.8,15.1103
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2025,Results_p1,MW,8296.9,8293.72
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2025,Results_p1,MW,2248.7,33.7249
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2025,Results_p1,MW,2483.5,12.3856
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2025,Results_p1,MW,444.4,3.97548
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2025,Results_p1,MW,2.9,0.450605
GenX,CANO,CANO_nuclear_1,Nuclear,2025,Results_p1,MW,0,0
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2025,Results_p1,MW,1473.5,1473.5
GenX,CANO,CANO_petroleum_liquids_1,Other,2025,Results_p1,MW,341.7,2.48764
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2025,Results_p1,MW,269.2,269.2
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2025,Results_p1,MW,6328.2,6328.18
