model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2027,Results_p1,MW,100,100.004
GenX,2,BASN_to_CASO,2027,Results_p1,MW,5920,5921.64
GenX,3,BASN_to_NWPP,2027,Results_p1,MW,3350,3350.84
GenX,4,BASN_to_RMRG,2027,Results_p1,MW,3750,3750.54
GenX,5,BASN_to_SRSG,2027,Results_p1,MW,5385,5401.1
GenX,6,CANO_to_CASO,2027,Results_p1,MW,3675,3675.97
GenX,7,CANO_to_NWPP,2027,Results_p1,MW,3675,3675.2
GenX,8,CASO_to_NWPP,2027,Results_p1,MW,2858,2858.28
GenX,9,CASO_to_SRSG,2027,Results_p1,MW,4354,4354
GenX,10,FRCC_to_SRSE,2027,Results_p1,MW,3600,3600.69
GenX,11,ISNE_to_NYCW,2027,Results_p1,MW,760,760.124
GenX,12,ISNE_to_NYUP,2027,Results_p1,MW,1400,1400.37
GenX,13,MISC_to_MISE,2027,Results_p1,MW,0,13.5888
GenX,14,MISC_to_MISS,2027,Results_p1,MW,1039,1039.08
GenX,15,MISC_to_MISW,2027,Results_p1,MW,1655,1655.08
GenX,16,MISC_to_PJMC,2027,Results_p1,MW,5244,5244
GenX,17,MISC_to_PJMW,2027,Results_p1,MW,5441,5441.46
GenX,18,MISC_to_SPPC,2027,Results_p1,MW,1430,1845.62
GenX,19,MISC_to_SPPN,2027,Results_p1,MW,0,40.3935
GenX,20,MISC_to_SPPS,2027,Results_p1,MW,1172,1172.41
GenX,21,MISC_to_SRCE,2027,Results_p1,MW,3745,3745.67
GenX,22,MISE_to_MISW,2027,Results_p1,MW,0,11.0455
GenX,23,MISE_to_PJMW,2027,Results_p1,MW,2662,2662.05
GenX,24,MISS_to_SPPC,2027,Results_p1,MW,0,167.646
GenX,25,MISS_to_SPPS,2027,Results_p1,MW,1697,1697.05
GenX,26,MISS_to_SRCE,2027,Results_p1,MW,4092,4092.72
GenX,27,MISS_to_SRSE,2027,Results_p1,MW,891,891.233
GenX,28,MISW_to_NWPP,2027,Results_p1,MW,200,200.089
GenX,29,MISW_to_PJMC,2027,Results_p1,MW,3200,3200.09
GenX,30,MISW_to_SPPC,2027,Results_p1,MW,0,14.2619
GenX,31,MISW_to_SPPN,2027,Results_p1,MW,5512,5512.04
GenX,32,NWPP_to_RMRG,2027,Results_p1,MW,400,400.041
GenX,33,NYCW_to_NYUP,2027,Results_p1,MW,2489,2489.16
GenX,34,NYCW_to_PJME,2027,Results_p1,MW,660,660.695
GenX,35,NYUP_to_PJME,2027,Results_p1,MW,1255,1255.07
GenX,36,PJMC_to_PJMW,2027,Results_p1,MW,980,980.052
GenX,37,PJMD_to_PJME,2027,Results_p1,MW,1200,2396.4
GenX,38,PJMD_to_PJMW,2027,Results_p1,MW,6930,6930.9
GenX,39,PJMD_to_SRCA,2027,Results_p1,MW,1000,1000.28
GenX,40,PJME_to_PJMW,2027,Results_p1,MW,3885,3895.48
GenX,41,PJMW_to_SRCA,2027,Results_p1,MW,1219,1219.28
GenX,42,PJMW_to_SRCE,2027,Results_p1,MW,3333,3333.7
GenX,43,RMRG_to_SPPC,2027,Results_p1,MW,210,1503.27
GenX,44,RMRG_to_SPPN,2027,Results_p1,MW,410,2563.16
GenX,45,RMRG_to_SRSG,2027,Results_p1,MW,614,614.075
GenX,46,SPPC_to_SPPN,2027,Results_p1,MW,1433,2132
GenX,47,SPPC_to_SPPS,2027,Results_p1,MW,3372,3372.86
GenX,48,SPPN_to_SPPS,2027,Results_p1,MW,0,1620.71
GenX,49,SPPS_to_SRSG,2027,Results_p1,MW,1010,2529.45
