model,line,line_name,planning_year,case,unit,value
GenX,1,BASN_to_CANO,2025,Results_p1,MW,0.0344043
GenX,2,BASN_to_CASO,2025,Results_p1,MW,0.0849721
GenX,3,BASN_to_NWPP,2025,Results_p1,MW,0.126694
GenX,4,BASN_to_RMRG,2025,Results_p1,MW,0.31758
GenX,5,BASN_to_SRSG,2025,Results_p1,MW,0.677495
GenX,6,CANO_to_CASO,2025,Results_p1,MW,0.255908
GenX,7,CANO_to_NWPP,2025,Results_p1,MW,0.0954869
GenX,8,CASO_to_NWPP,2025,Results_p1,MW,0.716861
GenX,9,CASO_to_SRSG,2025,Results_p1,MW,0.705127
GenX,10,FRCC_to_SRSE,2025,Results_p1,MW,0.211647
GenX,11,ISNE_to_NYCW,2025,Results_p1,MW,0.0260596
GenX,12,ISNE_to_NYUP,2025,Results_p1,MW,0.0695462
GenX,13,MISC_to_MISE,2025,Results_p1,MW,2.64682
GenX,14,MISC_to_MISS,2025,Results_p1,MW,0.0374085
GenX,15,MISC_to_MISW,2025,Results_p1,MW,0.00067697
GenX,16,MISC_to_PJMC,2025,Results_p1,MW,0.00967709
GenX,17,MISC_to_PJMW,2025,Results_p1,MW,1.23672
GenX,18,MISC_to_SPPC,2025,Results_p1,MW,459.026
GenX,19,MISC_to_SPPN,2025,Results_p1,MW,7.46702
GenX,20,MISC_to_SPPS,2025,Results_p1,MW,0.664831
GenX,21,MISC_to_SRCE,2025,Results_p1,MW,0.0490132
GenX,22,MISE_to_MISW,2025,Results_p1,MW,2.00539
GenX,23,MISE_to_PJMW,2025,Results_p1,MW,0.0172259
GenX,24,MISS_to_SPPC,2025,Results_p1,MW,64.7981
GenX,25,MISS_to_SPPS,2025,Results_p1,MW,0.00508136
GenX,26,MISS_to_SRCE,2025,Results_p1,MW,0.0944007
GenX,27,MISS_to_SRSE,2025,Results_p1,MW,0.0140883
GenX,28,MISW_to_NWPP,2025,Results_p1,MW,0.0629329
GenX,29,MISW_to_PJMC,2025,Results_p1,MW,0.0137656
GenX,30,MISW_to_SPPC,2025,Results_p1,MW,2.67894
GenX,31,MISW_to_SPPN,2025,Results_p1,MW,0.00703103
GenX,32,NWPP_to_RMRG,2025,Results_p1,MW,0.000396326
GenX,33,NYCW_to_NYUP,2025,Results_p1,MW,0.0298303
GenX,34,NYCW_to_PJME,2025,Results_p1,MW,0.00746834
GenX,35,NYUP_to_PJME,2025,Results_p1,MW,0.0373087
GenX,36,PJMC_to_PJMW,2025,Results_p1,MW,0.00721972
