model,zone,planning_year,case,unit,value
GenX,BASN,2025,Results_p1,tons,2.49731e+07
GenX,CANO,2025,Results_p1,tons,1.88844e+07
GenX,CASO,2025,Results_p1,tons,1.93472e+07
GenX,FRCC,2025,Results_p1,tons,7.51401e+07
GenX,ISNE,2025,Results_p1,tons,2.5107e+07
GenX,MISC,2025,Results_p1,tons,3.86335e+07
GenX,MISE,2025,Results_p1,tons,3.27926e+07
GenX,MISS,2025,Results_p1,tons,5.13985e+07
GenX,MISW,2025,Results_p1,tons,4.29192e+07
GenX,NWPP,2025,Results_p1,tons,1.57467e+07
GenX,NYCW,2025,Results_p1,tons,9.8095e+06
GenX,NYUP,2025,Results_p1,tons,1.59619e+07
GenX,PJMC,2025,Results_p1,tons,1.3179e+07
GenX,PJMD,2025,Results_p1,tons,1.73816e+07
GenX,PJME,2025,Results_p1,tons,7.84013e+07
GenX,PJMW,2025,Results_p1,tons,9.44276e+07
GenX,RMRG,2025,Results_p1,tons,1.58316e+07
GenX,SPPC,2025,Results_p1,tons,1.95606e+07
GenX,SPPN,2025,Results_p1,tons,8.46201e+06
GenX,SPPS,2025,Results_p1,tons,1.93316e+07
GenX,SRCA,2025,Results_p1,tons,3.98243e+07
GenX,SRCE,2025,Results_p1,tons,3.51921e+07
GenX,SRSE,2025,Results_p1,tons,5.40255e+07
GenX,SRSG,2025,Results_p1,tons,2.96333e+07
GenX,TRE,2025,Results_p1,tons,6.94056e+07
GenX,TREW,2025,Results_p1,tons,7.63029e+06
GenX,BASN,2030,Results_p2,tons,3.38245e+06
GenX,CANO,2030,Results_p2,tons,5.72756e+06
GenX,CASO,2030,Results_p2,tons,7.23902e+06
GenX,FRCC,2030,Results_p2,tons,1.1576e+07
GenX,ISNE,2030,Results_p2,tons,8.33953e+06
GenX,MISC,2030,Results_p2,tons,3.55123e+06
GenX,MISE,2030,Results_p2,tons,3.39013e+06
GenX,MISS,2030,Results_p2,tons,1.24402e+07
GenX,MISW,2030,Results_p2,tons,6.03095e+06
GenX,NWPP,2030,Results_p2,tons,938292
GenX,NYCW,2030,Results_p2,tons,3.5926e+06
GenX,NYUP,2030,Results_p2,tons,4.70978e+06
GenX,PJMC,2030,Results_p2,tons,5.00552e+06
GenX,PJMD,2030,Results_p2,tons,4.58476e+06
GenX,PJME,2030,Results_p2,tons,3.31348e+07
GenX,PJMW,2030,Results_p2,tons,1.60179e+07
GenX,RMRG,2030,Results_p2,tons,679220
GenX,SPPC,2030,Results_p2,tons,803866
GenX,SPPN,2030,Results_p2,tons,282316
GenX,SPPS,2030,Results_p2,tons,4.57698e+06
GenX,SRCA,2030,Results_p2,tons,6.52608e+06
GenX,SRCE,2030,Results_p2,tons,7.77023e+06
GenX,SRSE,2030,Results_p2,tons,1.273e+07
GenX,SRSG,2030,Results_p2,tons,3.68114e+06
GenX,TRE,2030,Results_p2,tons,1.65047e+07
GenX,TREW,2030,Results_p2,tons,2.79289e+06
GenX,BASN,2035,Results_p3,tons,2.90094e+06
GenX,CANO,2035,Results_p3,tons,3.62488e+06
GenX,CASO,2035,Results_p3,tons,5.16977e+06
GenX,FRCC,2035,Results_p3,tons,8.90618e+06
GenX,ISNE,2035,Results_p3,tons,1.01341e+07
GenX,MISC,2035,Results_p3,tons,3.05823e+06
GenX,MISE,2035,Results_p3,tons,2.24596e+06
GenX,MISS,2035,Results_p3,tons,8.6032e+06
GenX,MISW,2035,Results_p3,tons,4.27907e+06
GenX,NWPP,2035,Results_p3,tons,1.70204e+06
GenX,NYCW,2035,Results_p3,tons,1.74096e+06
GenX,NYUP,2035,Results_p3,tons,2.44846e+06
GenX,PJMC,2035,Results_p3,tons,3.46253e+06
GenX,PJMD,2035,Results_p3,tons,3.65899e+06
GenX,PJME,2035,Results_p3,tons,2.02392e+07
GenX,PJMW,2035,Results_p3,tons,1.12548e+07
GenX,RMRG,2035,Results_p3,tons,447677
GenX,SPPC,2035,Results_p3,tons,511469
