model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2025,Results_p1,MW,100,100.028
GenX,2,BASN_to_CASO,2025,Results_p1,MW,5920,5920
GenX,3,BASN_to_NWPP,2025,Results_p1,MW,3350,3350.04
GenX,4,BASN_to_RMRG,2025,Results_p1,MW,3750,3750.01
GenX,5,BASN_to_SRSG,2025,Results_p1,MW,5385,5385.47
GenX,6,CANO_to_CASO,2025,Results_p1,MW,3675,3675.01
GenX,7,CANO_to_NWPP,2025,Results_p1,MW,3675,3675.02
GenX,8,CASO_to_NWPP,2025,Results_p1,MW,2858,2858.01
GenX,9,CASO_to_SRSG,2025,Results_p1,MW,4354,4354.01
GenX,10,FRCC_to_SRSE,2025,Results_p1,MW,3600,3600.03
GenX,11,ISNE_to_NYCW,2025,Results_p1,MW,760,760.016
GenX,12,ISNE_to_NYUP,2025,Results_p1,MW,1400,1400.16
GenX,13,MISC_to_MISE,2025,Results_p1,MW,0,2.87074
GenX,14,MISC_to_MISS,2025,Results_p1,MW,1039,1039.02
GenX,15,MISC_to_MISW,2025,Results_p1,MW,1655,1655.03
GenX,16,MISC_to_PJMC,2025,Results_p1,MW,5244,5244.03
GenX,17,MISC_to_PJMW,2025,Results_p1,MW,5441,5441
GenX,18,MISC_to_SPPC,2025,Results_p1,MW,1430,1430.1
GenX,19,MISC_to_SPPN,2025,Results_p1,MW,0,6.07466
GenX,20,MISC_to_SPPS,2025,Results_p1,MW,1172,1172.16
GenX,21,MISC_to_SRCE,2025,Results_p1,MW,3745,3745.05
GenX,22,MISE_to_MISW,2025,Results_p1,MW,0,2.23747
GenX,23,MISE_to_PJMW,2025,Results_p1,MW,2662,2662.1
GenX,24,MISS_to_SPPC,2025,Results_p1,MW,0,6.84567
GenX,25,MISS_to_SPPS,2025,Results_p1,MW,1697,2401.88
GenX,26,MISS_to_SRCE,2025,Results_p1,MW,4092,4092.06
GenX,27,MISS_to_SRSE,2025,Results_p1,MW,891,891.383
GenX,28,MISW_to_NWPP,2025,Results_p1,MW,200,200
GenX,29,MISW_to_PJMC,2025,Results_p1,MW,3200,3200.83
GenX,30,MISW_to_SPPC,2025,Results_p1,MW,0,2.22204
GenX,31,MISW_to_SPPN,2025,Results_p1,MW,5512,5512.1
GenX,32,NWPP_to_RMRG,2025,Results_p1,MW,400,400.116
GenX,33,NYCW_to_NYUP,2025,Results_p1,MW,2489,2489.05
GenX,34,NYCW_to_PJME,2025,Results_p1,MW,660,4733.44
GenX,35,NYUP_to_PJME,2025,Results_p1,MW,1255,1255.01
GenX,36,PJMC_to_PJMW,2025,Results_p1,MW,980,980.001
GenX,37,PJMD_to_PJME,2025,Results_p1,MW,1200,1200
GenX,38,PJMD_to_PJMW,2025,Results_p1,MW,6930,6930.38
GenX,39,PJMD_to_SRCA,2025,Results_p1,MW,1000,1000.01
GenX,40,PJME_to_PJMW,2025,Results_p1,MW,3885,3885.04
GenX,41,PJMW_to_SRCA,2025,Results_p1,MW,1219,1219.02
GenX,42,PJMW_to_SRCE,2025,Results_p1,MW,3333,3333.05
GenX,43,RMRG_to_SPPC,2025,Results_p1,MW,210,210.706
GenX,44,RMRG_to_SPPN,2025,Results_p1,MW,410,2091.31
GenX,45,RMRG_to_SRSG,2025,Results_p1,MW,614,614.145
GenX,46,SPPC_to_SPPN,2025,Results_p1,MW,1433,2961.74
GenX,47,SPPC_to_SPPS,2025,Results_p1,MW,3372,3372.84
GenX,48,SPPN_to_SPPS,2025,Results_p1,MW,0,25.0275
GenX,49,SPPS_to_SRSG,2025,Results_p1,MW,1010,1010.25
GenX,50,SPPS_to_TRE,2025,Results_p1,MW,600,601.506
GenX,51,SPPS_to_TREW,2025,Results_p1,MW,220,1797.84
GenX,52,SRCA_to_SRCE,2025,Results_p1,MW,216,216.555
GenX,53,SRCA_to_SRSE,2025,Results_p1,MW,1400,1400.02
GenX,54,SRCE_to_SRSE,2025,Results_p1,MW,3196,3196
GenX,55,TRE_to_TREW,2025,Results_p1,MW,16529,16529
GenX,56,NWPP_to_SPPN,2025,Results_p1,MW,0,1.79725
GenX,57,SRSG_to_TRE,2025,Results_p1,MW,0,2.80872
