model,line_name,planning_year,case,unit,start_value,end_value
SWITCH,TRE_to_TREW,2027,base_52_week,MW,16529.0,16529.0
SWITCH,TRE_to_SPPS,2027,base_52_week,MW,600.0,600.000000000001
SWITCH,TREW_to_SPPS,2027,base_52_week,MW,220.0,1754.6129572784305
SWITCH,FRCC_to_SRSE,2027,base_52_week,MW,3600.0,3600.0
SWITCH,MISW_to_MISE,2027,base_52_week,MW,0.0,1.2161929795793788e-10
SWITCH,MISW_to_PJMC,2027,base_52_week,MW,3200.0,3200.0000000000005
SWITCH,MISW_to_MISC,2027,base_52_week,MW,1655.0,1655.0
SWITCH,MISW_to_SPPN,2027,base_52_week,MW,5512.0,5512.0
SWITCH,MISW_to_SPPC,2027,base_52_week,MW,0.0,1.2834297734005674e-10
SWITCH,MISE_to_MISC,2027,base_52_week,MW,0.0,1.4885972724257572e-10
SWITCH,MISE_to_PJMW,2027,base_52_week,MW,2662.0,2662.0
SWITCH,PJMC_to_MISC,2027,base_52_week,MW,5244.0,5244.0
SWITCH,PJMC_to_PJMW,2027,base_52_week,MW,980.0,980.0000000000008
SWITCH,MISC_to_SPPN,2027,base_52_week,MW,0.0,3.121735482525401e-10
SWITCH,MISC_to_SPPC,2027,base_52_week,MW,1430.0,1430.000000000001
SWITCH,MISC_to_SPPS,2027,base_52_week,MW,1172.0,1172.0
SWITCH,MISC_to_MISS,2027,base_52_week,MW,1039.0,1039.000000000001
SWITCH,MISC_to_PJMW,2027,base_52_week,MW,5441.0,5441.0
SWITCH,MISC_to_SRCE,2027,base_52_week,MW,3745.0,3745.0
SWITCH,SPPN_to_SPPC,2027,base_52_week,MW,1433.0,3006.001302893149
SWITCH,SPPN_to_SPPS,2027,base_52_week,MW,0.0,1.1728701366435899e-09
SWITCH,SPPC_to_SPPS,2027,base_52_week,MW,3372.0,3372.0000000000023
SWITCH,SPPC_to_MISS,2027,base_52_week,MW,0.0,3.435771003275201e-10
SWITCH,SPPS_to_MISS,2027,base_52_week,MW,1697.0,1697.0000000000089
SWITCH,SPPS_to_SRSG,2027,base_52_week,MW,1010.0,1010.0000000000013
SWITCH,MISS_to_SRSE,2027,base_52_week,MW,891.0,891.0000000000001
SWITCH,MISS_to_SRCE,2027,base_52_week,MW,4092.0,4092.0
SWITCH,SRSE_to_SRCA,2027,base_52_week,MW,1400.0,1400.0
SWITCH,SRSE_to_SRCE,2027,base_52_week,MW,3196.0,3196.0
SWITCH,SRCA_to_PJMD,2027,base_52_week,MW,1000.0,1000.0
SWITCH,SRCA_to_PJMW,2027,base_52_week,MW,1219.0,1219.0
SWITCH,SRCA_to_SRCE,2027,base_52_week,MW,216.0,216.0000000000001
SWITCH,PJMD_to_PJMW,2027,base_52_week,MW,6930.0,6930.000000000002
SWITCH,PJMD_to_PJME,2027,base_52_week,MW,1200.0,1200.000000000001
SWITCH,PJMW_to_PJME,2027,base_52_week,MW,3885.0,3885.0
SWITCH,PJMW_to_SRCE,2027,base_52_week,MW,3333.0,3333.0
SWITCH,PJME_to_NYUP,2027,base_52_week,MW,1255.0,1255.0000000000014
SWITCH,PJME_to_NYCW,2027,base_52_week,MW,660.0,5195.653448065521
SWITCH,NYUP_to_NYCW,2027,base_52_week,MW,2489.0,2489.0
SWITCH,NYUP_to_ISNE,2027,base_52_week,MW,1400.0,1400.0000000000002
SWITCH,NYCW_to_ISNE,2027,base_52_week,MW,760.0,760.0000000000001
SWITCH,RMRG_to_BASN,2027,base_52_week,MW,3750.0,3750.0
SWITCH,RMRG_to_NWPP,2027,base_52_week,MW,400.0,400.00000000000006
SWITCH,RMRG_to_SRSG,2027,base_52_week,MW,614.0,614.0000000000007
SWITCH,BASN_to_NWPP,2027,base_52_week,MW,3350.0,3350.0000000000005
SWITCH,BASN_to_CANO,2027,base_52_week,MW,100.0,100.00000000000006
SWITCH,BASN_to_CASO,2027,base_52_week,MW,5920.0,5920.0
SWITCH,BASN_to_SRSG,2027,base_52_week,MW,5385.0,5385.0
SWITCH,NWPP_to_CANO,2027,base_52_week,MW,3675.0,3675.0
SWITCH,NWPP_to_CASO,2027,base_52_week,MW,2858.0,2858.0000000000005
SWITCH,CANO_to_CASO,2027,base_52_week,MW,3675.0,3675.000000000004
SWITCH,CASO_to_SRSG,2027,base_52_week,MW,4354.0,4354.0
SWITCH,NWPP_to_SPPN,2027,base_52_week,MW,0.0,8.650192199753585e-11
SWITCH,NWPP_to_MISW,2027,base_52_week,MW,200.0,200.00000000000009
SWITCH,RMRG_to_SPPN,2027,base_52_week,MW,410.0,1847.543349372064
SWITCH,RMRG_to_SPPC,2027,base_52_week,MW,210.0,210.0000000000055
SWITCH,SRSG_to_TRE,2027,base_52_week,MW,0.0,1.2793087692794642e-10
SWITCH,TRE_to_TREW,2030,base_52_week,MW,16529.0,16529.0
SWITCH,TRE_to_SPPS,2030,base_52_week,MW,600.000000000001,8598.81080419772
SWITCH,TREW_to_SPPS,2030,base_52_week,MW,1754.6129572784305,6179.659877719996
SWITCH,FRCC_to_SRSE,2030,base_52_week,MW,3600.0,3600.0
SWITCH,MISW_to_MISE,2030,base_52_week,MW,1.2161929795793788e-10,1014.9989949840522
SWITCH,MISW_to_PJMC,2030,base_52_week,MW,3200.0000000000005,10944.711839779156
SWITCH,MISW_to_MISC,2030,base_52_week,MW,1655.0,1655.0
SWITCH,MISW_to_SPPN,2030,base_52_week,MW,5512.0,5512.0
SWITCH,MISW_to_SPPC,2030,base_52_week,MW,1.2834297734005674e-10,1.4736437480643447e-09
SWITCH,MISE_to_MISC,2030,base_52_week,MW,1.4885972724257572e-10,2520.3514492881895
SWITCH,MISE_to_PJMW,2030,base_52_week,MW,2662.0,2662.0
SWITCH,PJMC_to_MISC,2030,base_52_week,MW,5244.0,5244.0
SWITCH,PJMC_to_PJMW,2030,base_52_week,MW,980.0000000000008,10980.0
SWITCH,MISC_to_SPPN,2030,base_52_week,MW,3.121735482525401e-10,2252.023570116606
SWITCH,MISC_to_SPPC,2030,base_52_week,MW,1430.000000000001,6501.651546574743
SWITCH,MISC_to_SPPS,2030,base_52_week,MW,1172.0,4751.877914205987
SWITCH,MISC_to_MISS,2030,base_52_week,MW,1039.000000000001,1039.000000000001
SWITCH,MISC_to_PJMW,2030,base_52_week,MW,5441.0,5441.000000000001
SWITCH,MISC_to_SRCE,2030,base_52_week,MW,3745.0,3745.0
SWITCH,SPPN_to_SPPC,2030,base_52_week,MW,3006.001302893149,3006.00130289315
SWITCH,SPPN_to_SPPS,2030,base_52_week,MW,1.1728701366435899e-09,5240.660852028152
SWITCH,SPPC_to_SPPS,2030,base_52_week,MW,3372.0000000000023,3372.000000000003
SWITCH,SPPC_to_MISS,2030,base_52_week,MW,3.4357710032752007e-10,3737.100712555043
SWITCH,SPPS_to_MISS,2030,base_52_week,MW,1697.0000000000089,18667.000000000007
SWITCH,SPPS_to_SRSG,2030,base_52_week,MW,1010.0000000000013,8776.6004571846
SWITCH,MISS_to_SRSE,2030,base_52_week,MW,891.0000000000001,8422.275290864218
SWITCH,MISS_to_SRCE,2030,base_52_week,MW,4092.0,4092.0
SWITCH,SRSE_to_SRCA,2030,base_52_week,MW,1400.0,1400.0
SWITCH,SRSE_to_SRCE,2030,base_52_week,MW,3196.0,3196.0
SWITCH,SRCA_to_PJMD,2030,base_52_week,MW,1000.0,1000.0000000000002
SWITCH,SRCA_to_PJMW,2030,base_52_week,MW,1219.0,1219.0
SWITCH,SRCA_to_SRCE,2030,base_52_week,MW,216.0000000000001,216.00000000000023
SWITCH,PJMD_to_PJMW,2030,base_52_week,MW,6930.000000000002,6930.000000000002
SWITCH,PJMD_to_PJME,2030,base_52_week,MW,1200.000000000001,4212.672421660293
SWITCH,PJMW_to_PJME,2030,base_52_week,MW,3885.0,7086.205574340471
SWITCH,PJMW_to_SRCE,2030,base_52_week,MW,3333.0,3333.0
SWITCH,PJME_to_NYUP,2030,base_52_week,MW,1255.0000000000014,5117.970724623335
SWITCH,PJME_to_NYCW,2030,base_52_week,MW,5195.653448065521,5339.153684709832
SWITCH,NYUP_to_NYCW,2030,base_52_week,MW,2489.0,4583.920728982159
SWITCH,NYUP_to_ISNE,2030,base_52_week,MW,1400.0000000000002,6217.965678479409
SWITCH,NYCW_to_ISNE,2030,base_52_week,MW,760.0000000000001,1073.4885841121843
SWITCH,RMRG_to_BASN,2030,base_52_week,MW,3750.0,3750.0
SWITCH,RMRG_to_NWPP,2030,base_52_week,MW,400.00000000000006,4429.008207849755
SWITCH,RMRG_to_SRSG,2030,base_52_week,MW,614.0000000000007,1286.5611744764424
SWITCH,BASN_to_NWPP,2030,base_52_week,MW,3350.0000000000005,3350.0000000000005
SWITCH,BASN_to_CANO,2030,base_52_week,MW,100.00000000000006,100.00000000000009
SWITCH,BASN_to_CASO,2030,base_52_week,MW,5920.0,5920.0
SWITCH,BASN_to_SRSG,2030,base_52_week,MW,5385.0,5385.0
SWITCH,NWPP_to_CANO,2030,base_52_week,MW,3675.0,3675.0
SWITCH,NWPP_to_CASO,2030,base_52_week,MW,2858.0000000000005,2858.0000000000005
SWITCH,CANO_to_CASO,2030,base_52_week,MW,3675.000000000004,3675.000000000004
SWITCH,CASO_to_SRSG,2030,base_52_week,MW,4354.0,7847.358769154665
SWITCH,NWPP_to_SPPN,2030,base_52_week,MW,8.650192199753585e-11,420.7859724110752
SWITCH,NWPP_to_MISW,2030,base_52_week,MW,200.00000000000009,200.00000000000017
SWITCH,RMRG_to_SPPN,2030,base_52_week,MW,1847.543349372064,3958.146720517806
SWITCH,RMRG_to_SPPC,2030,base_52_week,MW,210.0000000000055,7361.920854044254
SWITCH,SRSG_to_TRE,2030,base_52_week,MW,1.2793087692794642e-10,1399.469147364281
SWITCH,TRE_to_TREW,2035,base_52_week,MW,16529.0,16529.00000009842
SWITCH,TRE_to_SPPS,2035,base_52_week,MW,8598.810804197718,8963.89585399306
SWITCH,TREW_to_SPPS,2035,base_52_week,MW,6179.659877719996,7994.792483651663
SWITCH,FRCC_to_SRSE,2035,base_52_week,MW,3600.0,3600.0000003107557
SWITCH,MISW_to_MISE,2035,base_52_week,MW,1014.998994984052,1014.9989950166356
SWITCH,MISW_to_PJMC,2035,base_52_week,MW,10944.711839779156,12397.59623124632
SWITCH,MISW_to_MISC,2035,base_52_week,MW,1655.0,1655.000000500213
SWITCH,MISW_to_SPPN,2035,base_52_week,MW,5512.0,5512.000000003802
SWITCH,MISW_to_SPPC,2035,base_52_week,MW,1.4736437480643443e-09,4.6663362323633414e-05
SWITCH,MISE_to_MISC,2035,base_52_week,MW,2520.3514492881895,2740.046376670011
SWITCH,MISE_to_PJMW,2035,base_52_week,MW,2662.0,2662.00000003178
SWITCH,PJMC_to_MISC,2035,base_52_week,MW,5244.0,5244.000001524989
SWITCH,PJMC_to_PJMW,2035,base_52_week,MW,10980.0,13099.038129281442
SWITCH,MISC_to_SPPN,2035,base_52_week,MW,2252.023570116606,2736.303448831134
SWITCH,MISC_to_SPPC,2035,base_52_week,MW,6501.651546574743,8828.727743875479
SWITCH,MISC_to_SPPS,2035,base_52_week,MW,4751.877914205987,5765.115405093254
SWITCH,MISC_to_MISS,2035,base_52_week,MW,1039.000000000001,1039.000000055264
SWITCH,MISC_to_PJMW,2035,base_52_week,MW,5441.000000000001,7197.285215688258
SWITCH,MISC_to_SRCE,2035,base_52_week,MW,3745.0,3745.000000000377
SWITCH,SPPN_to_SPPC,2035,base_52_week,MW,3006.00130289315,3006.0013030854125
