model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,CANO,CANO_nuclear_1,Nuclear,2027,Results_p1,all,MWh,0.0
GenX,FRCC,FRCC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32636671.108914427
GenX,ISNE,ISNE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,29004977.60117481
GenX,MISC,MISC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,20401447.655302703
GenX,MISE,MISE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,10132134.846711932
GenX,MISS,MISS_nuclear_1,Nuclear,2027,Results_p1,all,MWh,47387658.90565752
GenX,MISW,MISW_nuclear_1,Nuclear,2027,Results_p1,all,MWh,21994497.867708653
GenX,NWPP,NWPP_nuclear_1,Nuclear,2027,Results_p1,all,MWh,10137052.817100769
GenX,NYUP,NYUP_nuclear_1,Nuclear,2027,Results_p1,all,MWh,26047860.89524465
GenX,PJMC,PJMC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,93089813.07738347
GenX,PJMD,PJMD_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32382800.639451496
GenX,PJME,PJME_nuclear_1,Nuclear,2027,Results_p1,all,MWh,112063413.48498838
GenX,PJMW,PJMW_nuclear_1,Nuclear,2027,Results_p1,all,MWh,55251077.07379951
GenX,SPPC,SPPC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,9192543.815524563
GenX,SPPN,SPPN_nuclear_1,Nuclear,2027,Results_p1,all,MWh,5424102.618378508
GenX,SRCA,SRCA_nuclear_1,Nuclear,2027,Results_p1,all,MWh,105751959.836083
GenX,SRCE,SRCE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,73637097.15228133
GenX,SRSE,SRSE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,70575708.21632503
GenX,SRSG,SRSG_nuclear_1,Nuclear,2027,Results_p1,all,MWh,34579209.32516541
GenX,TRE,TRE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,36529485.65975279
GenX,BASN,BASN_batteries_1,Battery,2027,Results_p1,all,MWh,419960.71853842033
GenX,BASN,BASN_biomass_1,Other,2027,Results_p1,all,MWh,70761.60000000114
GenX,BASN,BASN_biomass_2,Other,2027,Results_p1,all,MWh,179961.59999999273
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,8572551.127805721
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,9436785.861484565
