model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2027,Results_p1,MW,100,100.01
GenX,2,BASN_to_CASO,2027,Results_p1,MW,5920,5920.31
GenX,3,BASN_to_NWPP,2027,Results_p1,MW,3350,3350.83
GenX,4,BASN_to_RMRG,2027,Results_p1,MW,3750,3750.3
GenX,5,BASN_to_SRSG,2027,Results_p1,MW,5385,5385.56
GenX,6,CANO_to_CASO,2027,Results_p1,MW,3675,3676.63
GenX,7,CANO_to_NWPP,2027,Results_p1,MW,3675,3675.3
GenX,8,CASO_to_NWPP,2027,Results_p1,MW,2858,2858.16
GenX,9,CASO_to_SRSG,2027,Results_p1,MW,4354,4354.92
GenX,10,FRCC_to_SRSE,2027,Results_p1,MW,3600,3600.84
GenX,11,ISNE_to_NYCW,2027,Results_p1,MW,760,760.022
GenX,12,ISNE_to_NYUP,2027,Results_p1,MW,1400,1772.11
GenX,13,MISC_to_MISE,2027,Results_p1,MW,0,15.5427
GenX,14,MISC_to_MISS,2027,Results_p1,MW,1039,1039.3
GenX,15,MISC_to_MISW,2027,Results_p1,MW,1655,1655.09
GenX,16,MISC_to_PJMC,2027,Results_p1,MW,5244,5247.56
GenX,17,MISC_to_PJMW,2027,Results_p1,MW,5441,5441.83
GenX,18,MISC_to_SPPC,2027,Results_p1,MW,1430,1439.22
GenX,19,MISC_to_SPPN,2027,Results_p1,MW,0,49.012
GenX,20,MISC_to_SPPS,2027,Results_p1,MW,1172,1172.01
GenX,21,MISC_to_SRCE,2027,Results_p1,MW,3745,3752.73
GenX,22,MISE_to_MISW,2027,Results_p1,MW,0,15.8601
GenX,23,MISE_to_PJMW,2027,Results_p1,MW,2662,2668.04
GenX,24,MISS_to_SPPC,2027,Results_p1,MW,0,93.8155
GenX,25,MISS_to_SPPS,2027,Results_p1,MW,1697,4516.44
GenX,26,MISS_to_SRCE,2027,Results_p1,MW,4092,4097.21
GenX,27,MISS_to_SRSE,2027,Results_p1,MW,891,891.315
GenX,28,MISW_to_NWPP,2027,Results_p1,MW,200,200.025
GenX,29,MISW_to_PJMC,2027,Results_p1,MW,3200,3200.16
GenX,30,MISW_to_SPPC,2027,Results_p1,MW,0,16.0856
GenX,31,MISW_to_SPPN,2027,Results_p1,MW,5512,5513.28
GenX,32,NWPP_to_RMRG,2027,Results_p1,MW,400,400.038
GenX,33,NYCW_to_NYUP,2027,Results_p1,MW,2489,3257.11
GenX,34,NYCW_to_PJME,2027,Results_p1,MW,660,660.105
GenX,35,NYUP_to_PJME,2027,Results_p1,MW,1255,5305.52
GenX,36,PJMC_to_PJMW,2027,Results_p1,MW,980,980.162
GenX,37,PJMD_to_PJME,2027,Results_p1,MW,1200,1251.62
GenX,38,PJMD_to_PJMW,2027,Results_p1,MW,6930,6931.37
GenX,39,PJMD_to_SRCA,2027,Results_p1,MW,1000,1000.1
GenX,40,PJME_to_PJMW,2027,Results_p1,MW,3885,3886.2
GenX,41,PJMW_to_SRCA,2027,Results_p1,MW,1219,1219.1
GenX,42,PJMW_to_SRCE,2027,Results_p1,MW,3333,3336.71
GenX,43,RMRG_to_SPPC,2027,Results_p1,MW,210,1097.24
GenX,44,RMRG_to_SPPN,2027,Results_p1,MW,410,2745.58
GenX,45,RMRG_to_SRSG,2027,Results_p1,MW,614,614.11
GenX,46,SPPC_to_SPPN,2027,Results_p1,MW,1433,2685.6
GenX,47,SPPC_to_SPPS,2027,Results_p1,MW,3372,3373.13
GenX,48,SPPN_to_SPPS,2027,Results_p1,MW,0,1095.01
GenX,49,SPPS_to_SRSG,2027,Results_p1,MW,1010,2141.82
GenX,50,SPPS_to_TRE,2027,Results_p1,MW,600,1917.16
GenX,51,SPPS_to_TREW,2027,Results_p1,MW,220,3496.34
GenX,52,SRCA_to_SRCE,2027,Results_p1,MW,216,216.138
GenX,53,SRCA_to_SRSE,2027,Results_p1,MW,1400,1400.09
GenX,54,SRCE_to_SRSE,2027,Results_p1,MW,3196,3196.35
GenX,55,TRE_to_TREW,2027,Results_p1,MW,16529,16531
GenX,56,NWPP_to_SPPN,2027,Results_p1,MW,0,21.1454
GenX,57,SRSG_to_TRE,2027,Results_p1,MW,0,31.9125
GenX,1,BASN_to_CANO,2030,Results_p2,MW,100.01,100.092
GenX,2,BASN_to_CASO,2030,Results_p2,MW,5920.31,5923.27
GenX,3,BASN_to_NWPP,2030,Results_p2,MW,3350.83,3351.15
GenX,4,BASN_to_RMRG,2030,Results_p2,MW,3750.3,3750.37
GenX,5,BASN_to_SRSG,2030,Results_p2,MW,5385.56,5386.48
GenX,6,CANO_to_CASO,2030,Results_p2,MW,3676.63,3676.8
GenX,7,CANO_to_NWPP,2030,Results_p2,MW,3675.3,3675.49
GenX,8,CASO_to_NWPP,2030,Results_p2,MW,2858.16,2858.51
GenX,9,CASO_to_SRSG,2030,Results_p2,MW,4354.92,4354.93
GenX,10,FRCC_to_SRSE,2030,Results_p2,MW,3600.84,3601.47
GenX,11,ISNE_to_NYCW,2030,Results_p2,MW,760.022,760.369
GenX,12,ISNE_to_NYUP,2030,Results_p2,MW,1772.11,4836.57
GenX,13,MISC_to_MISE,2030,Results_p2,MW,15.5427,15.6723
GenX,14,MISC_to_MISS,2030,Results_p2,MW,1039.3,1039.34
GenX,15,MISC_to_MISW,2030,Results_p2,MW,1655.09,1655.22
GenX,16,MISC_to_PJMC,2030,Results_p2,MW,5247.56,5247.75
GenX,17,MISC_to_PJMW,2030,Results_p2,MW,5441.83,5443.13
GenX,18,MISC_to_SPPC,2030,Results_p2,MW,1439.22,3622.82
GenX,19,MISC_to_SPPN,2030,Results_p2,MW,49.012,255.115
GenX,20,MISC_to_SPPS,2030,Results_p2,MW,1172.01,1215.42
GenX,21,MISC_to_SRCE,2030,Results_p2,MW,3752.73,3753.19
GenX,22,MISE_to_MISW,2030,Results_p2,MW,15.8601,18.9412
GenX,23,MISE_to_PJMW,2030,Results_p2,MW,2668.04,2668.16
GenX,24,MISS_to_SPPC,2030,Results_p2,MW,93.8155,970.34
GenX,25,MISS_to_SPPS,2030,Results_p2,MW,4516.44,7693.57
GenX,26,MISS_to_SRCE,2030,Results_p2,MW,4097.21,4097.81
GenX,27,MISS_to_SRSE,2030,Results_p2,MW,891.315,891.348
GenX,28,MISW_to_NWPP,2030,Results_p2,MW,200.025,200.155
GenX,29,MISW_to_PJMC,2030,Results_p2,MW,3200.16,3200.35
GenX,30,MISW_to_SPPC,2030,Results_p2,MW,16.0856,16.5624
GenX,31,MISW_to_SPPN,2030,Results_p2,MW,5513.28,5515.46
GenX,32,NWPP_to_RMRG,2030,Results_p2,MW,400.038,400.039
GenX,33,NYCW_to_NYUP,2030,Results_p2,MW,3257.11,4530.02
GenX,34,NYCW_to_PJME,2030,Results_p2,MW,660.105,660.106
GenX,35,NYUP_to_PJME,2030,Results_p2,MW,5305.52,7142.83
GenX,36,PJMC_to_PJMW,2030,Results_p2,MW,980.162,980.303
GenX,37,PJMD_to_PJME,2030,Results_p2,MW,1251.62,1988.86
GenX,38,PJMD_to_PJMW,2030,Results_p2,MW,6931.37,6933.04
GenX,39,PJMD_to_SRCA,2030,Results_p2,MW,1000.1,1000.1
GenX,40,PJME_to_PJMW,2030,Results_p2,MW,3886.2,3886.53
GenX,41,PJMW_to_SRCA,2030,Results_p2,MW,1219.1,1219.16
GenX,42,PJMW_to_SRCE,2030,Results_p2,MW,3336.71,3336.93
GenX,43,RMRG_to_SPPC,2030,Results_p2,MW,1097.24,1542.89
GenX,44,RMRG_to_SPPN,2030,Results_p2,MW,2745.58,2948.97
GenX,45,RMRG_to_SRSG,2030,Results_p2,MW,614.11,614.446
GenX,46,SPPC_to_SPPN,2030,Results_p2,MW,2685.6,2688.25
GenX,47,SPPC_to_SPPS,2030,Results_p2,MW,3373.13,3373.63
GenX,48,SPPN_to_SPPS,2030,Results_p2,MW,1095.01,2097.35
GenX,49,SPPS_to_SRSG,2030,Results_p2,MW,2141.82,4014.14
GenX,50,SPPS_to_TRE,2030,Results_p2,MW,1917.16,2680.2
GenX,51,SPPS_to_TREW,2030,Results_p2,MW,3496.34,3498.24
GenX,52,SRCA_to_SRCE,2030,Results_p2,MW,216.138,216.302
GenX,53,SRCA_to_SRSE,2030,Results_p2,MW,1400.09,1400.09
GenX,54,SRCE_to_SRSE,2030,Results_p2,MW,3196.35,3198.25
GenX,55,TRE_to_TREW,2030,Results_p2,MW,16531,16532.4
GenX,56,NWPP_to_SPPN,2030,Results_p2,MW,21.1454,28.6103
GenX,57,SRSG_to_TRE,2030,Results_p2,MW,31.9125,86.1615
GenX,1,BASN_to_CANO,2035,Results_p3,MW,100.092,100.106
GenX,2,BASN_to_CASO,2035,Results_p3,MW,5923.27,5926.26
GenX,3,BASN_to_NWPP,2035,Results_p3,MW,3351.15,3351.44
GenX,4,BASN_to_RMRG,2035,Results_p3,MW,3750.37,3750.56
GenX,5,BASN_to_SRSG,2035,Results_p3,MW,5386.48,5386.51
GenX,6,CANO_to_CASO,2035,Results_p3,MW,3676.8,3677.22
GenX,7,CANO_to_NWPP,2035,Results_p3,MW,3675.49,3675.76
GenX,8,CASO_to_NWPP,2035,Results_p3,MW,2858.51,2874.36
GenX,9,CASO_to_SRSG,2035,Results_p3,MW,4354.93,4356.63
GenX,10,FRCC_to_SRSE,2035,Results_p3,MW,3601.47,3602.52
GenX,11,ISNE_to_NYCW,2035,Results_p3,MW,760.369,760.38
GenX,12,ISNE_to_NYUP,2035,Results_p3,MW,4836.57,5620.8
GenX,13,MISC_to_MISE,2035,Results_p3,MW,15.6723,1126.77
GenX,14,MISC_to_MISS,2035,Results_p3,MW,1039.34,1039.43
GenX,15,MISC_to_MISW,2035,Results_p3,MW,1655.22,1655.53
GenX,16,MISC_to_PJMC,2035,Results_p3,MW,5247.75,5247.82
GenX,17,MISC_to_PJMW,2035,Results_p3,MW,5443.13,5449
GenX,18,MISC_to_SPPC,2035,Results_p3,MW,3622.82,6150.58
GenX,19,MISC_to_SPPN,2035,Results_p3,MW,255.115,266.228
GenX,20,MISC_to_SPPS,2035,Results_p3,MW,1215.42,2643.28
GenX,21,MISC_to_SRCE,2035,Results_p3,MW,3753.19,3753.35
GenX,22,MISE_to_MISW,2035,Results_p3,MW,18.9412,94.3089
GenX,23,MISE_to_PJMW,2035,Results_p3,MW,2668.16,2668.33
GenX,24,MISS_to_SPPC,2035,Results_p3,MW,970.34,1753.03
GenX,25,MISS_to_SPPS,2035,Results_p3,MW,7693.57,11698.1
GenX,26,MISS_to_SRCE,2035,Results_p3,MW,4097.81,4097.88
GenX,27,MISS_to_SRSE,2035,Results_p3,MW,891.348,6016.01
GenX,28,MISW_to_NWPP,2035,Results_p3,MW,200.155,200.169
GenX,29,MISW_to_PJMC,2035,Results_p3,MW,3200.35,3202.96
