model,zone,planning_year,case,unit,value
GenX,BASN,2027,base_short_current_policies_retire,tons,4.15174e+07
GenX,CANO,2027,base_short_current_policies_retire,tons,1.72257e+07
GenX,CASO,2027,base_short_current_policies_retire,tons,1.96384e+07
GenX,FRCC,2027,base_short_current_policies_retire,tons,7.45271e+07
GenX,ISNE,2027,base_short_current_policies_retire,tons,1.96853e+07
GenX,MISC,2027,base_short_current_policies_retire,tons,1.17696e+08
GenX,MISE,2027,base_short_current_policies_retire,tons,5.08835e+07
GenX,MISS,2027,base_short_current_policies_retire,tons,7.37243e+07
GenX,MISW,2027,base_short_current_policies_retire,tons,7.10444e+07
GenX,NWPP,2027,base_short_current_policies_retire,tons,1.7112e+07
GenX,NYCW,2027,base_short_current_policies_retire,tons,1.73856e+07
GenX,NYUP,2027,base_short_current_policies_retire,tons,4.97103e+06
GenX,PJMC,2027,base_short_current_policies_retire,tons,9.51155e+06
GenX,PJMD,2027,base_short_current_policies_retire,tons,6.80619e+06
GenX,PJME,2027,base_short_current_policies_retire,tons,5.39572e+07
GenX,PJMW,2027,base_short_current_policies_retire,tons,1.26565e+08
GenX,RMRG,2027,base_short_current_policies_retire,tons,3.86054e+07
GenX,SPPC,2027,base_short_current_policies_retire,tons,6.12846e+07
GenX,SPPN,2027,base_short_current_policies_retire,tons,3.73522e+07
GenX,SPPS,2027,base_short_current_policies_retire,tons,2.70605e+07
GenX,SRCA,2027,base_short_current_policies_retire,tons,5.17809e+07
GenX,SRCE,2027,base_short_current_policies_retire,tons,9.80802e+07
GenX,SRSE,2027,base_short_current_policies_retire,tons,6.69982e+07
GenX,SRSG,2027,base_short_current_policies_retire,tons,5.24634e+07
GenX,TRE,2027,base_short_current_policies_retire,tons,1.2386e+08
GenX,TREW,2027,base_short_current_policies_retire,tons,7.72942e+06
GenX,BASN,2030,base_short_current_policies_retire,tons,4.64029e+07
GenX,CANO,2030,base_short_current_policies_retire,tons,1.96487e+07
GenX,CASO,2030,base_short_current_policies_retire,tons,1.97363e+07
GenX,FRCC,2030,base_short_current_policies_retire,tons,7.64548e+07
GenX,ISNE,2030,base_short_current_policies_retire,tons,1.42049e+07
GenX,MISC,2030,base_short_current_policies_retire,tons,1.19867e+08
GenX,MISE,2030,base_short_current_policies_retire,tons,5.15538e+07
GenX,MISS,2030,base_short_current_policies_retire,tons,7.41517e+07
GenX,MISW,2030,base_short_current_policies_retire,tons,7.59291e+07
GenX,NWPP,2030,base_short_current_policies_retire,tons,1.7996e+07
GenX,NYCW,2030,base_short_current_policies_retire,tons,1.32079e+07
GenX,NYUP,2030,base_short_current_policies_retire,tons,5.35549e+06
GenX,PJMC,2030,base_short_current_policies_retire,tons,1.04465e+07
GenX,PJMD,2030,base_short_current_policies_retire,tons,5.74767e+06
GenX,PJME,2030,base_short_current_policies_retire,tons,5.58006e+07
GenX,PJMW,2030,base_short_current_policies_retire,tons,1.25277e+08
GenX,RMRG,2030,base_short_current_policies_retire,tons,3.75741e+07
GenX,SPPC,2030,base_short_current_policies_retire,tons,5.98985e+07
GenX,SPPN,2030,base_short_current_policies_retire,tons,3.7321e+07
GenX,SPPS,2030,base_short_current_policies_retire,tons,2.56753e+07
GenX,SRCA,2030,base_short_current_policies_retire,tons,5.01573e+07
GenX,SRCE,2030,base_short_current_policies_retire,tons,9.92909e+07
GenX,SRSE,2030,base_short_current_policies_retire,tons,7.22366e+07
GenX,SRSG,2030,base_short_current_policies_retire,tons,5.18901e+07
GenX,TRE,2030,base_short_current_policies_retire,tons,1.17822e+08
GenX,TREW,2030,base_short_current_policies_retire,tons,7.37997e+06
GenX,BASN,2035,base_short_current_policies_retire,tons,4.52512e+07
GenX,CANO,2035,base_short_current_policies_retire,tons,1.68476e+07
GenX,CASO,2035,base_short_current_policies_retire,tons,3.21852e+07
GenX,FRCC,2035,base_short_current_policies_retire,tons,8.62094e+07
GenX,ISNE,2035,base_short_current_policies_retire,tons,2.06507e+07
GenX,MISC,2035,base_short_current_policies_retire,tons,1.1533e+08
GenX,MISE,2035,base_short_current_policies_retire,tons,5.63431e+07
GenX,MISS,2035,base_short_current_policies_retire,tons,7.48812e+07
GenX,MISW,2035,base_short_current_policies_retire,tons,8.91412e+07
GenX,NWPP,2035,base_short_current_policies_retire,tons,2.30979e+07
GenX,NYCW,2035,base_short_current_policies_retire,tons,1.17708e+07
GenX,NYUP,2035,base_short_current_policies_retire,tons,4.97324e+06
GenX,PJMC,2035,base_short_current_policies_retire,tons,9.16664e+06
GenX,PJMD,2035,base_short_current_policies_retire,tons,4.39346e+06
GenX,PJME,2035,base_short_current_policies_retire,tons,7.04374e+07
GenX,PJMW,2035,base_short_current_policies_retire,tons,1.35298e+08
GenX,RMRG,2035,base_short_current_policies_retire,tons,3.6321e+07
GenX,SPPC,2035,base_short_current_policies_retire,tons,5.8716e+07
GenX,SPPN,2035,base_short_current_policies_retire,tons,3.48802e+07
GenX,SPPS,2035,base_short_current_policies_retire,tons,2.24668e+07
GenX,SRCA,2035,base_short_current_policies_retire,tons,5.6586e+07
GenX,SRCE,2035,base_short_current_policies_retire,tons,9.14093e+07
GenX,SRSE,2035,base_short_current_policies_retire,tons,8.04011e+07
GenX,SRSG,2035,base_short_current_policies_retire,tons,5.00613e+07
GenX,TRE,2035,base_short_current_policies_retire,tons,1.10515e+08
GenX,TREW,2035,base_short_current_policies_retire,tons,6.25199e+06
GenX,BASN,2040,base_short_current_policies_retire,tons,4.99022e+07
GenX,CANO,2040,base_short_current_policies_retire,tons,1.64774e+07
GenX,CASO,2040,base_short_current_policies_retire,tons,3.71563e+07
GenX,FRCC,2040,base_short_current_policies_retire,tons,7.498e+07
GenX,ISNE,2040,base_short_current_policies_retire,tons,2.77775e+07
GenX,MISC,2040,base_short_current_policies_retire,tons,1.31241e+08
GenX,MISE,2040,base_short_current_policies_retire,tons,5.95532e+07
GenX,MISS,2040,base_short_current_policies_retire,tons,8.50891e+07
GenX,MISW,2040,base_short_current_policies_retire,tons,1.12877e+08
GenX,NWPP,2040,base_short_current_policies_retire,tons,3.93302e+07
GenX,NYCW,2040,base_short_current_policies_retire,tons,1.05407e+07
GenX,NYUP,2040,base_short_current_policies_retire,tons,4.55586e+06
GenX,PJMC,2040,base_short_current_policies_retire,tons,9.23001e+06
GenX,PJMD,2040,base_short_current_policies_retire,tons,3.25364e+06
GenX,PJME,2040,base_short_current_policies_retire,tons,7.0228e+07
GenX,PJMW,2040,base_short_current_policies_retire,tons,1.60349e+08
GenX,RMRG,2040,base_short_current_policies_retire,tons,3.76946e+07
GenX,SPPC,2040,base_short_current_policies_retire,tons,6.0307e+07
GenX,SPPN,2040,base_short_current_policies_retire,tons,3.60638e+07
GenX,SPPS,2040,base_short_current_policies_retire,tons,2.22573e+07
GenX,SRCA,2040,base_short_current_policies_retire,tons,4.66038e+07
GenX,SRCE,2040,base_short_current_policies_retire,tons,8.55752e+07
GenX,SRSE,2040,base_short_current_policies_retire,tons,7.51516e+07
GenX,SRSG,2040,base_short_current_policies_retire,tons,4.99083e+07
GenX,TRE,2040,base_short_current_policies_retire,tons,1.26614e+08
GenX,TREW,2040,base_short_current_policies_retire,tons,5.06694e+06
GenX,BASN,2045,base_short_current_policies_retire,tons,5.42317e+07
GenX,CANO,2045,base_short_current_policies_retire,tons,2.19249e+07
GenX,CASO,2045,base_short_current_policies_retire,tons,4.67939e+07
GenX,FRCC,2045,base_short_current_policies_retire,tons,7.48553e+07
GenX,ISNE,2045,base_short_current_policies_retire,tons,2.75132e+07
GenX,MISC,2045,base_short_current_policies_retire,tons,1.49529e+08
GenX,MISE,2045,base_short_current_policies_retire,tons,5.9639e+07
GenX,MISS,2045,base_short_current_policies_retire,tons,8.78439e+07
GenX,MISW,2045,base_short_current_policies_retire,tons,1.0478e+08
GenX,NWPP,2045,base_short_current_policies_retire,tons,4.65427e+07
GenX,NYCW,2045,base_short_current_policies_retire,tons,1.41111e+07
GenX,NYUP,2045,base_short_current_policies_retire,tons,3.59699e+06
GenX,PJMC,2045,base_short_current_policies_retire,tons,7.41532e+06
GenX,PJMD,2045,base_short_current_policies_retire,tons,1.76878e+06
GenX,PJME,2045,base_short_current_policies_retire,tons,6.93852e+07
GenX,PJMW,2045,base_short_current_policies_retire,tons,1.73265e+08
GenX,RMRG,2045,base_short_current_policies_retire,tons,3.83554e+07
GenX,SPPC,2045,base_short_current_policies_retire,tons,6.20941e+07
GenX,SPPN,2045,base_short_current_policies_retire,tons,3.77747e+07
