model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,CANO,CANO_nuclear_1,Nuclear,2027,Results_p1,all,MWh,0.0
GenX,FRCC,FRCC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32643729.536381632
GenX,ISNE,ISNE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,29000682.98005089
GenX,MISC,MISC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,20414796.40982556
GenX,MISE,MISE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,10139671.0019186
GenX,MISS,MISS_nuclear_1,Nuclear,2027,Results_p1,all,MWh,47397191.96053372
GenX,MISW,MISW_nuclear_1,Nuclear,2027,Results_p1,all,MWh,22024831.121856656
GenX,NWPP,NWPP_nuclear_1,Nuclear,2027,Results_p1,all,MWh,10139786.760097615
GenX,NYUP,NYUP_nuclear_1,Nuclear,2027,Results_p1,all,MWh,26062240.17228535
GenX,PJMC,PJMC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,93120637.85561182
GenX,PJMD,PJMD_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32390584.78468999
GenX,PJME,PJME_nuclear_1,Nuclear,2027,Results_p1,all,MWh,112074207.94447336
GenX,PJMW,PJMW_nuclear_1,Nuclear,2027,Results_p1,all,MWh,55260771.126808815
GenX,SPPC,SPPC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,9206226.970359355
GenX,SPPN,SPPN_nuclear_1,Nuclear,2027,Results_p1,all,MWh,5433259.54190914
GenX,SRCA,SRCA_nuclear_1,Nuclear,2027,Results_p1,all,MWh,105761137.5384125
GenX,SRCE,SRCE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,73648553.13526542
GenX,SRSE,SRSE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,70584033.5337358
GenX,SRSG,SRSG_nuclear_1,Nuclear,2027,Results_p1,all,MWh,34583501.34453635
GenX,TRE,TRE_nuclear_1,Nuclear,2027,Results_p1,all,MWh,36542977.88979362
GenX,BASN,BASN_batteries_1,Battery,2027,Results_p1,all,MWh,390297.4017557288
GenX,BASN,BASN_biomass_1,Other,2027,Results_p1,all,MWh,70761.60000000114
GenX,BASN,BASN_biomass_2,Other,2027,Results_p1,all,MWh,179961.59999999273
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,8577906.52910569
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,9460967.755072383
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,15068755.33996473
GenX,BASN,BASN_geothermal_1,Geothermal,2027,Results_p1,all,MWh,4346237.703987232
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,6787.549194363117
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,18314728.78080847
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,1992.8963101852155
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,1482.6389517496875
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,1612.7723981262066
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,958.1043388611344
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,3985573.187860509
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,123.08510731377623
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2006659.2000000705
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,19964785.26171955
GenX,CANO,CANO_batteries_1,Battery,2027,Results_p1,all,MWh,1395673.1061888908
GenX,CANO,CANO_biomass_1,Other,2027,Results_p1,all,MWh,1382908.7999999437
GenX,CANO,CANO_biomass_2,Other,2027,Results_p1,all,MWh,647337.6000000266
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,19906407.377843503
GenX,CANO,CANO_geothermal_1,Geothermal,2027,Results_p1,all,MWh,6829167.045720241
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,806840.9310133704
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,9087.17326298687
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,37682981.57603236
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,3233.8380210072746
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,2205.676161886335
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,2679.1267293131527
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,1249.696326399162
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,2500732.718003724
GenX,CANO,CANO_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,167.0329645991735
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2351731.20000002
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,15348151.226769144
GenX,CASO,CASO_batteries_1,Battery,2027,Results_p1,all,MWh,5964195.467322081
GenX,CASO,CASO_biomass_1,Other,2027,Results_p1,all,MWh,1198579.2000000493
GenX,CASO,CASO_biomass_2,Other,2027,Results_p1,all,MWh,207916.80000000657
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3354643.870749325
GenX,CASO,CASO_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,463539.3244129004
GenX,CASO,CASO_geothermal_1,Geothermal,2027,Results_p1,all,MWh,1558745.3045040218
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,748555.3751796389
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,3834.176920838232
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,36393616.01577269
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,2510.612301449853
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,6481.98488142706
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,2474.251920581385
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,4020.6483600068914
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,13912624.463586371
GenX,CASO,CASO_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,131.18175000608892
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,934752.0
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,31599207.22926094
GenX,FRCC,FRCC_batteries_1,Battery,2027,Results_p1,all,MWh,71355.33015109396
GenX,FRCC,FRCC_biomass_1,Other,2027,Results_p1,all,MWh,1279824.0
GenX,FRCC,FRCC_biomass_2,Other,2027,Results_p1,all,MWh,1190716.799999951
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,116448.898115596
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,239711.9372575679
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,1780.962855398757
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,195464389.0139641
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,11585.46591548988
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,304256.6179817852
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,1383.430169327257
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,3442.9957638519804
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,3070.91700352536
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,225.32221839545696
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,18571145.117175736
GenX,ISNE,ISNE_batteries_1,Battery,2027,Results_p1,all,MWh,171281.55200819555
GenX,ISNE,ISNE_biomass_1,Other,2027,Results_p1,all,MWh,730329.6000000293
GenX,ISNE,ISNE_biomass_2,Other,2027,Results_p1,all,MWh,1427462.4000000276
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,4225256.95693703
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,842625.8192794401
GenX,ISNE,ISNE_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,3823569.860494095
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,1118916.6043265208
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,823083.9940154172
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,32633501.860339288
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,29790.169447213797
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,5712.602882032609
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,2173.1175785114187
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,1389.0746976070966
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,114747.6354504896
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,3306300.2782512503
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,284.0750151393222
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3432374.4000001303
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,5204506.147734047
GenX,MISC,MISC_batteries_1,Battery,2027,Results_p1,all,MWh,19613.52500079215
GenX,MISC,MISC_biomass_1,Other,2027,Results_p1,all,MWh,364291.1999999853
GenX,MISC,MISC_biomass_2,Other,2027,Results_p1,all,MWh,362544.0
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,1965806.1324997528
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,6378.557847631727
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,44507520.55013477
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,616164.48873623
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,2738208.0978988064
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,13733833.108572742
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,129376.24935897252
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,3894522.114398769
GenX,MISC,MISC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,1475.5734751989737
GenX,MISC,MISC_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,1836.2241124956631
GenX,MISC,MISC_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,14116071.706094872
GenX,MISC,MISC_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,308.5511557177288
GenX,MISC,MISC_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,197433.59999999224
GenX,MISC,MISC_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,8039381.527498613
GenX,MISE,MISE_batteries_1,Battery,2027,Results_p1,all,MWh,1853.09825983252
GenX,MISE,MISE_biomass_1,Other,2027,Results_p1,all,MWh,619382.3999999745
GenX,MISE,MISE_biomass_2,Other,2027,Results_p1,all,MWh,507561.60000002
GenX,MISE,MISE_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,95892.55374636078
GenX,MISE,MISE_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,37334125.738276646
GenX,MISE,MISE_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,0.0
GenX,MISE,MISE_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,1154943.9726869536
GenX,MISE,MISE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,22138712.397105943
GenX,MISE,MISE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,806050.4969608161
GenX,MISE,MISE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,6136.416700122839
GenX,MISE,MISE_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,636597.7352005854
GenX,MISE,MISE_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,4026.847750516169
GenX,MISE,MISE_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,1253.5266155574795
GenX,MISE,MISE_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,8934101.985829411
GenX,MISE,MISE_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,236.3757044546913
GenX,MISE,MISE_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,412339.1999999841
