model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2027,Results_p1,all,MWh,356491.41007553047
GenX,BASN,BASN_biomass_1,Other,2027,Results_p1,all,MWh,70761.60000000114
GenX,BASN,BASN_biomass_2,Other,2027,Results_p1,all,MWh,179961.59999999273
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,8470229.289507046
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,9793781.659767069
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,15455735.128728813
GenX,BASN,BASN_geothermal_1,Geothermal,2027,Results_p1,all,MWh,4039224.443360379
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,386888.4991745543
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,16489877.24717867
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,565.2128607539568
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,675.6587687360241
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,955.6599257101428
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,517.1286545251736
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,3989605.867749209
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,55.00083535475439
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,1512201.5999999626
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,19971973.53399696
GenX,CANO,CANO_batteries_1,Battery,2027,Results_p1,all,MWh,894881.1516906411
GenX,CANO,CANO_biomass_1,Other,2027,Results_p1,all,MWh,1364563.2000000556
GenX,CANO,CANO_biomass_2,Other,2027,Results_p1,all,MWh,624624.0
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,19056168.8513321
GenX,CANO,CANO_geothermal_1,Geothermal,2027,Results_p1,all,MWh,0.0
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,422257.2402794532
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,994929.1577835002
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,40967817.05952525
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,721.3960524419667
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,680.7838808462625
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,3234.67767210869
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,4235.226787925806
GenX,CANO,CANO_nuclear_1,Nuclear,2027,Results_p1,all,MWh,0.0
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,2448095.4815993267
GenX,CANO,CANO_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,93.08689001737662
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2007532.8000002815
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,15350514.407855602
GenX,CASO,CASO_batteries_1,Battery,2027,Results_p1,all,MWh,5265732.282854022
GenX,CASO,CASO_biomass_1,Other,2027,Results_p1,all,MWh,1024732.7999999597
GenX,CASO,CASO_biomass_2,Other,2027,Results_p1,all,MWh,207916.80000000657
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,2426021.936732301
GenX,CASO,CASO_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,0.0
GenX,CASO,CASO_geothermal_1,Geothermal,2027,Results_p1,all,MWh,205894.2422969468
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,449782.1070809847
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,81629.00652549855
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,37395974.43560589
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,739.123161518635
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,639.5165548678588
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,16330.571919113472
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,2252.69094165747
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2027,Results_p1,all,MWh,12462757.604452576
GenX,CASO,CASO_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,53.95620188325503
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,593174.3999999756
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,31602736.44820713
GenX,FRCC,FRCC_batteries_1,Battery,2027,Results_p1,all,MWh,11977.802184072149
GenX,FRCC,FRCC_biomass_1,Other,2027,Results_p1,all,MWh,734697.6000000294
GenX,FRCC,FRCC_biomass_2,Other,2027,Results_p1,all,MWh,996777.6000000353
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,116602.02116645013
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,27382973.89621385
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,6099.678231774185
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,162433207.48889208
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,280399.2806805132
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,4475.541686645108
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,590.1824404834716
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,8297.378208565786
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas,2027,Results_p1,all,MWh,808.1665524711665
GenX,FRCC,FRCC_nuclear_1,Nuclear,2027,Results_p1,all,MWh,32645258.770878203
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2027,Results_p1,all,MWh,72.96831521098846
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2027,Results_p1,all,MWh,18572045.939305205
GenX,ISNE,ISNE_batteries_1,Battery,2027,Results_p1,all,MWh,136523.70431888202
GenX,ISNE,ISNE_biomass_1,Other,2027,Results_p1,all,MWh,528528.0
GenX,ISNE,ISNE_biomass_2,Other,2027,Results_p1,all,MWh,1153152.0
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2027,Results_p1,all,MWh,3416323.4045374896
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2027,Results_p1,all,MWh,0.0
GenX,ISNE,ISNE_conventional_steam_coal_2,Coal,2027,Results_p1,all,MWh,2881240.036294422
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2027,Results_p1,all,MWh,1065128.324196262
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas,2027,Results_p1,all,MWh,659572.0377474886
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas,2027,Results_p1,all,MWh,31125819.986265108
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas,2027,Results_p1,all,MWh,25307.223472022597
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas,2027,Results_p1,all,MWh,4930.848322928741
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas,2027,Results_p1,all,MWh,5604.465716486054
