model,zone,planning_year,case,unit,value
GenX,BASN,2027,base_short_no_ccs,tons,2.49489e+07
GenX,CANO,2027,base_short_no_ccs,tons,2.02205e+07
GenX,CASO,2027,base_short_no_ccs,tons,2.02404e+07
GenX,FRCC,2027,base_short_no_ccs,tons,7.62915e+07
GenX,ISNE,2027,base_short_no_ccs,tons,3.31417e+07
GenX,MISC,2027,base_short_no_ccs,tons,3.72999e+07
GenX,MISE,2027,base_short_no_ccs,tons,3.06889e+07
GenX,MISS,2027,base_short_no_ccs,tons,5.54679e+07
GenX,MISW,2027,base_short_no_ccs,tons,4.27038e+07
GenX,NWPP,2027,base_short_no_ccs,tons,1.23586e+07
GenX,NYCW,2027,base_short_no_ccs,tons,1.10904e+07
GenX,NYUP,2027,base_short_no_ccs,tons,1.40158e+07
GenX,PJMC,2027,base_short_no_ccs,tons,1.27243e+07
GenX,PJMD,2027,base_short_no_ccs,tons,1.73427e+07
GenX,PJME,2027,base_short_no_ccs,tons,7.71678e+07
GenX,PJMW,2027,base_short_no_ccs,tons,9.27486e+07
GenX,RMRG,2027,base_short_no_ccs,tons,1.17127e+07
GenX,SPPC,2027,base_short_no_ccs,tons,1.90324e+07
GenX,SPPN,2027,base_short_no_ccs,tons,8.2421e+06
GenX,SPPS,2027,base_short_no_ccs,tons,2.05266e+07
GenX,SRCA,2027,base_short_no_ccs,tons,3.91227e+07
GenX,SRCE,2027,base_short_no_ccs,tons,4.24685e+07
GenX,SRSE,2027,base_short_no_ccs,tons,5.62898e+07
GenX,SRSG,2027,base_short_no_ccs,tons,2.44948e+07
GenX,TRE,2027,base_short_no_ccs,tons,6.51017e+07
GenX,TREW,2027,base_short_no_ccs,tons,7.54786e+06
GenX,BASN,2030,base_short_no_ccs,tons,2.21174e+06
GenX,CANO,2030,base_short_no_ccs,tons,7.41016e+06
GenX,CASO,2030,base_short_no_ccs,tons,6.60736e+06
GenX,FRCC,2030,base_short_no_ccs,tons,2.69883e+07
GenX,ISNE,2030,base_short_no_ccs,tons,9.8707e+06
GenX,MISC,2030,base_short_no_ccs,tons,2.29253e+06
GenX,MISE,2030,base_short_no_ccs,tons,3.65354e+06
GenX,MISS,2030,base_short_no_ccs,tons,1.06303e+07
GenX,MISW,2030,base_short_no_ccs,tons,5.02915e+06
GenX,NWPP,2030,base_short_no_ccs,tons,502919
GenX,NYCW,2030,base_short_no_ccs,tons,3.31846e+06
GenX,NYUP,2030,base_short_no_ccs,tons,3.95888e+06
GenX,PJMC,2030,base_short_no_ccs,tons,4.78421e+06
GenX,PJMD,2030,base_short_no_ccs,tons,5.59975e+06
GenX,PJME,2030,base_short_no_ccs,tons,3.23638e+07
GenX,PJMW,2030,base_short_no_ccs,tons,1.95515e+07
GenX,RMRG,2030,base_short_no_ccs,tons,277790
GenX,SPPC,2030,base_short_no_ccs,tons,394636
GenX,SPPN,2030,base_short_no_ccs,tons,153361
GenX,SPPS,2030,base_short_no_ccs,tons,2.82819e+06
GenX,SRCA,2030,base_short_no_ccs,tons,1.16822e+07
GenX,SRCE,2030,base_short_no_ccs,tons,6.4884e+06
GenX,SRSE,2030,base_short_no_ccs,tons,1.7061e+07
GenX,SRSG,2030,base_short_no_ccs,tons,2.9156e+06
GenX,TRE,2030,base_short_no_ccs,tons,8.48245e+06
GenX,TREW,2030,base_short_no_ccs,tons,1.7791e+06
GenX,BASN,2035,base_short_no_ccs,tons,3.75952e+06
GenX,CANO,2035,base_short_no_ccs,tons,9.34391e+06
GenX,CASO,2035,base_short_no_ccs,tons,7.6425e+06
GenX,FRCC,2035,base_short_no_ccs,tons,3.20128e+07
GenX,ISNE,2035,base_short_no_ccs,tons,1.45843e+07
GenX,MISC,2035,base_short_no_ccs,tons,3.23022e+06
GenX,MISE,2035,base_short_no_ccs,tons,5.61841e+06
GenX,MISS,2035,base_short_no_ccs,tons,1.01051e+07
GenX,MISW,2035,base_short_no_ccs,tons,6.08939e+06
