model,zone,resource_name,tech_type,planning_year,case,timestep,unit,value
GenX,BASN,BASN_batteries_1,Battery,2027,base_short_tx_15,all,MWh,218862.76996477073
GenX,BASN,BASN_biomass_1,Other,2027,base_short_tx_15,all,MWh,70761.60000000148
GenX,BASN,BASN_biomass_2,Other,2027,base_short_tx_15,all,MWh,179961.59999999995
GenX,BASN,BASN_conventional_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,9081326.997888507
GenX,BASN,BASN_conventional_steam_coal_1,Coal,2027,base_short_tx_15,all,MWh,1864760.421626861
GenX,BASN,BASN_conventional_steam_coal_2,Coal,2027,base_short_tx_15,all,MWh,4532534.103703026
GenX,BASN,BASN_geothermal_1,Geothermal,2027,base_short_tx_15,all,MWh,4039230.147145494
GenX,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_tx_15,all,MWh,1190173.8737837863
GenX,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_tx_15,all,MWh,39619666.843540624
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_tx_15,all,MWh,1241.9704073762912
GenX,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_tx_15,all,MWh,1160.0490897503394
GenX,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,1824.909522941384
GenX,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,781.7481783691965
GenX,BASN,BASN_onshore_wind_turbine_1,Wind,2027,base_short_tx_15,all,MWh,3553554.3348626993
GenX,BASN,BASN_petroleum_liquids_1,Other,2027,base_short_tx_15,all,MWh,88.13498108917973
GenX,BASN,BASN_small_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,1512201.6000000432
GenX,BASN,BASN_solar_photovoltaic_1,Solar,2027,base_short_tx_15,all,MWh,20075817.065579195
GenX,CANO,CANO_batteries_1,Battery,2027,base_short_tx_15,all,MWh,585505.8411064231
GenX,CANO,CANO_biomass_1,Other,2027,base_short_tx_15,all,MWh,1364563.2000000058
GenX,CANO,CANO_biomass_2,Other,2027,base_short_tx_15,all,MWh,624624.0
GenX,CANO,CANO_conventional_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,20227623.73329728
GenX,CANO,CANO_geothermal_1,Geothermal,2027,base_short_tx_15,all,MWh,0.0
GenX,CANO,CANO_hydroelectric_pumped_storage_1,Hydro,2027,base_short_tx_15,all,MWh,334694.19193257886
GenX,CANO,CANO_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_tx_15,all,MWh,2862093.804752959
GenX,CANO,CANO_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_tx_15,all,MWh,48428172.52569505
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_tx_15,all,MWh,1648.7004615425526
GenX,CANO,CANO_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_tx_15,all,MWh,1589.726656106508
GenX,CANO,CANO_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,3340.889781910439
GenX,CANO,CANO_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,4546.144329895762
GenX,CANO,CANO_nuclear_1,Nuclear,2027,base_short_tx_15,all,MWh,0.0
GenX,CANO,CANO_onshore_wind_turbine_1,Wind,2027,base_short_tx_15,all,MWh,3241923.261087667
GenX,CANO,CANO_petroleum_liquids_1,Other,2027,base_short_tx_15,all,MWh,136.67771257185802
GenX,CANO,CANO_small_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,2007532.7999999912
GenX,CANO,CANO_solar_photovoltaic_1,Solar,2027,base_short_tx_15,all,MWh,15570676.032571394
GenX,CASO,CASO_batteries_1,Battery,2027,base_short_tx_15,all,MWh,5554075.330378977
GenX,CASO,CASO_biomass_1,Other,2027,base_short_tx_15,all,MWh,1024732.8000000232
GenX,CASO,CASO_biomass_2,Other,2027,base_short_tx_15,all,MWh,207916.7999999946
GenX,CASO,CASO_conventional_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,2585085.477062128
GenX,CASO,CASO_conventional_steam_coal_1,Coal,2027,base_short_tx_15,all,MWh,0.0
GenX,CASO,CASO_geothermal_1,Geothermal,2027,base_short_tx_15,all,MWh,205904.98102941745
GenX,CASO,CASO_hydroelectric_pumped_storage_1,Hydro,2027,base_short_tx_15,all,MWh,397378.6623216733
GenX,CASO,CASO_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_tx_15,all,MWh,1062897.3625248482
GenX,CASO,CASO_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_tx_15,all,MWh,49988962.41935857
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_tx_15,all,MWh,1708.6847934553357
GenX,CASO,CASO_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_tx_15,all,MWh,2036.4144131549217
GenX,CASO,CASO_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,52375.457733934265
GenX,CASO,CASO_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,3212.689721358326
GenX,CASO,CASO_onshore_wind_turbine_1,Wind,2027,base_short_tx_15,all,MWh,12537744.085257404
GenX,CASO,CASO_petroleum_liquids_1,Other,2027,base_short_tx_15,all,MWh,87.96610896909046
GenX,CASO,CASO_small_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,593174.4000000028
GenX,CASO,CASO_solar_photovoltaic_1,Solar,2027,base_short_tx_15,all,MWh,31434953.5053228
GenX,FRCC,FRCC_batteries_1,Battery,2027,base_short_tx_15,all,MWh,95844.22279247647
GenX,FRCC,FRCC_biomass_1,Other,2027,base_short_tx_15,all,MWh,734697.5999999964
GenX,FRCC,FRCC_biomass_2,Other,2027,base_short_tx_15,all,MWh,996777.6000000044
GenX,FRCC,FRCC_conventional_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,118682.48197452285
GenX,FRCC,FRCC_conventional_steam_coal_1,Coal,2027,base_short_tx_15,all,MWh,797002.7525445033
GenX,FRCC,FRCC_conventional_steam_coal_2,Coal,2027,base_short_tx_15,all,MWh,756.6732042881264
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_tx_15,all,MWh,197902480.28305563
GenX,FRCC,FRCC_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_tx_15,all,MWh,2091921.3287602633
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_tx_15,all,MWh,5262.310977825855
GenX,FRCC,FRCC_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_tx_15,all,MWh,862.2917276892136
GenX,FRCC,FRCC_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,141796.48215263034
GenX,FRCC,FRCC_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,1129.2913310532572
GenX,FRCC,FRCC_nuclear_1,Nuclear,2027,base_short_tx_15,all,MWh,32645316.319683805
GenX,FRCC,FRCC_petroleum_liquids_1,Other,2027,base_short_tx_15,all,MWh,131.584933002387
GenX,FRCC,FRCC_solar_photovoltaic_1,Solar,2027,base_short_tx_15,all,MWh,18364817.895305853
GenX,ISNE,ISNE_batteries_1,Battery,2027,base_short_tx_15,all,MWh,82806.74873212099
GenX,ISNE,ISNE_biomass_1,Other,2027,base_short_tx_15,all,MWh,528528.0
GenX,ISNE,ISNE_biomass_2,Other,2027,base_short_tx_15,all,MWh,1153152.0
GenX,ISNE,ISNE_conventional_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,3272124.6041173264
GenX,ISNE,ISNE_conventional_steam_coal_1,Coal,2027,base_short_tx_15,all,MWh,0.0
GenX,ISNE,ISNE_conventional_steam_coal_2,Coal,2027,base_short_tx_15,all,MWh,2880410.544469542
GenX,ISNE,ISNE_hydroelectric_pumped_storage_1,Hydro,2027,base_short_tx_15,all,MWh,217576.86393269376
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_tx_15,all,MWh,1694960.9926070564
GenX,ISNE,ISNE_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_tx_15,all,MWh,56295816.75852365
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_tx_15,all,MWh,46518.99269396756
GenX,ISNE,ISNE_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_tx_15,all,MWh,7311.576442632006
GenX,ISNE,ISNE_natural_gas_internal_combustion_engine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,16038.095407808496
GenX,ISNE,ISNE_natural_gas_steam_turbine_1,Natural Gas Other,2027,base_short_tx_15,all,MWh,4283.501027276584
GenX,ISNE,ISNE_nuclear_1,Nuclear,2027,base_short_tx_15,all,MWh,29312478.634002183
GenX,ISNE,ISNE_offshore_wind_turbine_1,Wind,2027,base_short_tx_15,all,MWh,103683.66435720016
GenX,ISNE,ISNE_onshore_wind_turbine_1,Wind,2027,base_short_tx_15,all,MWh,3032872.891981628
GenX,ISNE,ISNE_petroleum_liquids_1,Other,2027,base_short_tx_15,all,MWh,14762.73801030218
GenX,ISNE,ISNE_small_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,2301062.399999989
GenX,ISNE,ISNE_solar_photovoltaic_1,Solar,2027,base_short_tx_15,all,MWh,5298694.426990243
GenX,MISC,MISC_batteries_1,Battery,2027,base_short_tx_15,all,MWh,14233.62703811813
GenX,MISC,MISC_biomass_1,Other,2027,base_short_tx_15,all,MWh,364291.200000001
GenX,MISC,MISC_biomass_2,Other,2027,base_short_tx_15,all,MWh,362544.0
GenX,MISC,MISC_conventional_hydroelectric_1,Hydro,2027,base_short_tx_15,all,MWh,1548081.346374805
GenX,MISC,MISC_conventional_steam_coal_1,Coal,2027,base_short_tx_15,all,MWh,52973.80872813309
GenX,MISC,MISC_conventional_steam_coal_2,Coal,2027,base_short_tx_15,all,MWh,27394107.71529445
GenX,MISC,MISC_hydroelectric_pumped_storage_1,Hydro,2027,base_short_tx_15,all,MWh,266800.0952769844
GenX,MISC,MISC_natural_gas_fired_combined_cycle_1,Natural Gas CC,2027,base_short_tx_15,all,MWh,6607905.915622036
GenX,MISC,MISC_natural_gas_fired_combined_cycle_2,Natural Gas CC,2027,base_short_tx_15,all,MWh,21334000.633715924
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_1,Natural Gas CT,2027,base_short_tx_15,all,MWh,37080.108688570595
GenX,MISC,MISC_natural_gas_fired_combustion_turbine_2,Natural Gas CT,2027,base_short_tx_15,all,MWh,44410.072325657726
